Num,Date,Liga,Team 1,Score,Team 2,Result,Liga Title
001,21.06. 12:30,KOR 1,Jeju United FC,1:2,Seongnam Ilhwa,2,Fussball - Südkorea K-League
002,21.06. 13:35,CHN 1,Jiangsu Suning,0:1,Shenhua Shanghai,2,Fussball - China Chinese Super League
003,21.06. 13:45,SIN 1,Balestier Khalsa,1:3,Albirex Niigata FC,2,Fussball - Singapur S.League
004,21.06. 17:00,LAT 1,BFC Daugavpils,0:2,FK Jelgava,2,Fussball - Lettland LMT Virsliga
005,21.06. 17:45,BLR 1,FC BGU Minsk,2:1,FC Torpedo Minsk,1,Fussball - Weißrussland Premier League
006,21.06. 18:00,FS,Mattersburg AUT*,2:3,Kapfenberg AUT,2,Fussball - Freundschaftsspiele International (Klub)
007,21.06. 18:00,LAT 1,Valmiera Fk,0:2,FS Metta LU,2,Fussball - Lettland LMT Virsliga
008,21.06. 18:00,LAT 1,FC Riga,6:1,Spartaks Jurmala,1,Fussball - Lettland LMT Virsliga
009,21.06. 18:30,U21 EM,England U21,2:4,Rumänien U21,2,Fussball - U21 Europameisterschaft
010,21.06. 18:30,U21 EM,England U21,2:5,Rumänien U21+1,2,Fussball - U21 Europameisterschaft
011,21.06. 18:30,EST 1,JK Tallinna Kalev,0:2,FC Flora Tallinn,2,Fussball - Estland Meistriliiga
012,21.06. 19:45,BLR 1,FC Neman Grodno,1:3,FC Gorodeya,2,Fussball - Weißrussland Premier League
013,21.06. 21:00,U21 EM,Frankreich U21,1:0,Kroatien U21,1,Fussball - U21 Europameisterschaft
014,21.06. 21:00,U21 EM,Frankreich U21,1:1,Kroatien U21+1,X,Fussball - U21 Europameisterschaft
015,21.06. 21:00,BB ESP,FC Barcelona Lassa,68:74,Real Madrid BC,2,Basketball - Spanien Spagnola ACB
016,21.06. 22:00,AFR CUP,Ägypten,1:0,Simbabwe,1,Fussball - Afrika Cup
017,22.06. 01:00,COPA AM,Ekuador,1:2,Chile,2,Fussball - Copa America
018,22.06. 01:00,G-CUP,El Salvador,0:0,Jamaika,X,Fussball - Gold Cup
019,22.06. 03:30,G-CUP,Honduras,0:1,Curacao,2,Fussball - Gold Cup
020,22.06. 07:00,JPN 1,Hokkaido Consadole,3:1,Sagan Tosu,1,Fussball - Japan J.League
021,22.06. 11:00,JPN 1,Yokohama F Marinos,1:0,Matsumoto Yamaga,1,Fussball - Japan J.League
022,22.06. 11:00,JPN 1,Vissel Kobe,2:2,Oita Trinita,X,Fussball - Japan J.League
