Num,Date,Liga,Team 1,Score,Team 2,Result,Liga Title
073,01.01. 16:00,ENG 1,AFC Wimbledon,1:1,Southend United,?,England League One
074,01.01. 16:00,ENG 1,Accrington Stanley,1:2,FC Rochdale,?,England League One
075,01.01. 16:00,ENG 1,Bolton Wanderers,3:4,Burton Albion,?,England League One
076,01.01. 16:00,ENG 1,Doncaster Rovers,1:0,Oxford United,?,England League One
077,01.01. 16:00,ENG 1,Fleetwood Town,1:1,AFC Sunderland,?,England League One
078,01.01. 16:00,ENG 1,FC Gillingham,1:1,FC Portsmouth,?,England League One
079,01.01. 16:00,ENG 1,Lincoln City,2:1,Peterborough Utd.,?,England League One
080,01.01. 16:00,ENG 1,MK Dons,3:0,Bristol Rovers,?,England League One
081,01.01. 16:00,ENG 1,Rotherham United,2:1,FC Blackpool,?,England League One
082,01.01. 16:00,ENG 1,Tranmere Rovers,1:4,Coventry City,?,England League One
083,01.01. 16:00,ENG 1,Wycombe Wanderers,1:1,Ipswich Town,?,England League One
084,01.01. 17:30,EH AUT,Vienna Capitals,8:2,Fehervar,?,Österreich Erste Bank-EHL
085,01.01. 17:30,EH AUT,HC Znojmo,7:2,Black Wings Linz,?,Österreich Erste Bank-EHL
086,01.01. 17:30,EH AUT,EC Graz 99ers,2:2,KAC Klagenfurt,?,Österreich Erste Bank-EHL
087,01.01. 17:30,EH AUT,EC Dornbirn,2:0,HC Innsbruck,?,Österreich Erste Bank-EHL
088,01.01. 18:00,EH AUT,HC Bozen Foxes,1:1,EC RB Salzburg,?,Österreich Erste Bank-EHL
089,01.01. 18:15,ENG CS,West Bromwich,1:1,Leeds United,?,England Championship
090,01.01. 18:30,ENG PL,Manchester City,2:1,FC Everton,?,England Premier League
091,01.01. 18:30,ENG PL,Norwich City,1:1,Crystal Palace,?,England Premier League
092,01.01. 18:30,ENG PL,West Ham United,4:0,AFC Bournemouth,?,England Premier League
093,01.01. 20:00,NHL,Dallas Stars,4:2,Nashville Pred.,?,USA NHL
094,01.01. 21:00,ENG PL,FC Arsenal,2:0,Manchester United,?,England Premier League
095,01.01. 21:00,ENG PL,FC Arsenal,2:1,Manchester Utd.+1,?,England Premier League
096,01.01. 21:00,ENG PL,FC Arsenal+1,3:0,Manchester United,?,England Premier League
097,02.01. 13:30,EGY 1,Haras El Hodood,1:0,Pyramids FC,?,Ägypten Premier League
099,02.01. 15:45,EH SUI,Zürcher SC Lions,2:2,SCL Tigers Langnau,?,Schweiz National League A
100,02.01. 16:00,EGY 1,Al-Masry Club,2:1,Smouha SC,?,Ägypten Premier League
101,02.01. 17:30,EH CZE,HC Karlsbad,3:5,Sparta Prag,?,Tschechische Republik Extraliga
102,02.01. 18:00,EH SWE,Färjestads BK,3:1,Linköpings HC,?,Schweden Elitserien
103,02.01. 18:30,EGY 1,El Zamalek,2:0,Aswan FC,?,Ägypten Premier League
104,02.01. 19:00,BB EL,BC Zalgiris LTU,73:68,M.Tel Aviv ISR,?,Euroleague
105,02.01. 19:00,BB EL,Roter Stern SRB,93:63,Bayern München GER,?,Euroleague
106,02.01. 19:00,BB AUT,UBSC Graz,81:107,Swans Gmunden,?,Österreich Basketball Superliga
107,02.01. 19:00,BB AUT,UBC St. Pölten,68:107,Gunners Oberwart,?,Österreich Basketball Superliga
108,02.01. 19:00,BB AUT,Traiskirchen,60:88,WBC Wels,?,Österreich Basketball Superliga
109,02.01. 19:00,BB AUT,BC Vienna,72:97,Kapfenberg Bulls,?,Österreich Basketball Superliga
110,02.01. 19:00,BB GER,BG Göttingen,89:77,Skyli. Frankfurt,?,Deutschland BBL
111,02.01. 19:45,EH SUI,SC Bern,3:2,EHC Biel Bienne,?,Schweiz National League A
112,02.01. 19:45,EH SUI,HC Lausanne,5:1,HC Ambri Piotta,?,Schweiz National League A
113,02.01. 19:45,EH SUI,HC Davos,3:1,Rapperswil Lakers,?,Schweiz National League A
114,02.01. 19:45,EH SUI,Fribourg Gotteron,2:3,EV Zug,?,Schweiz National League A
115,02.01. 20:00,BB EL,Olympiakos P. GRE,87:96,Fenerbahce TUR,?,Euroleague
116,02.01. 20:45,ENG CS,Derby County,2:1,FC Barnsley,?,England Championship
117,02.01. 20:45,ENG CS,Swansea City,1:0,Charlton Athletic,?,England Championship
118,02.01. 21:00,ENG PL,FC Liverpool,2:0,Sheffield United,?,England Premier League
119,02.01. 21:00,ENG PL,FC Liverpool,2:2,Sheffield United+2,?,England Premier League
120,02.01. 21:00,BB EL,Baskonia G. ESP,76:74,FC Barcelona ESP,?,Euroleague
