Num,Date,Liga,Team 1,Score,Team 2,Result,Liga Title
001,08.10. 17:30,KHL,Jokerit Helsinki,2:2,HC Sochi,X,Eishockey - Kontinental Hockey League
002,08.10. 17:30,EH FIN,Jukurit Mikkeli,3:3,JYP Jyväskylä,X,Eishockey - Finnland SM-Liiga
003,08.10. 17:30,EH FIN,Ässät Pori,0:1,KalPa Kuopio,2,Eishockey - Finnland SM-Liiga
004,08.10. 18:00,EMQDA,Serbien Damen,0:1,Österreich Damen,2,"Fussball - EM Qualifikation, Damen"
005,08.10. 18:00,EMQDA,Serbien Damen+1,1:1,Österreich Damen,X,"Fussball - EM Qualifikation, Damen"
006,08.10. 18:00,KHL,Lok. Jaroslawl,0:4,AK Bars Kasan,2,Eishockey - Kontinental Hockey League
007,08.10. 18:00,EH CL,GKS Tychy POL,4:2,Vienna Caps AUT,1,Eishockey - Champions Hockey League
008,08.10. 18:00,EH CL,Djurgardens IF SWE,6:3,Adler Mannheim GER,1,Eishockey - Champions Hockey League
009,08.10. 18:00,EH CL,HPK Hämeenlinn FIN,2:0,Rungsted IH DEN,1,Eishockey - Champions Hockey League
010,08.10. 18:00,EH CL,Skelleftea AIK SWE,2:0,Kärpät Oulu FIN,1,Eishockey - Champions Hockey League
011,08.10. 18:00,EH CL,Frölunda HC SWE,9:2,Cardiff Devils WAL,1,Eishockey - Champions Hockey League
012,08.10. 18:30,EH CL,Frisk/Asker NOR,1:3,Tappara Tamper FIN,2,Eishockey - Champions Hockey League
013,08.10. 19:30,EH CL,EC Graz 99ers AUT,1:2,Mountfield HK CZE,2,Eishockey - Champions Hockey League
014,08.10. 19:30,EH CL,Augsburger P. GER,2:2,HC Liberec CZE,X,Eishockey - Champions Hockey League
015,08.10. 19:30,EH CL,EHC München GER,2:1,Färjestads BK SWE,1,Eishockey - Champions Hockey League
016,08.10. 19:45,EH CL,SC Bern SUI,4:1,Grenoble Brule FRA,1,Eishockey - Champions Hockey League
017,08.10. 19:45,EH CL,B. Bystrica SVK,0:4,Ambri Piotta SUI,2,Eishockey - Champions Hockey League
018,08.10. 19:45,EH SUI,HC Lugano,6:3,Rapperswil Lakers,1,Eishockey - Schweiz National League A
019,08.10. 20:00,BB EC,Partizan Belgr SRB,93:80,Tofas Bursa TUR,1,Basketball - Eurocup
020,08.10. 20:00,ENG LTR,Rotherham United,3:2,Doncaster Rovers,1,Fussball - England Football League Trophy
021,08.10. 20:00,ENG LTR,Forest Green,0:0,Coventry City,X,Fussball - England Football League Trophy
022,08.10. 20:00,INT FSD,Portugal Damen,0:1,England Damen,2,"Fussball - Internationale Freundschaftsspiele, Damen"
023,08.10. 20:15,INT FSD,Polen Damen,1:3,Brasilien Damen,2,"Fussball - Internationale Freundschaftsspiele, Damen"
024,08.10. 20:30,EH CL,Belfast Giants,3:6,Lulea Hockey SWE,2,Eishockey - Champions Hockey League
025,08.10. 20:30,ENG LTR,AFC Wimbledon,3:0,Leyton Orient,1,Fussball - England Football League Trophy
026,08.10. 20:30,ENG LTR,Cambridge United,0:1,Northampton,2,Fussball - England Football League Trophy
027,08.10. 20:45,ENG LTR,AFC Sunderland,3:2,Grimsby Town,1,Fussball - England Football League Trophy
028,08.10. 20:45,ENG LTR,Ipswich Town,4:0,FC Gillingham,1,Fussball - England Football League Trophy
029,08.10. 20:45,ENG LTR,Swindon Town,0:3,Plymouth Argyle,2,Fussball - England Football League Trophy
030,08.10. 20:45,ENG LTR,Oldham Athletic,0:3,Accrington Stanley,2,Fussball - England Football League Trophy
031,08.10. 20:45,ENG LTR,Mansfield Town,1:1,FC Crewe Alexandra,X,Fussball - England Football League Trophy
032,08.10. 20:45,ENG LTR,Oxford United,2:2,FC Portsmouth,X,Fussball - England Football League Trophy
033,08.10. 20:45,ENG LTR,Newport County,0:2,Exeter City,2,Fussball - England Football League Trophy
034,08.10. 20:45,ENG LTR,Wycombe Wanderers,0:1,FC Stevenage,2,Fussball - England Football League Trophy
