Num,Date,Liga,Team 1,Score,Team 2,Result,Liga Title
081,29.12. 15:00,ITA B,Pordenone Calcio,1:0,US Cremonese,1,Fussball - Italien Serie B
082,29.12. 15:00,ITA B,FC Crotone,3:0,Trapani Calcio,1,Fussball - Italien Serie B
083,29.12. 15:00,SCO PS,Heart of Midl.,1:1,FC Aberdeen,X,Fussball - Schottland Premiership
084,29.12. 16:00,ENG CS,FC Fulham,1:0,Stoke City,1,Fussball - England Championship
085,29.12. 16:00,ENG CS,Huddersfield Town,2:1,Blackburn Rovers,1,Fussball - England Championship
086,29.12. 16:00,ENG CS,Birmingham City,4:5,Leeds United,2,Fussball - England Championship
087,29.12. 16:00,ENG CS,Bristol City,3:0,Luton Town,1,Fussball - England Championship
088,29.12. 16:00,ENG CS,FC Millwall,1:0,FC Brentford,1,Fussball - England Championship
089,29.12. 16:00,ENG CS,Nottingham Forest,1:0,Wigan Athletic,1,Fussball - England Championship
090,29.12. 16:00,ENG CS,Preston North End,0:2,FC Reading,2,Fussball - England Championship
091,29.12. 16:00,ENG CS,West Bromwich,0:2,FC Middlesbrough,2,Fussball - England Championship
092,29.12. 16:00,ENG CS,Queens Park R.,1:2,Hull City,2,Fussball - England Championship
093,29.12. 16:00,ENG CS,Sheffield Wednes.,1:2,Cardiff City,2,Fussball - England Championship
094,29.12. 16:00,ENG CS,Swansea City,0:0,FC Barnsley,X,Fussball - England Championship
095,29.12. 16:00,ENG 1,AFC Wimbledon,1:2,Oxford United,2,Fussball - England League One
096,29.12. 16:00,ENG 1,Bolton Wanderers,1:1,Shrewsbury Town,X,Fussball - England League One
097,29.12. 16:00,ENG 1,Doncaster Rovers,1:2,AFC Sunderland,2,Fussball - England League One
098,29.12. 16:00,ENG 1,Fleetwood Town,0:0,Bristol Rovers,X,Fussball - England League One
099,29.12. 16:00,ENG 1,Lincoln City,5:3,Ipswich Town,1,Fussball - England League One
100,29.12. 16:00,ENG 1,MK Dons,3:1,FC Portsmouth,1,Fussball - England League One
101,29.12. 16:00,ENG 1,Rotherham United,4:0,Peterborough Utd.,1,Fussball - England League One
102,29.12. 16:00,ENG 1,Tranmere Rovers,1:1,FC Blackpool,X,Fussball - England League One
103,29.12. 16:00,ENG 1,Wycombe Wanderers,1:4,Coventry City,2,Fussball - England League One
104,29.12. 16:00,POR 2,CD Feirense,1:1,Casa Pia Atletico,X,Fussball - Portugal Segunda Liga
105,29.12. 16:00,SCO PS,FC Motherwell,1:2,Hamilton FC,2,Fussball - Schottland Premiership
106,29.12. 16:00,SCO PS,FC St. Johnstone,1:1,FC Ross County,X,Fussball - Schottland Premiership
107,29.12. 16:00,SCO PS,FC Livingston,2:0,Hibernian FC,1,Fussball - Schottland Premiership
108,29.12. 16:00,SCO PS,FC St. Mirren,1:0,FC Kilmarnock,1,Fussball - Schottland Premiership
109,29.12. 17:00,TUR 1,Caykur Rizespor,1:2,Fenerbahce,2,Fussball - Türkei Süper Lig
110,29.12. 17:30,ENG PL,FC Liverpool,1:0,Wolverhampton,1,Fussball - England Premier League
111,29.12. 17:30,ENG PL,FC Liverpool,1:1,Wolverhampton+1,X,Fussball - England Premier League
112,29.12. 18:00,ITA B,Benevento Calcio,4:0,Ascoli FC,1,Fussball - Italien Serie B
113,29.12. 18:00,ISR 1,Maccabi Netanya,0:3,Bnei Yehuda,2,Fussball - Israel Winner League
114,29.12. 18:15,POR 2,GD Chaves,2:1,Vilafranquense,1,Fussball - Portugal Segunda Liga
115,29.12. 19:00,ENG PL,Manchester City,2:0,Sheffield United,1,Fussball - England Premier League
116,29.12. 19:15,ISR 1,Sectzya Nes Ziona,0:1,Hapoel Tel Aviv,2,Fussball - Israel Winner League
117,29.12. 21:00,ITA B,FC Empoli,1:1,AS Livorno,X,Fussball - Italien Serie B
118,29.12. 22:25,NFL,Baltimore Ravens,28:10,Pittsbgh. Steelers,1,Football - USA NFL
119,29.12. 22:25,NFL,Houston Texans,14:35,Tennessee Titans,2,Football - USA NFL
120,30.12. 02:20,NFL,Seattle Seahawks,21:26,San Francisco 49,2,Football - USA NFL
