Num,Date,Liga,Team 1,Score,Team 2,Result,Liga Title
088,30.06. 18:00,NOR 1,Lilleström SK,4:0,Tromsö IL,1,Fussball - Norwegen Tippeligaen
089,30.06. 18:00,NOR 1,Bodö Glimt,3:0,Odds BK,1,Fussball - Norwegen Tippeligaen
090,30.06. 18:00,NOR 1,Mjöndalen,1:1,Viking FK,X,Fussball - Norwegen Tippeligaen
091,30.06. 18:00,NOR 1,FK Haugesund,1:4,Valerenga IF,2,Fussball - Norwegen Tippeligaen
092,30.06. 18:00,ISL 1,IBV Vestmannaeyjar,0:2,Stjarnan Gardab.,2,Fussball - Island Urvalsdeild
093,30.06. 19:00,ISL 1,Fylkir Reykjavik,3:2,KA Akureyri,1,Fussball - Island Urvalsdeild
094,30.06. 20:45,U21 EM,Deutschland U21*,1:2,Spanien U21,2,Fussball - U21 Europameisterschaft
095,30.06. 20:00,NOR 1,Molde FK,1:1,SK Brann,X,Fussball - Norwegen Tippeligaen
096,30.06. 21:00,AFR CUP,Uganda,0:2,Ägypten,2,Fussball - Afrika Cup
097,30.06. 21:00,AFR CUP,Simbabwe,0:4,Kongo DR,2,Fussball - Afrika Cup
098,30.06. 21:15,ISL 1,HK Kopavogs,1:2,Valur Reykjavik,2,Fussball - Island Urvalsdeild
099,30.06. 23:30,G-CUP,Jamaika,1:0,Panama,1,Fussball - Gold Cup
100,01.07. 02:30,G-CUP,USA,1:0,Curacao,1,Fussball - Gold Cup
101,01.07. 05:00,USA MLS,Portland Timbers,1:0,FC Dallas,1,Fussball - USA Major League Soccer
102,01.07. 13:35,CHN 1,Shenhua Shanghai,0:3,Guangzhou Ev.,2,Fussball - China Chinese Super League
103,01.07. 17:30,FIN 1,Seinajoen JK,2:1,FC Inter Turku,1,Fussball - Finnland Veikkausliiga
104,01.07. 17:30,FIN 3,Klubi 04,2:2,Järvenpään PS,X,Fussball - Finnland Kakkonen
105,01.07. 18:00,AFR CUP,Südafrika,0:1,Marokko,2,Fussball - Afrika Cup
106,01.07. 18:00,AFR CUP,Namibia,1:4,Elfenbeinküste,2,Fussball - Afrika Cup
107,01.07. 19:00,NOR 1,Sarpsborg 08,2:2,Strömsgodset,X,Fussball - Norwegen Tippeligaen
108,01.07. 19:00,SWE 1,BK Häcken,2:0,Hammarby IF,1,Fussball - Schweden Allsvenskan
109,01.07. 19:00,SWE 1,Djurgardens IF,2:0,Kalmar FF,1,Fussball - Schweden Allsvenskan
110,01.07. 19:00,SWE 3S,IK Oddevold,0:1,Ljungskile SK,2,Fussball - Schweden Div 1 Södra
111,01.07. 20:45,IRL 1,FC Dundalk,3:0,Waterford United,1,Fussball - Irland Premier Division
112,01.07. 20:45,IRL 1,St Patrick's,0:2,FC Shamrock Rovers,2,Fussball - Irland Premier Division
113,01.07. 20:45,IRL 1,FC Sligo Rovers,5:1,UC Dublin,1,Fussball - Irland Premier Division
114,01.07. 21:00,IRL 1,Boh. Dublin,0:0,FC Derry City,X,Fussball - Irland Premier Division
115,01.07. 21:00,IRL 1,FC Finn Harps,0:0,Cork City FC,X,Fussball - Irland Premier Division
116,01.07. 21:00,AFR CUP,Tansania,0:3,Algerien,2,Fussball - Afrika Cup
117,01.07. 21:00,AFR CUP,Kenia,0:3,Senegal,2,Fussball - Afrika Cup
118,01.07. 21:15,ISL 1,UMF Grindavik,0:0,FH Hafnarfjördur,X,Fussball - Island Urvalsdeild
119,01.07. 21:15,ISL 1,Vikingur Reykjavik,0:0,IA Akranes,X,Fussball - Island Urvalsdeild
120,01.07. 21:15,ISL 1,KR Reykjavik,2:0,Breidablik,1,Fussball - Island Urvalsdeild
