Num,Date,Liga,Team 1,Score,Team 2,Result,Liga Title
001,15.11. 13:00,FS,SK Rapid Wien AUT,2:1,BW Linz AUT,1,Fussball - Freundschaftsspiele International (Klub)
002,15.11. 17:00,U21 EMQ,Bulgarien U21,3:0,Polen U21,1,Fussball - U21 EM Qualifikation
003,15.11. 17:30,U21 EMQ,Ukraine U21,2:3,Dänemark U21,2,Fussball - U21 EM Qualifikation
004,15.11. 18:00,U21 EMQ,Österreich U21,4:0,Kosovo U21,1,Fussball - U21 EM Qualifikation
005,15.11. 18:00,EM Q,Armenien,0:1,Griechenland,2,Fussball - Europameisterschaft Qualifikation
006,15.11. 18:00,EM Q,Norwegen,4:2,Färöer Inseln+2,1,Fussball - Europameisterschaft Qualifikation
007,15.11. 18:00,EM Q,Finnland,3:2,Liechtenstein+2,1,Fussball - Europameisterschaft Qualifikation
008,15.11. 18:00,INT FS,Brasilien*,0:1,Argentinien,2,Fussball - Internationale Freundschaftsspiele
009,15.11. 18:30,EH AUT,HC Znojmo,4:3,EC Dornbirn,1,Eishockey - Österreich Erste Bank-EHL
010,15.11. 19:00,INT FS,Ungarn,1:2,Uruguay,2,Fussball - Internationale Freundschaftsspiele
011,15.11. 19:00,AUT RLO,SV Mattersburg Am.,3:1,Mannsdorf-Großenz.,1,Fussball - Österreich Regionalliga Ost
012,15.11. 19:00,AUT RLO,Bruck/Leitha,1:0,ASK Ebreichsdorf,1,Fussball - Österreich Regionalliga Ost
013,15.11. 19:15,EH AUT,KAC Klagenfurt,8:3,Vienna Capitals,1,Eishockey - Österreich Erste Bank-EHL
014,15.11. 19:15,EH AUT,HC Innsbruck,3:4,Black Wings Linz,2,Eishockey - Österreich Erste Bank-EHL
015,15.11. 19:30,AUT RLO,Admira Amateure,1:1,Rapid Wien Am.,X,Fussball - Österreich Regionalliga Ost
016,15.11. 19:30,AUT RLO,Wiener Sportklub,2:2,FC Mauerwerk,X,Fussball - Österreich Regionalliga Ost
017,15.11. 19:45,EH AUT,HC Bozen Foxes,5:2,Fehervar,1,Eishockey - Österreich Erste Bank-EHL
018,15.11. 20:00,U21 EMQ,Schottland U21,0:1,Griechenland U21,2,Fussball - U21 EM Qualifikation
019,15.11. 20:00,NL 2,FC Oss,1:2,FC Volendam,2,Fussball - Niederlande Jupiler League
020,15.11. 20:00,NL 2,FC Dordrecht,1:1,Roda JC Kerkrade,X,Fussball - Niederlande Jupiler League
021,15.11. 20:00,NL 2,FC Eindhoven,2:0,MVV Maastricht,1,Fussball - Niederlande Jupiler League
022,15.11. 20:30,BEL 2,OH Leuven,0:3,KFCO Wilrijk,2,Fussball - Belgium Tweede Klasse
023,15.11. 20:45,EM Q,Rumänien,0:2,Schweden,2,Fussball - Europameisterschaft Qualifikation
024,15.11. 20:45,EM Q,Rumänien+1,1:2,Schweden,2,Fussball - Europameisterschaft Qualifikation
025,15.11. 20:45,EM Q,Bosnien-Herzegow.,0:3,Italien,2,Fussball - Europameisterschaft Qualifikation
026,15.11. 20:45,EM Q,Schweiz,1:0,Georgien,1,Fussball - Europameisterschaft Qualifikation
027,15.11. 20:45,EM Q,Schweiz,1:2,Georgien+2,2,Fussball - Europameisterschaft Qualifikation
028,15.11. 20:45,EM Q,Dänemark,6:5,Gibraltar+5,1,Fussball - Europameisterschaft Qualifikation
029,15.11. 20:45,EM Q,Spanien,7:4,Malta+4,1,Fussball - Europameisterschaft Qualifikation
030,15.11. 20:45,EM Q,Spanien,7:5,Malta+5,1,Fussball - Europameisterschaft Qualifikation
031,16.11. 01:00,CCC NL,USA,4:1,Kanada,1,Fussball - CONCACAF Nations League
032,16.11. 02:30,INT FS,Peru*,0:1,Kolumbien,2,Fussball - Internationale Freundschaftsspiele
033,16.11. 03:00,CCC NL,Panama,0:3,Mexiko,2,Fussball - CONCACAF Nations League
034,16.11. 14:00,AUT RLO,SV Stripfing,1:0,ASV Draßburg,1,Fussball - Österreich Regionalliga Ost
035,16.11. 15:00,AUT RLO,Wiener Viktoria,3:3,FCM Traiskirchen,X,Fussball - Österreich Regionalliga Ost
036,16.11. 15:00,TEN ATP,"Tsitsipas, Stefan.",2:0,"Federer, Roger",1,Tennis - Tennis ATP
037,16.11. 15:00,EM Q,Zypern,1:2,Schottland,2,Fussball - Europameisterschaft Qualifikation
038,16.11. 16:00,ENG 1,FC Blackpool,2:0,AFC Wimbledon,1,Fussball - England League One
039,16.11. 16:00,ENG 1,Coventry City,2:1,FC Rochdale,1,Fussball - England League One
040,16.11. 17:00,U19 EMQ,Österreich U19,2:1,Schweiz U19,1,"Fussball - U19 EM, Qualifikation"
041,16.11. 17:00,AUT RLO,SV Leobendorf,0:0,SC Neusiedl,X,Fussball - Österreich Regionalliga Ost
042,16.11. 17:30,BB AUT,WBC Wels,67:58,Kapfenberg Bulls,1,Basketball - Österreich Basketball Superliga
043,16.11. 18:00,EM Q,Russland,1:4,Belgien,2,Fussball - Europameisterschaft Qualifikation
044,16.11. 18:00,EM Q,Russland+1,2:4,Belgien,2,Fussball - Europameisterschaft Qualifikation
045,16.11. 18:00,EM Q,Aserbaidschan,0:2,Wales,2,Fussball - Europameisterschaft Qualifikation
046,16.11. 18:00,EM Q,Slowenien,1:2,Lettland+2,2,Fussball - Europameisterschaft Qualifikation
047,16.11. 18:00,EM Q,San Marino+2,3:3,Kasachstan,X,Fussball - Europameisterschaft Qualifikation
048,16.11. 18:00,AUT RLO,SC Team Wr. Linien,2:1,SC Wiener Neustadt,1,Fussball - Österreich Regionalliga Ost
049,16.11. 18:00,HB AUT,Handball Tirol,22:32,Fivers Margareten,2,Handball - Österreich HLA
050,16.11. 18:30,U21 EMQ,Italien U21,3:0,Island U21,1,Fussball - U21 EM Qualifikation
051,16.11. 18:30,ESP 2,Elche CF,1:1,UD Almeria,X,Fussball - Spanien Segunda Division
052,16.11. 19:00,BB AUT,UBC St. Pölten,86:106,Klosterneuburg,2,Basketball - Österreich Basketball Superliga
053,16.11. 19:00,HB AUT,SC Ferlach,31:30,SG Westwien,1,Handball - Österreich HLA
054,16.11. 20:45,EM Q,Nordirland,0:0,Niederlande,X,Fussball - Europameisterschaft Qualifikation
055,16.11. 20:45,EM Q,Nordirland+1,1:0,Niederlande,1,Fussball - Europameisterschaft Qualifikation
056,16.11. 20:45,EM Q,Deutschland,4:3,Weißrussland+3,1,Fussball - Europameisterschaft Qualifikation
057,16.11. 20:45,EM Q,Deutschland,4:4,Weißrussland+4,X,Fussball - Europameisterschaft Qualifikation
058,16.11. 20:45,EM Q,Kroatien,3:1,Slowakei,1,Fussball - Europameisterschaft Qualifikation
059,16.11. 20:45,EM Q,Israel,1:2,Polen,2,Fussball - Europameisterschaft Qualifikation
060,16.11. 20:45,EM Q,Israel+1,2:2,Polen,X,Fussball - Europameisterschaft Qualifikation
061,16.11. 20:45,EM Q,Österreich,2:1,Nordmazedonien,1,Fussball - Europameisterschaft Qualifikation
062,16.11. 20:45,EM Q,Österreich,2:2,Nordmazedonien+1,X,Fussball - Europameisterschaft Qualifikation
063,16.11. 20:45,EM Q,Österreich,2:3,Nordmazedonien+2,2,Fussball - Europameisterschaft Qualifikation
064,16.11. 21:00,ESP 2,Real Saragossa,0:1,Albacete Balompie,2,Fussball - Spanien Segunda Division
065,16.11. 21:00,BRA 1,Santos SP,1:1,Sao Paulo SP,X,Fussball - Brasilien Brasilero Serie A
066,16.11. 21:00,TEN ATP,"Thiem, Dominic",2:0,"Zverev, Alexander",1,Tennis - Tennis ATP
067,16.11. 23:00,BRA 1,Fluminense RJ,1:1,Atletico MG,X,Fussball - Brasilien Brasilero Serie A
068,17.11. 14:00,ESP 2,Alcorcon AD,1:0,Malaga CF,1,Fussball - Spanien Segunda Division
069,17.11. 15:00,EM Q,Serbien,2:2,Ukraine,X,Fussball - Europameisterschaft Qualifikation
070,17.11. 15:00,EM Q,Serbien,2:3,Ukraine+1,2,Fussball - Europameisterschaft Qualifikation
071,17.11. 15:00,EM Q,Luxemburg+2,2:2,Portugal,X,Fussball - Europameisterschaft Qualifikation
072,17.11. 16:00,U21 EMQ,Deutschland U21,2:3,Belgien U21,2,Fussball - U21 EM Qualifikation
073,17.11. 16:00,ESP 2,Real Oviedo,0:0,Sporting Gijon,X,Fussball - Spanien Segunda Division
074,17.11. 16:00,BEL 2,Saint-Gilloise,2:0,Excelsior Virton,1,Fussball - Belgium Tweede Klasse
075,17.11. 16:00,EH AUT,EC Graz 99ers,1:5,EC RB Salzburg,2,Eishockey - Österreich Erste Bank-EHL
