Num,Date,Liga,Team 1,Score,Team 2,Result,Liga Title
076,14.06. 01:00,BRA 1,Atletico MG,1:1,Sao Paulo SP,X,Fussball - Brasilien Brasilero Serie A
077,14.06. 01:00,BRA 1,SE Palmeiras SP,2:0,Avai FC SC,1,Fussball - Brasilien Brasilero Serie A
078,14.06. 01:00,BRA 1,Chapecoense SC,1:1,Fluminense RJ,X,Fussball - Brasilien Brasilero Serie A
079,14.06. 01:00,BRA 1,Goias EC GO,2:1,Atletico PR,1,Fussball - Brasilien Brasilero Serie A
080,16.06. 18:30,U21 EM,Polen U21,3:2,Belgien U21,1,Fussball - U21 Europameisterschaft
081,16.06. 21:00,U21 EM,Italien U21,3:1,Spanien U21,1,Fussball - U21 Europameisterschaft
082,17.06. 18:30,U21 EM,Serbien U21,0:2,Österreich U21,2,Fussball - U21 Europameisterschaft
083,17.06. 21:00,U21 EM,Deutschland U21,3:1,Dänemark U21,1,Fussball - U21 Europameisterschaft
084,18.06. 18:30,U21 EM,Rumänien U21,4:1,Kroatien U21,1,Fussball - U21 Europameisterschaft
085,18.06. 21:00,U21 EM,England U21,1:2,Frankreich U21,2,Fussball - U21 Europameisterschaft
086,20.06. 18:30,U21 EM,Dänemark U21,3:1,Österreich U21,1,Fussball - U21 Europameisterschaft
087,20.06. 21:00,U21 EM,Deutschland U21,6:1,Serbien U21,1,Fussball - U21 Europameisterschaft
088,23.06. 21:00,U21 EM,Österreich U21,1:1,Deutschland U21,X,Fussball - U21 Europameisterschaft
089,23.06. 21:00,U21 EM,Dänemark U21,2:0,Serbien U21,1,Fussball - U21 Europameisterschaft
