Num,Date,Liga,Team 1,Score,Team 2,Result,Liga Title
001,15.10. 17:00,U21 EMQ,Island U21,1:0,Irland U21,1,Fussball - U21 EM Qualifikation
002,15.10. 17:00,U21 EMQ,Lettland U21,0:0,Bulgarien U21,X,Fussball - U21 EM Qualifikation
003,15.10. 17:00,EH CL,HC Pilsen CZE,1:1,EV Zug SUI,X,Eishockey - Champions Hockey League
004,15.10. 17:30,EH FIN,HC TPS Turku,1:4,Kookoo Kouvola,2,Eishockey - Finnland SM-Liiga
005,15.10. 18:00,EM Q,Finnland,3:0,Armenien,1,Fussball - Europameisterschaft Qualifikation
006,15.10. 18:00,INT FS,Chile*,3:2,Guinea,1,Fussball - Internationale Freundschaftsspiele
007,15.10. 18:00,EH CL,Färjestads BK SWE,3:1,EHC München GER,1,Eishockey - Champions Hockey League
008,15.10. 18:00,U21 EMQ,Polen U21,1:0,Serbien U21,1,Fussball - U21 EM Qualifikation
009,15.10. 18:00,U21 EMQ,Bosnien-Herz. U21,0:2,Deutschland U21,2,Fussball - U21 EM Qualifikation
010,15.10. 18:00,U21 EMQ,Aserbaidschan U21,0:1,Schweiz U21,2,Fussball - U21 EM Qualifikation
011,15.10. 18:15,U21 EMQ,Estland U21,0:5,Russland U21,2,Fussball - U21 EM Qualifikation
012,15.10. 18:30,U21 EMQ,Norwegen U21,0:4,Niederlande U21,2,Fussball - U21 EM Qualifikation
013,15.10. 18:35,U21 EMQ,Israel U21,3:1,Färöer Inseln U21,1,Fussball - U21 EM Qualifikation
014,15.10. 18:45,U21 EMQ,Montenegro U21,0:2,Spanien U21,2,Fussball - U21 EM Qualifikation
015,15.10. 19:00,U21 EMQ,Albanien U21,2:1,Kosovo U21,1,Fussball - U21 EM Qualifikation
016,15.10. 19:00,U21 EMQ,Luxemburg U21,0:3,Schweden U21,2,Fussball - U21 EM Qualifikation
017,15.10. 19:00,INT FS,Dänemark,4:2,Luxemburg+2,1,Fussball - Internationale Freundschaftsspiele
018,15.10. 19:00,HB AUT,UHK Krems,19:23,Alpla HC Hard,2,Handball - Österreich HLA
019,15.10. 19:30,EH CL,Vienna Caps AUT,5:2,GKS Tychy POL,1,Eishockey - Champions Hockey League
020,15.10. 19:30,EH CL,Adler Mannheim GER,2:1,Djurgardens IF SWE,1,Eishockey - Champions Hockey League
021,15.10. 19:45,EH CL,EHC Biel SUI,4:2,KAC Klagenfurt AUT,1,Eishockey - Champions Hockey League
022,15.10. 19:45,EH CL,HC Lausanne SUI,5:3,HC Trinec CZE,1,Eishockey - Champions Hockey League
023,15.10. 20:00,U21 EMQ,Belgien U21,4:1,Moldawien U21,1,Fussball - U21 EM Qualifikation
024,15.10. 20:05,U19 EMQ,Schottland U19,1:0,Deutschland U19,1,"Fussball - U19 EM, Qualifikation"
025,15.10. 20:45,EM Q,Schweiz,2:0,Irland,1,Fussball - Europameisterschaft Qualifikation
026,15.10. 20:45,EM Q,Schweiz,2:1,Irland+1,1,Fussball - Europameisterschaft Qualifikation
027,15.10. 20:45,EM Q,Gibraltar,2:3,Georgien,2,Fussball - Europameisterschaft Qualifikation
028,15.10. 20:45,EM Q,Schweden,1:1,Spanien,X,Fussball - Europameisterschaft Qualifikation
029,15.10. 20:45,EM Q,Schweden+1,2:1,Spanien,1,Fussball - Europameisterschaft Qualifikation
030,15.10. 20:45,EM Q,Färöer Inseln,1:0,Malta,1,Fussball - Europameisterschaft Qualifikation
031,15.10. 20:45,EM Q,Rumänien,1:1,Norwegen,X,Fussball - Europameisterschaft Qualifikation
032,15.10. 20:45,EM Q,Israel,3:1,Lettland,1,Fussball - Europameisterschaft Qualifikation
033,15.10. 20:45,EM Q,Liechtenstein+3,3:5,Italien,2,Fussball - Europameisterschaft Qualifikation
034,15.10. 20:45,EM Q,Griechenland,2:1,Bosnien-Herzegow.,1,Fussball - Europameisterschaft Qualifikation
035,15.10. 20:45,ENG LTR,Carlisle United,2:1,FC Blackpool,1,Fussball - England Football League Trophy
036,15.10. 20:45,U21 EMQ,England U21,5:1,Österreich U21,1,Fussball - U21 EM Qualifikation
037,15.10. 20:45,U21 EMQ,England U21,5:2,Österreich U21+1,1,Fussball - U21 EM Qualifikation
