Num,Date,Liga,Team 1,Score,Team 2,Result,Liga Title
001,07.06. 11:00,TEN WTA,"Barty, Ashleigh",2:1,"Anisimova, Am.",1,Tennis - Tennis WTA
002,07.06. 12:50,TEN ATP,"Federer, Roger",0:3,"Nadal, Rafael",2,Tennis - Tennis ATP
003,08.06. 11:59,TEN ATP,"Djokovic, Novak",2:3,"Thiem, Dominic",2,Tennis - Tennis ATP
004,07.06. 13:00,INT FS,Südkorea,1:0,Australien,1,Fussball - Internationale Freundschaftsspiele
005,07.06. 11:00,TEN WTA,"Konta, Johanna",0:2,Vondrousova M.,2,Tennis - Tennis WTA
006,07.06. 15:30,U20 WM,Kolumbien U20,0:1,Ukraine U20,2,Fussball - U20 Weltmeisterschaft
007,07.06. 18:00,EM Q,Georgien,3:3,Gibraltar+3,X,Fussball - Europameisterschaft Qualifikation
008,07.06. 18:00,AUT RLO,ASK Ebreichsdorf,6:1,SV Leobendorf,1,Fussball - Österreich Regionalliga Ost
009,07.06. 18:00,AUT RLW,SC Schwaz,0:6,USK Anif,2,Fussball - Österreich Regionalliga West
010,07.06. 18:00,AUT RLW,SV Grödig,2:2,FC Kitzbühel,X,Fussball - Österreich Regionalliga West
011,07.06. 18:00,AUT RLW,FC Dornbirn,2:1,FC Kufstein,1,Fussball - Österreich Regionalliga West
012,07.06. 18:30,U20 WM,Italien U20,4:2,Mali U20,1,Fussball - U20 Weltmeisterschaft
013,07.06. 18:30,FS U21,Schweden U21,3:1,Norwegen U21,1,Fussball - U21 Freundschaftsspiele
014,07.06. 18:45,AUT RLO,Bruck/Leitha,0:2,FC Stadlau,2,Fussball - Österreich Regionalliga Ost
015,07.06. 18:45,AUT RLO,SC Neusiedl,2:3,FC Mauerwerk,2,Fussball - Österreich Regionalliga Ost
016,07.06. 18:45,AUT RLO,Rapid Wien Am.,1:1,Admira Amateure,X,Fussball - Österreich Regionalliga Ost
017,07.06. 18:45,AUT RLO,FCM Traiskirchen,5:1,SV Mattersburg Am.,1,Fussball - Österreich Regionalliga Ost
018,07.06. 18:45,AUT RLO,SC Team Wr. Linien,2:2,Wiener Sportklub,X,Fussball - Österreich Regionalliga Ost
019,07.06. 18:45,AUT RLW,SV Seekirchen,4:0,SV Wörgl,1,Fussball - Österreich Regionalliga West
020,07.06. 18:45,AUT RLM,Sturm Graz Amat.,4:1,WSC Hertha Wels,1,Fussball - Österreich Regionalliga Mitte
021,07.06. 18:45,AUT RLM,Deutschlandsberg,3:1,WAC Amateure,1,Fussball - Österreich Regionalliga Mitte
022,07.06. 20:30,INT FS,Slowakei,5:1,Jordanien,1,Fussball - Internationale Freundschaftsspiele
023,07.06. 20:45,EM Q,Montenegro,1:1,Kosovo,X,Fussball - Europameisterschaft Qualifikation
