pos, club, country, part, titles, pld, w, d, l, f, a, pts, gd
77, Ferencvárosi TC, HUN, 21, 0, 87, 35, 22, 30, 137, 111, 92, 26
78, FC Bayern München, GER, 9, 1, 68, 39, 13, 16, 151, 82, 91, 69
79, AJ Auxerre, FRA, 14, 0, 78, 37, 17, 24, 123, 76, 91, 47
80, Dundee United FC, SCO, 19, 0, 82, 33, 25, 24, 134, 89, 91, 45
81, APOEL FC, CYP, 19, 0, 94, 36, 19, 39, 124, 128, 91, -4
82, ŠK Slovan Bratislava, SVK, 19, 0, 87, 37, 16, 34, 140, 126, 90, 14
83, PFC CSKA Sofia, BUL, 22, 0, 94, 30, 30, 34, 120, 121, 90, -1
84, RCD Espanyol, ESP, 8, 0, 67, 37, 15, 15, 112, 62, 89, 50
85, KRC Genk, BEL, 8, 0, 68, 37, 15, 16, 133, 92, 89, 41
86, Paris Saint-Germain, FRA, 9, 0, 72, 32, 24, 16, 106, 62, 88, 44
87, FC Dinamo 1948, ROU, 23, 0, 90, 37, 14, 39, 147, 127, 88, 20
88, 1. FC Kaiserslautern, GER, 13, 0, 78, 40, 7, 31, 144, 98, 87, 46
89, Trabzonspor AŞ, TUR, 19, 0, 85, 33, 21, 31, 115, 117, 87, -2
90, Galatasaray AŞ, TUR, 17, 1, 77, 29, 25, 23, 120, 100, 83, 20
91, IFK Göteborg, SWE, 15, 2, 68, 32, 18, 18, 96, 57, 82, 39
92, AS Saint-Étienne, FRA, 10, 0, 74, 28, 26, 20, 117, 81, 82, 36
93, FC Rapid 1923, ROU, 13, 0, 72, 33, 16, 23, 104, 72, 82, 32
94, FC Slovan Liberec, CZE, 11, 0, 72, 34, 14, 24, 105, 90, 82, 15
95, Aberdeen FC, SCO, 22, 0, 84, 27, 27, 30, 108, 108, 81, 0
96, Arsenal FC, ENG, 9, 0, 62, 35, 10, 17, 121, 66, 80, 55
97, Torino FC, ITA, 13, 0, 69, 31, 18, 20, 110, 70, 80, 40
98, BSC Young Boys, SUI, 15, 0, 76, 30, 19, 27, 115, 102, 79, 13
99, AC Omonia, CYP, 19, 0, 72, 30, 18, 24, 114, 88, 78, 26
100, PFC CSKA Moskva, RUS, 12, 1, 63, 31, 15, 17, 94, 59, 77, 35
101, Malmö FF, SWE, 16, 0, 76, 31, 15, 30, 112, 94, 77, 18
102, KAA Gent, BEL, 13, 0, 74, 28, 21, 25, 101, 114, 77, -13
103, Real Madrid CF, ESP, 9, 2, 64, 33, 10, 21, 111, 75, 76, 36
104, Budapest Honvéd FC, HUN, 15, 0, 68, 31, 13, 24, 110, 98, 75, 12
105, Apollon Limassol FC, CYP, 14, 0, 80, 30, 15, 35, 119, 128, 75, -9
106, RC Celta de Vigo, ESP, 8, 0, 64, 29, 16, 19, 102, 61, 74, 41
107, RC Lens, FRA, 11, 0, 64, 28, 17, 19, 110, 74, 73, 36
