Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,2019-08-24,19:00 (18:00),PAS Lamia,1–1,Panathinaikos,2612,Dimotiko Athlitiko Kentro Lamias,,Match Report,
1,Sat,2019-08-24,21:00 (20:00),Aris,1–1,OFI Crete,12306,Stadio Harilaou Kleánthis Vikelídis,,Match Report,
1,Sat,2019-08-24,21:30 (20:30),Olympiacos,1–0,Asteras Tripoli,18921,Stadio Georgios Karaiskáki,Stefanos Koubarakis,Match Report,
1,Sun,2019-08-25,18:45 (17:45),Atromitos,1–1,Larissa,972,Stadio Peristeriou,Vasilis Fotias,Match Report,
1,Sun,2019-08-25,19:15 (18:15),Panionios,1–2,Volos NFC,1512,Stadio Néas Smírnis,Praxiteles Zachariadis,Match Report,
1,Sun,2019-08-25,20:00 (19:00),PAOK,2–1,Panetolikos,17968,Stadio Toumbas,Aristotelis Diamantopoulos,Match Report,
1,Sun,2019-08-25,22:00 (21:00),AEK Athens,1–2,Xanthi,10238,Olympiako Stadio Spyros Louis,,Match Report,
,,,,,,,,,,,
2,Sat,2019-08-31,19:00 (18:00),Panetolikos,1–2,Xanthi,2118,Stadio Panetolikou,Georgios Tzovaras,Match Report,
2,Sat,2019-08-31,19:15 (18:15),Panathinaikos,1–3,OFI Crete,5039,Olympiako Stadio Spyros Louis,,Match Report,
2,Sat,2019-08-31,21:30 (20:30),Volos NFC,1–0,Aris,1677,Panthessaliko Stadio,,Match Report,
2,Sun,2019-09-01,19:00 (18:00),PAOK,2–1,Panionios,15793,Stadio Toumbas,Anastasios Papapetrou,Match Report,
2,Sun,2019-09-01,19:15 (18:15),Larissa,0–1,Olympiacos,3883,AEL Arena,,Match Report,
2,Sun,2019-09-01,20:00 (19:00),PAS Lamia,2–2,Atromitos,1465,Dimotiko Athlitiko Kentro Lamias,Athanasios Sezos,Match Report,
2,Sun,2019-09-01,21:30 (20:30),Asteras Tripoli,2–3,AEK Athens,3825,Stadio Theodoros Kolokotronis,,Match Report,
,,,,,,,,,,,
3,Sat,2019-09-14,19:00 (18:00),Atromitos,2–3,PAOK,,Stadio Peristeriou,Georgios Tzovaras,Match Report,
3,Sat,2019-09-14,19:15 (18:15),OFI Crete,3–1,Panetolikos,,Stadio Thódoros Vardinoyánnis,Dimitrios Karantonis,Match Report,
3,Sat,2019-09-14,21:30 (20:30),Olympiacos,5–0,Volos NFC,,Stadio Georgios Karaiskáki,,Match Report,
3,Sun,2019-09-15,19:00 (18:00),Xanthi,2–1,Asteras Tripoli,,Xanthi FC Arena,Alexandros Tsamouris,Match Report,
3,Sun,2019-09-15,19:15 (18:15),AEK Athens,2–0,PAS Lamia,,Olympiako Stadio Spyros Louis,,Match Report,
3,Sun,2019-09-15,19:15 (18:15),Panionios,1–0,Larissa,,Stadio Néas Smírnis,Ioannis Papadopoulos,Match Report,
3,Sun,2019-09-15,21:30 (20:30),Aris,4–0,Panathinaikos,,Stadio Harilaou Kleánthis Vikelídis,,Match Report,
,,,,,,,,,,,
4,Sat,2019-09-21,17:15 (16:15),Volos NFC,,OFI Crete,,Panthessaliko Stadio,,,
4,Sat,2019-09-21,19:30 (18:30),Asteras Tripoli,,Atromitos,,Stadio Theodoros Kolokotronis,,,
4,Sat,2019-09-21,20:00 (19:00),Panetolikos,,AEK Athens,,Stadio Panetolikou,,,
4,Sun,2019-09-22,15:00 (14:00),Larissa,,Xanthi,,AEL Arena,,,
4,Sun,2019-09-22,18:30 (17:30),PAOK,,Aris,,Stadio Toumbas,,,
4,Sun,2019-09-22,19:30 (18:30),PAS Lamia,,Panionios,,Dimotiko Athlitiko Kentro Lamias,,,
4,Sun,2019-09-22,20:30 (19:30),Panathinaikos,,Olympiacos,,Olympiako Stadio Spyros Louis,,,
,,,,,,,,,,,
5,Sat,2019-09-28,17:15 (16:15),Aris,,Larissa,,Stadio Harilaou Kleánthis Vikelídis,,,
5,Sat,2019-09-28,19:30 (18:30),Olympiacos,,PAS Lamia,,Stadio Georgios Karaiskáki,,,
5,Sat,2019-09-28,20:00 (19:00),Atromitos,,Panetolikos,,Stadio Peristeriou,,,
5,Sun,2019-09-29,15:00 (14:00),OFI Crete,,Asteras Tripoli,,Stadio Thódoros Vardinoyánnis,,,
5,Sun,2019-09-29,17:00 (16:00),Xanthi,,Volos NFC,,Xanthi FC Arena,,,
5,Sun,2019-09-29,17:15 (16:15),Panionios,,Panathinaikos,,Stadio Néas Smírnis,,,
5,Sun,2019-09-29,19:30 (18:30),AEK Athens,,PAOK,,Olympiako Stadio Spyros Louis,,,
,,,,,,,,,,,
6,Sat,2019-10-05,17:15 (16:15),Panathinaikos,,Xanthi,,Olympiako Stadio Spyros Louis,,,
6,Sat,2019-10-05,19:30 (18:30),Larissa,,AEK Athens,,AEL Arena,,,
6,Sun,2019-10-06,15:00 (14:00),Volos NFC,,Atromitos,,Panthessaliko Stadio,,,
6,Sun,2019-10-06,17:15 (16:15),Asteras Tripoli,,PAOK,,Stadio Theodoros Kolokotronis,,,
6,Sun,2019-10-06,17:15 (16:15),OFI Crete,,Panionios,,Stadio Thódoros Vardinoyánnis,,,
6,Sun,2019-10-06,19:30 (18:30),Aris,,Olympiacos,,Stadio Harilaou Kleánthis Vikelídis,,,
6,Mon,2019-10-07,20:00 (19:00),PAS Lamia,,Panetolikos,,Dimotiko Athlitiko Kentro Lamias,,,
,,,,,,,,,,,
7,Sat,2019-10-19,,Xanthi,,Aris,,Xanthi FC Arena,,,
7,Sat,2019-10-19,,Atromitos,,Panathinaikos,,Stadio Peristeriou,,,
7,Sat,2019-10-19,,Panetolikos,,Larissa,,Stadio Panetolikou,,,
7,Sat,2019-10-19,,PAOK,,PAS Lamia,,Stadio Toumbas,,,
7,Sat,2019-10-19,,AEK Athens,,Volos NFC,,Olympiako Stadio Spyros Louis,,,
7,Sat,2019-10-19,,Olympiacos,,OFI Crete,,Stadio Georgios Karaiskáki,,,
