Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Wed,2019-07-03,20:00 (03:00),Houston,4–0,NY Red Bulls,19531,BBVA Compass Stadium,Baldomero Toledo,Match Report,
Thu,2019-07-04,19:00 (03:00),Colorado,1–2,New England,15584,Dick's Sporting Goods Park,Alex Chilowicz,Match Report,
Thu,2019-07-04,19:30 (04:30),LA Galaxy,2–0,Toronto FC,25482,Dignity Health Sports Park,Ramy Touchan,Match Report,
Thu,2019-07-04,20:00 (03:00),Dallas,2–0,D.C. United,19096,Toyota Stadium,Nima Saghafi,Match Report,
Sat,2019-07-06,19:30 (04:30),Los Angeles FC,6–1,Vancouver,22472,Banc of California Stadium,Allen Chapman,Match Report,
Sat,2019-07-06,19:30 (01:30),Montreal,2–3,Minnesota,16796,Stade Saputo,Alan Kelly,Match Report,
Sat,2019-07-06,19:30 (02:30),Sporting KC,1–0,Chicago,18570,Children's Mercy Park,Joe Dickerson,Match Report,
Sat,2019-07-06,19:30 (01:30),FC Cincinnati,3–2,Houston,26276,Nippert Stadium,Dave Gantar,Match Report,
Sat,2019-07-06,19:30 (04:30),San Jose,1–0,Real Salt Lake,15339,Avaya Stadium,Rubiel Vazquez,Match Report,
Sat,2019-07-06,19:30 (01:30),Columbus,1–2,Seattle,14183,MAPFRE Stadium,Chris Penso,Match Report,
Sun,2019-07-07,14:00 (20:00),Atlanta,3–3,NY Red Bulls,68077,Mercedes-Benz Stadium,Kevin Stott,Match Report,
Sun,2019-07-07,16:30 (22:30),Philadelphia,2–2,Orlando City,18574,Talen Energy Stadium,Robert Sibiga,Match Report,
Sun,2019-07-07,18:30 (00:30),NYCFC,0–1,Portland,18363,Yankee Stadium,Ted Unkel,Match Report,
Fri,2019-07-12,19:00 (01:00),D.C. United,2–2,New England,18903,Audi Field,Ted Unkel,Match Report,
Fri,2019-07-12,20:00 (05:00),LA Galaxy,1–3,San Jose,22508,Dignity Health Sports Park,Nima Saghafi,Match Report,
Fri,2019-07-12,20:00 (03:00),Houston,1–3,Los Angeles FC,17219,BBVA Compass Stadium,Armando Villarreal,Match Report,
Sat,2019-07-13,19:00 (02:00),Chicago,1–2,FC Cincinnati,13127,SeatGeek Stadium,Fotis Bazakos,Match Report,
Sat,2019-07-13,19:00 (04:00),Vancouver,0–3,Sporting KC,18700,BC Place Stadium,Ramy Touchan,Match Report,
Sat,2019-07-13,19:00 (02:00),Minnesota,1–0,Dallas,19906,Allianz Field,Baldomero Toledo,Match Report,
Sat,2019-07-13,19:30 (01:30),Orlando City,1–0,Columbus,22397,Orlando City Stadium,Dave Gantar,Match Report,
Sat,2019-07-13,19:30 (01:30),Montreal,0–2,Toronto FC,19619,Stade Saputo,Drew Fischer,Match Report,
Sat,2019-07-13,20:00 (05:00),Portland,2–2,Colorado,25218,Providence Park,Kevin Stott,Match Report,
Sat,2019-07-13,20:00 (04:00),Real Salt Lake,4–0,Philadelphia,18925,Rio Tinto Stadium,Silviu Petrescu,Match Report,
Sun,2019-07-14,12:55 (21:55),Seattle,2–1,Atlanta,38232,CenturyLink Field,Robert Sibiga,Match Report,
Sun,2019-07-14,18:30 (00:30),NY Red Bulls,2–1,NYCFC,20128,Red Bull Arena,Alan Kelly,Match Report,
Wed,2019-07-17,19:00 (02:00),Chicago,2–2,Columbus,7482,SeatGeek Stadium,Armando Villarreal,Match Report,
Wed,2019-07-17,19:00 (01:00),New England,4–0,Vancouver,10575,Gillette Stadium,Robert Sibiga,Match Report,
Wed,2019-07-17,19:00 (01:00),Atlanta,5–0,Houston,42557,Mercedes-Benz Stadium,Chris Penso,Match Report,
Wed,2019-07-17,20:00 (02:00),Toronto FC,3–1,NY Red Bulls,24462,BMO Field,Silviu Petrescu,Match Report,
Thu,2019-07-18,19:00 (04:00),Portland,1–1,Orlando City,25218,Providence Park,Joe Dickerson,Match Report,
Thu,2019-07-18,20:00 (02:00),FC Cincinnati,1–4,D.C. United,28774,Nippert Stadium,Baldomero Toledo,Match Report,
Fri,2019-07-19,19:00 (04:00),LA Galaxy,3–2,Los Angeles FC,27088,Dignity Health Sports Park,Jair Marrufo,Match Report,
Sat,2019-07-20,19:00 (04:00),Vancouver,1–3,San Jose,17558,BC Place Stadium,Silviu Petrescu,Match Report,
Sat,2019-07-20,19:00 (03:00),Colorado,1–2,NYCFC,15359,Dick's Sporting Goods Park,Chris Penso,Match Report,
Sat,2019-07-20,19:30 (01:30),Columbus,2–1,Montreal,15124,MAPFRE Stadium,Robert Sibiga,Match Report,
Sat,2019-07-20,19:30 (01:30),Toronto FC,1–3,Houston,25949,BMO Field,Alex Chilowicz,Match Report,
Sat,2019-07-20,19:30 (01:30),Philadelphia,2–0,Chicago,17471,Talen Energy Stadium,Rubiel Vazquez,Match Report,
Sat,2019-07-20,19:30 (02:30),Sporting KC,0–2,Dallas,18736,Children's Mercy Park,Alan Kelly,Match Report,
Sat,2019-07-20,20:00 (04:00),Real Salt Lake,1–1,Minnesota,16992,Rio Tinto Stadium,Dave Gantar,Match Report,
Sun,2019-07-21,16:00 (22:00),Atlanta,2–0,D.C. United,44405,Mercedes-Benz Stadium,Allen Chapman,Match Report,
Sun,2019-07-21,18:00 (00:00),FC Cincinnati,0–2,New England,25095,Nippert Stadium,Kevin Stott,Match Report,
Sun,2019-07-21,18:30 (03:30),Seattle,1–2,Portland,50072,CenturyLink Field,Drew Fischer,Match Report,
Sun,2019-07-21,19:30 (01:30),Orlando City,0–1,NY Red Bulls,22408,Orlando City Stadium,Armando Villarreal,Match Report,
Fri,2019-07-26,19:00 (04:00),Los Angeles FC,4–3,Atlanta,22511,Banc of California Stadium,Ismail Elfath,Match Report,
Fri,2019-07-26,19:30 (01:30),NYCFC,3–1,Sporting KC,20178,Yankee Stadium,Dave Gantar,Match Report,
Sat,2019-07-27,19:00 (01:00),New England,4–1,Orlando City,19043,Gillette Stadium,Alan Kelly,Match Report,
Sat,2019-07-27,19:00 (02:00),Dallas,0–0,Real Salt Lake,14717,Toyota Stadium,Ramy Touchan,Match Report,
Sat,2019-07-27,19:00 (02:00),Chicago,0–0,D.C. United,18232,SeatGeek Stadium,Kevin Stott,Match Report,
Sat,2019-07-27,19:00 (02:00),Minnesota,0–0,Vancouver,19845,Allianz Field,Armando Villarreal,Match Report,
Sat,2019-07-27,19:00 (04:00),San Jose,3–1,Colorado,17762,Avaya Stadium,Baldomero Toledo,Match Report,
Sat,2019-07-27,19:00 (02:00),Houston,0–1,Seattle,15138,BBVA Compass Stadium,Nima Saghafi,Match Report,
Sat,2019-07-27,19:30 (01:30),NY Red Bulls,2–3,Columbus,16126,Red Bull Arena,Fotis Bazakos,Match Report,
Sat,2019-07-27,19:30 (04:30),Portland,4–0,LA Galaxy,25218,Providence Park,Allen Chapman,Match Report,
Sat,2019-07-27,20:00 (02:00),Montreal,4–0,Philadelphia,16344,Stade Saputo,Jair Marrufo,Match Report,
Sat,2019-07-27,20:00 (02:00),Toronto FC,2–1,FC Cincinnati,25765,BMO Field,Marcos de Oliveira,Match Report,
Sat,2019-08-03,17:00 (23:00),Atlanta,3–0,LA Galaxy,72548,Mercedes-Benz Stadium,Drew Fischer,Match Report,
Sat,2019-08-03,18:00 (00:00),NY Red Bulls,2–0,Toronto FC,20128,Red Bull Arena,Jair Marrufo,Match Report,
Sat,2019-08-03,19:00 (03:00),Colorado,6–3,Montreal,14007,Dick's Sporting Goods Park,Marcos de Oliveira,Match Report,
Sat,2019-08-03,19:00 (04:00),San Jose,1–1,Columbus,17088,Avaya Stadium,Alex Chilowicz,Match Report,
Sat,2019-08-03,19:30 (01:30),New England,0–2,Los Angeles FC,25515,Gillette Stadium,Rubiel Vazquez,Match Report,
Sat,2019-08-03,19:30 (01:30),Orlando City,2–0,Dallas,22479,Orlando City Stadium,Silviu Petrescu,Match Report,
Sat,2019-08-03,20:00 (03:00),Houston,0–1,Chicago,14250,BBVA Compass Stadium,Ramy Touchan,Match Report,
Sat,2019-08-03,20:00 (02:00),FC Cincinnati,1–2,Vancouver,27106,Nippert Stadium,Rosendo Mendoza,Match Report,
Sat,2019-08-03,20:00 (04:00),Real Salt Lake,3–1,NYCFC,18282,Rio Tinto Stadium,Tim Ford,Match Report,
Sun,2019-08-04,15:00 (22:00),Minnesota,1–0,Portland,19726,Allianz Field,Chris Penso,Match Report,
Sun,2019-08-04,19:00 (04:00),Seattle,2–3,Sporting KC,37722,CenturyLink Field,Ismail Elfath,Match Report,
Sun,2019-08-04,19:30 (01:30),D.C. United,1–5,Philadelphia,18697,Audi Field,Armando Villarreal,Match Report,
Thu,2019-08-08,19:00 (01:00),NYCFC,3–2,Houston,18113,Yankee Stadium,Robert Sibiga,Match Report,
Sat,2019-08-10,13:00 (22:00),Seattle,3–3,New England,38826,CenturyLink Field,Dave Gantar,Match Report,
Sat,2019-08-10,19:00 (02:00),Dallas,5–3,Minnesota,15168,Toyota Stadium,Alex Chilowicz,Match Report,
Sat,2019-08-10,19:00 (03:00),Colorado,2–1,San Jose,13870,Dick's Sporting Goods Park,Tim Ford,Match Report,
Sat,2019-08-10,19:30 (01:30),Toronto FC,1–1,Orlando City,24487,BMO Field,Kevin Stott,Match Report,
Sat,2019-08-10,19:30 (02:30),Sporting KC,1–2,Real Salt Lake,18219,Children's Mercy Park,Fotis Bazakos,Match Report,
Sat,2019-08-10,19:30 (01:30),Columbus,2–2,FC Cincinnati,20865,MAPFRE Stadium,Silviu Petrescu,Match Report,
Sat,2019-08-10,20:00 (05:00),Portland,3–1,Vancouver,25218,Providence Park,Ted Unkel,Match Report,
Sat,2019-08-10,20:00 (03:00),Chicago,3–2,Montreal,11002,SeatGeek Stadium,Chris Penso,Match Report,
Sun,2019-08-11,15:55 (21:55),Atlanta,2–1,NYCFC,44052,Mercedes-Benz Stadium,Jair Marrufo,Match Report,
Sun,2019-08-11,18:00 (00:00),Philadelphia,2–1,Houston,18550,Talen Energy Stadium,Marcos de Oliveira,Match Report,
Sun,2019-08-11,19:00 (04:00),Los Angeles FC,4–2,NY Red Bulls,22342,Banc of California Stadium,Drew Fischer,Match Report,
Sun,2019-08-11,19:30 (01:30),D.C. United,2–1,LA Galaxy,20006,Audi Field,Alan Kelly,Match Report,
Wed,2019-08-14,19:00 (02:00),Minnesota,1–0,Colorado,19629,Allianz Field,Drew Fischer,Match Report,
Wed,2019-08-14,19:30 (01:30),Orlando City,1–0,Sporting KC,22347,Orlando City Stadium,Robert Sibiga,Match Report,
Wed,2019-08-14,19:30 (04:30),LA Galaxy,2–0,Dallas,19653,Dignity Health Sports Park,Ismail Elfath,Match Report,
Wed,2019-08-14,20:00 (05:00),Portland,3–2,Chicago,25218,Providence Park,Silviu Petrescu,Match Report,
Wed,2019-08-14,20:00 (04:00),Real Salt Lake,3–0,Seattle,17825,Rio Tinto Stadium,Armando Villarreal,Match Report,
Sat,2019-08-17,19:00 (04:00),LA Galaxy,2–2,Seattle,26213,Dignity Health Sports Park,Robert Sibiga,Match Report,
Sat,2019-08-17,19:00 (04:00),Vancouver,1–0,D.C. United,22120,BC Place Stadium,Tim Ford,Match Report,
Sat,2019-08-17,19:00 (01:00),NY Red Bulls,1–1,New England,18177,Red Bull Arena,Chris Penso,Match Report,
Sat,2019-08-17,19:00 (02:00),Chicago,2–0,Philadelphia,14883,SeatGeek Stadium,Joe Dickerson,Match Report,
Sat,2019-08-17,19:00 (02:00),Minnesota,1–1,Orlando City,19738,Allianz Field,Jair Marrufo,Match Report,
Sat,2019-08-17,19:30 (01:30),FC Cincinnati,1–4,NYCFC,27273,Nippert Stadium,Nima Saghafi,Match Report,
Sat,2019-08-17,19:30 (02:30),Sporting KC,2–1,San Jose,17941,Children's Mercy Park,Drew Fischer,Match Report,
Sat,2019-08-17,19:30 (01:30),Columbus,2–2,Toronto FC,17494,MAPFRE Stadium,Ramy Touchan,Match Report,
Sat,2019-08-17,19:30 (01:30),Montreal,3–3,Dallas,17509,Stade Saputo,Ted Unkel,Match Report,
Sat,2019-08-17,20:00 (03:00),Houston,2–2,Colorado,15458,BBVA Compass Stadium,Ismail Elfath,Match Report,
Sat,2019-08-17,20:00 (04:00),Real Salt Lake,0–2,Los Angeles FC,18213,Rio Tinto Stadium,Baldomero Toledo,Match Report,
Sun,2019-08-18,19:00 (04:00),Portland,0–2,Atlanta,25218,Providence Park,Armando Villarreal,Match Report,
Wed,2019-08-21,19:00 (01:00),NYCFC,1–0,Columbus,19828,Yankee Stadium,Allen Chapman,Match Report,
Wed,2019-08-21,19:30 (04:30),Los Angeles FC,4–0,San Jose,22110,Banc of California Stadium,Kevin Stott,Match Report,
Wed,2019-08-21,20:00 (02:00),D.C. United,1–2,NY Red Bulls,18302,Audi Field,Ismail Elfath,Match Report,
Thu,2019-08-22,20:30 (03:30),Sporting KC,1–0,Minnesota,17083,Children's Mercy Park,Rubiel Vazquez,Match Report,
Fri,2019-08-23,19:00 (04:00),Portland,1–2,Seattle,25218,Providence Park,,Match Report,
Fri,2019-08-23,20:00 (02:00),Orlando City,0–1,Atlanta,23014,Orlando City Stadium,Nima Saghafi,Match Report,
Sat,2019-08-24,19:00 (04:00),San Jose,3–1,Vancouver,17458,Avaya Stadium,Ramy Touchan,Match Report,
Sat,2019-08-24,19:00 (01:00),NYCFC,2–1,NY Red Bulls,28895,Yankee Stadium,Kevin Stott,Match Report,
Sat,2019-08-24,19:30 (01:30),New England,2–1,Chicago,16236,Gillette Stadium,Alex Chilowicz,Match Report,
Sat,2019-08-24,19:30 (01:30),Toronto FC,2–1,Montreal,28989,BMO Field,Baldomero Toledo,Match Report,
Sat,2019-08-24,19:30 (01:30),Philadelphia,3–1,D.C. United,18781,Talen Energy Stadium,Chris Penso,Match Report,
Sat,2019-08-24,20:00 (04:00),Real Salt Lake,2–0,Colorado,20384,Rio Tinto Stadium,Ted Unkel,Match Report,
Sun,2019-08-25,18:00 (00:00),FC Cincinnati,1–3,Columbus,30611,Nippert Stadium,Tim Ford,Match Report,
Sun,2019-08-25,19:00 (02:00),Dallas,5–1,Houston,15452,Toyota Stadium,Armando Villarreal,Match Report,
Sun,2019-08-25,19:30 (04:30),Los Angeles FC,3–3,LA Galaxy,22757,Banc of California Stadium,Allen Chapman,Match Report,
Wed,2019-08-28,20:00 (02:00),Montreal,2–1,Vancouver,14513,Stade Saputo,Ismail Elfath,Match Report,
Sat,2019-08-31,19:00 (01:00),NY Red Bulls,0–2,Colorado,17089,Red Bull Arena,Rubiel Vazquez,Match Report,
Sat,2019-08-31,19:00 (02:00),Dallas,3–1,FC Cincinnati,15811,Toyota Stadium,Guido Gonzalez Jr.,Match Report,
Sat,2019-08-31,19:00 (04:00),Vancouver,1–3,NYCFC,17512,BC Place Stadium,Marcos de Oliveira,Match Report,
Sat,2019-08-31,19:30 (01:30),Columbus,1–1,Chicago,16438,MAPFRE Stadium,Drew Fischer,Match Report,
Sat,2019-08-31,19:30 (01:30),New England,1–1,Toronto FC,16588,Gillette Stadium,Tim Ford,Match Report,
Sat,2019-08-31,19:30 (01:30),Philadelphia,3–1,Atlanta,18510,Talen Energy Stadium,Robert Sibiga,Match Report,
Sat,2019-08-31,19:30 (04:30),San Jose,3–0,Orlando City,17323,Avaya Stadium,Silviu Petrescu,Match Report,
Sat,2019-08-31,19:30 (02:30),Sporting KC,1–0,Houston,18917,Children's Mercy Park,Alan Kelly,Match Report,
Sat,2019-08-31,19:30 (01:30),Montreal,0–3,D.C. United,18285,Stade Saputo,Allen Chapman,Match Report,
Sat,2019-08-31,19:30 (04:30),Portland,1–0,Real Salt Lake,25218,Providence Park,Nima Saghafi,Match Report,
Sun,2019-09-01,15:30 (00:30),Seattle,4–3,LA Galaxy,46673,CenturyLink Field,Chris Penso,Match Report,
Sun,2019-09-01,19:30 (04:30),Los Angeles FC,0–2,Minnesota,22143,Banc of California Stadium,Armando Villarreal,Match Report,
Sat,2019-09-07,15:30 (21:30),NYCFC,2–1,New England,21236,Yankee Stadium,Silviu Petrescu,Match Report,
Sat,2019-09-07,19:00 (03:00),Colorado,2–0,Seattle,16607,Dick's Sporting Goods Park,Kevin Stott,Match Report,
Sat,2019-09-07,19:30 (01:30),FC Cincinnati,1–5,Toronto FC,25339,Nippert Stadium,Allen Chapman,Match Report,
Sat,2019-09-07,19:30 (04:30),Portland,2–1,Sporting KC,25218,Providence Park,Alex Chilowicz,Match Report,
Sat,2019-09-07,19:30 (01:30),Orlando City,2–2,Los Angeles FC,22371,Orlando City Stadium,Alan Kelly,Match Report,
Wed,2019-09-11,19:00 (03:00),Colorado,2–1,LA Galaxy,10945,Dick's Sporting Goods Park,,Match Report,
Wed,2019-09-11,19:00 (01:00),NYCFC,1–1,Toronto FC,19267,Yankee Stadium,Chris Penso,Match Report,
Wed,2019-09-11,19:30 (02:30),Houston,2–0,Minnesota,13566,BBVA Compass Stadium,,Match Report,
Wed,2019-09-11,19:30 (03:30),Real Salt Lake,1–0,San Jose,17196,Rio Tinto Stadium,,Match Report,
Sat,2019-09-14,12:30 (18:30),NYCFC,2–1,San Jose,20679,Yankee Stadium,Rubiel Vazquez,Match Report,
Sat,2019-09-14,14:30 (21:30),Chicago,4–0,Dallas,12874,SeatGeek Stadium,Jair Marrufo,Match Report,
Sat,2019-09-14,19:00 (04:00),Vancouver,2–1,Houston,17382,BC Place Stadium,Robert Sibiga,Match Report,
Sat,2019-09-14,19:00 (01:00),Atlanta,1–3,Columbus,68046,Mercedes-Benz Stadium,Alan Kelly,Match Report,
Sat,2019-09-14,19:30 (01:30),Montreal,0–1,FC Cincinnati,17159,Stade Saputo,Ramy Touchan,Match Report,
Sat,2019-09-14,19:30 (01:30),Philadelphia,1–1,Los Angeles FC,19145,Talen Energy Stadium,Nima Saghafi,Match Report,
Sat,2019-09-14,19:30 (01:30),Orlando City,3–3,New England,22419,Orlando City Stadium,Fotis Bazakos,Match Report,
Sun,2019-09-15,12:30 (21:30),Portland,,D.C. United,,Providence Park,,,
Sun,2019-09-15,15:00 (00:00),Seattle,,NY Red Bulls,,CenturyLink Field,,,
Sun,2019-09-15,16:30 (23:30),Minnesota,,Real Salt Lake,,Allianz Field,,,
Sun,2019-09-15,17:00 (23:00),Toronto FC,,Colorado,,BMO Field,,,
Sun,2019-09-15,19:00 (04:00),LA Galaxy,,Sporting KC,,Dignity Health Sports Park,,,
Wed,2019-09-18,19:30 (04:30),Seattle,,Dallas,,CenturyLink Field,,,
Wed,2019-09-18,19:30 (01:30),FC Cincinnati,,Atlanta,,Nippert Stadium,,,
Wed,2019-09-18,19:30 (04:30),Portland,,NY Red Bulls,,Providence Park,,,
Sat,2019-09-21,14:00 (23:00),Vancouver,,Columbus,,BC Place Stadium,,,
Sat,2019-09-21,15:30 (21:30),Atlanta,,San Jose,,Mercedes-Benz Stadium,,,
Sat,2019-09-21,19:30 (02:30),Houston,,Orlando City,,BBVA Compass Stadium,,,
Sat,2019-09-21,19:30 (02:30),Sporting KC,,Colorado,,Children's Mercy Park,,,
Sat,2019-09-21,19:30 (04:30),Los Angeles FC,,Toronto FC,,Banc of California Stadium,,,
Sat,2019-09-21,19:30 (01:30),New England,,Real Salt Lake,,Gillette Stadium,,,
Sat,2019-09-21,19:30 (04:30),LA Galaxy,,Montreal,,Dignity Health Sports Park,,,
Sat,2019-09-21,19:30 (01:30),FC Cincinnati,,Chicago,,Nippert Stadium,,,
Sun,2019-09-22,12:55 (21:55),Portland,,Minnesota,,Providence Park,,,
Sun,2019-09-22,17:00 (00:00),Dallas,,NYCFC,,Toyota Stadium,,,
Sun,2019-09-22,18:00 (00:00),NY Red Bulls,,Philadelphia,,Red Bull Arena,,,
Sun,2019-09-22,20:00 (02:00),D.C. United,,Seattle,,Audi Field,,,
Wed,2019-09-25,19:00 (02:00),Minnesota,,Sporting KC,,Allianz Field,,,
Wed,2019-09-25,19:00 (01:00),NYCFC,,Atlanta,,Yankee Stadium,,,
Wed,2019-09-25,19:30 (04:30),Portland,,New England,,Providence Park,,,
Wed,2019-09-25,19:30 (04:30),Los Angeles FC,,Houston,,Banc of California Stadium,,,
Wed,2019-09-25,19:30 (03:30),Real Salt Lake,,LA Galaxy,,Rio Tinto Stadium,,,
Wed,2019-09-25,20:00 (05:00),San Jose,,Philadelphia,,Avaya Stadium,,,
Sun,2019-09-29,16:00 (23:00),Chicago,,Toronto FC,,SeatGeek Stadium,,,
Sun,2019-09-29,16:30 (01:30),LA Galaxy,,Vancouver,,Dignity Health Sports Park,,,
Sun,2019-09-29,16:30 (01:30),San Jose,,Seattle,,Avaya Stadium,,,
Sun,2019-09-29,17:00 (23:00),FC Cincinnati,,Orlando City,,Nippert Stadium,,,
Sun,2019-09-29,17:00 (23:00),Columbus,,Philadelphia,,MAPFRE Stadium,,,
Sun,2019-09-29,17:00 (23:00),NY Red Bulls,,D.C. United,,Red Bull Arena,,,
Sun,2019-09-29,17:00 (23:00),New England,,NYCFC,,Gillette Stadium,,,
Sun,2019-09-29,17:00 (23:00),Montreal,,Atlanta,,Stade Saputo,,,
Sun,2019-09-29,17:30 (01:30),Real Salt Lake,,Houston,,,,,
Sun,2019-09-29,17:30 (01:30),Colorado,,Dallas,,Dick's Sporting Goods Park,,,
Sun,2019-09-29,18:30 (01:30),Sporting KC,,Portland,,Children's Mercy Park,,,
Sun,2019-09-29,18:30 (01:30),Minnesota,,Los Angeles FC,,Allianz Field,,,
Sun,2019-10-06,13:00 (22:00),Los Angeles FC,,Colorado,,,,,
Sun,2019-10-06,13:00 (22:00),Seattle,,Minnesota,,,,,
Sun,2019-10-06,13:00 (22:00),Portland,,San Jose,,,,,
Sun,2019-10-06,13:00 (22:00),Vancouver,,Real Salt Lake,,,,,
Sun,2019-10-06,15:00 (22:00),Dallas,,Sporting KC,,,,,
Sun,2019-10-06,15:00 (22:00),Houston,,LA Galaxy,,,,,
Sun,2019-10-06,16:00 (22:00),Atlanta,,New England,,Mercedes-Benz Stadium,,,
Sun,2019-10-06,16:00 (22:00),Toronto FC,,Columbus,,,,,
Sun,2019-10-06,16:00 (22:00),Philadelphia,,NYCFC,,,,,
Sun,2019-10-06,16:00 (22:00),Orlando City,,Chicago,,,,,
Sun,2019-10-06,16:00 (22:00),D.C. United,,FC Cincinnati,,,,,
Sun,2019-10-06,16:00 (22:00),Montreal,,NY Red Bulls,,,,,
