Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2019-07-12,18:00,Jablonec,2–0,Bohemians 1905,2612,Stadion Střelnice,Pavel Franek,Match Report,
1,Sat,2019-07-13,17:00,Příbram,1–1,Teplice,2862,Energon Aréna,Paval Julínek,Match Report,
1,Sat,2019-07-13,17:00,Baník Ostrava,1–2,Slovan Liberec,7542,Městský stadion - Vítkovice Aréna,Ondřej Berka,Match Report,
1,Sat,2019-07-13,19:30,Viktoria Plzeň,3–1,Sigma Olomouc,9611,Doosan Arena,Ondřej Pechanec,Match Report,
1,Sun,2019-07-14,16:30,Mladá Boleslav,1–0,Karviná,3728,Adidas Aréna,Zbyněk Proske,Match Report,
1,Sun,2019-07-14,16:30,České Budĕjov.,0–1,SFC Opava,4381,Fotbalový stadion Střelecký ostrov,Ondřej Ginzel,Match Report,
1,Sun,2019-07-14,19:00,Sparta Prague,0–2,Slovácko,14155,Generali Arena,Jiří Houdek,Match Report,
1,Mon,2019-07-15,18:00,Fastav Zlín,0–1,Slavia Prague,5898,Stadion Letná,Miroslav Zelinka,Match Report,
,,,,,,,,,,,
2,Fri,2019-07-19,18:30,Slovan Liberec,1–2,Viktoria Plzeň,5142,Stadion u Nisy,Pavel Franek,Match Report,
2,Sat,2019-07-20,17:00,Slovácko,0–2,České Budĕjov.,4089,Městský fotbalový stadion Miroslava Vale...,Ondřej Lerch,Match Report,
2,Sat,2019-07-20,17:00,SFC Opava,1–0,Příbram,2876,Stadion v Městských sadech,Jiří Houdek,Match Report,
2,Sat,2019-07-20,17:00,Sigma Olomouc,1–0,Fastav Zlín,3908,Andrův stadion,Paval Julínek,Match Report,
2,Sat,2019-07-20,19:30,Sparta Prague,2–0,Jablonec,10867,Generali Arena,Miroslav Zelinka,Match Report,
2,Sun,2019-07-21,16:30,Bohemians 1905,3–0,Mladá Boleslav,4522,Stadion Ďolíček,J. Machálek,Match Report,
2,Sun,2019-07-21,19:00,Teplice,1–5,Slavia Prague,13112,Na Stínadlech,Ondřej Pechanec,Match Report,
2,Mon,2019-07-22,18:00,Karviná,1–2,Baník Ostrava,4833,Městský stadion,Emanuel Marek,Match Report,
,,,,,,,,,,,
3,Fri,2019-07-26,18:30,Baník Ostrava,0–1,Teplice,7083,Městský stadion - Vítkovice Aréna,Pavel Franek,Match Report,
3,Sat,2019-07-27,17:00,Příbram,3–2,Bohemians 1905,4286,Energon Aréna,Emanuel Marek,Match Report,
3,Sat,2019-07-27,17:00,Fastav Zlín,2–1,Slovan Liberec,3256,Stadion Letná,Tomáš Klíma,Match Report,
3,Sat,2019-07-27,19:30,Viktoria Plzeň,3–2,Karviná,7035,Doosan Arena,Ondřej Ginzel,Match Report,
