Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
5,Sat,2019-05-18,19:00 (00:00),Palmeiras,4–0,Santos,32501,Allianz Parque,Rafael Traci,Match Report,
5,Sat,2019-05-18,19:00 (00:00),Atlético Mineiro,2–1,Flamengo,13616,Estádio Raimundo Sampaio,Paulo Roberto Alves Júnior,Match Report,
5,Sun,2019-05-19,11:00 (16:00),São Paulo,0–0,Bahia,44640,Estádio do Morumbi,Daniel Nobre Bins,Match Report,
5,Sun,2019-05-19,16:00 (21:00),Goiás,1–0,Botafogo (RJ),16347,Estádio de Hailé Pinheiro,Rodolpho Toski Marques,Match Report,
5,Sun,2019-05-19,16:00 (21:00),Internacional,2–0,CSA,24220,Estádio José Pinheiro Borba,Rodrigo Carvalhaes de Miranda,Match Report,
5,Sun,2019-05-19,16:00 (21:00),Athl Paranaense,0–2,Corinthians,18284,Estádio Joaquim Américo Guimarães,Wagner do Nascimento Magalhaes,Match Report,
5,Sun,2019-05-19,16:00 (21:00),Chapecoense,1–3,Fortaleza,6765,Arena Condá,Thiago Duarte Peixoto,Match Report,
5,Sun,2019-05-19,19:00 (00:00),Ceará,2–1,Grêmio,17506,Estádio Castelão,Igor Junior Benevenuto,Match Report,
5,Sun,2019-05-19,19:00 (00:00),Vasco da Gama,1–1,Avaí,13924,Estádio Club de Regatas Vasco da Gama,Ricardo Marques Ribeiro,Match Report,
,,,,,,,,,,,
6,Sat,2019-05-25,16:00 (21:00),Botafogo (RJ),0–1,Palmeiras,33143,Estádio Nilton Santos,Paulo Roberto Alves Júnior,Match Report,
6,Sat,2019-05-25,19:00 (00:00),Grêmio,1–0,Atlético Mineiro,13714,Arena do Grêmio,Rafael Traci,Match Report,
6,Sun,2019-05-26,16:00 (21:00),Flamengo,3–2,Athl Paranaense,52667,Estadio Jornalista Mário Filho,Daniel Nobre Bins,Match Report,
6,Sun,2019-05-26,16:00 (21:00),Santos,0–0,Internacional,12756,Estádio Urbano Caldeira,Rodolpho Toski Marques,Match Report,
6,Sun,2019-05-26,19:00 (00:00),Bahia,3–2,Fluminense,21776,Itaipava Arena Fonte Nova,Igor Junior Benevenuto,Match Report,
6,Sun,2019-05-26,19:00 (00:00),Cruzeiro,1–2,Chapecoense,18039,Estádio Governador Magalhães Pinto,Dewson Fernando Freitas da Silva,Match Report,
6,Sun,2019-05-26,19:00 (00:00),Corinthians,1–0,São Paulo,39378,Arena Corinthians,Flavio Rodrigues De Souza,Match Report,
6,Sun,2019-05-26,19:00 (00:00),Fortaleza,1–1,Vasco da Gama,28148,Estádio Castelão,Anderson Daronco,Match Report,
6,Mon,2019-05-27,20:00 (01:00),CSA,1–0,Goiás,9128,Estádio Rei Pelé,Edina Alves Batista,Match Report,
6,Mon,2019-05-27,20:00 (01:00),Avaí,1–2,Ceará,5543,Estádio Aderbal Ramos da Silva,Rodrigo Carvalhaes de Miranda,Match Report,
,,,,,,,,,,,
7,Sat,2019-06-01,16:00 (21:00),Flamengo,2–0,Fortaleza,37658,Estadio Jornalista Mário Filho,Rodrigo D'Alonso Ferreira,Match Report,
7,Sat,2019-06-01,19:00 (00:00),Bahia,1–0,Grêmio,26930,Itaipava Arena Fonte Nova,Dewson Fernando Freitas da Silva,Match Report,
7,Sun,2019-06-02,11:00 (16:00),Botafogo (RJ),1–0,Vasco da Gama,19503,Estádio Nilton Santos,Vinicius Gonçalves Dias Araujo,Match Report,
7,Sun,2019-06-02,16:00 (21:00),Athl Paranaense,3–0,Fluminense,11709,Estádio Joaquim Américo Guimarães,Wagner Reway,Match Report,
7,Sun,2019-06-02,16:00 (21:00),Ceará,0–1,Santos,50809,Estádio Castelão,Ricardo Marques Ribeiro,Match Report,
7,Sun,2019-06-02,16:00 (21:00),São Paulo,1–1,Cruzeiro,8517,Estádio do Morumbi,Braulio da Silva Machado,Match Report,
7,Sun,2019-06-02,19:00 (00:00),Chapecoense,1–2,Palmeiras,10615,Arena Condá,Rodolpho Toski Marques,Match Report,
7,Sun,2019-06-02,19:00 (00:00),Atlético Mineiro,4–0,CSA,14116,Estádio Raimundo Sampaio,Diego Pombo Lopez,Match Report,
7,Sun,2019-06-02,19:00 (00:00),Internacional,2–0,Avaí,19789,Estádio José Pinheiro Borba,Rodrigo Nunes de Sá,Match Report,
,,,,,,,,,,,
8,Fri,2019-06-07,20:30 (01:30),Vasco da Gama,2–1,Internacional,11046,Estádio Club de Regatas Vasco da Gama,Heber Roberto Lopes,Match Report,
8,Sat,2019-06-08,16:30 (21:30),Palmeiras,1–0,Athl Paranaense,37086,Allianz Parque,Rodrigo D'Alonso Ferreira,Match Report,
8,Sat,2019-06-08,19:00 (00:00),Grêmio,1–0,Fortaleza,3761,Arena do Grêmio,Savio Pereira,Match Report,
8,Sat,2019-06-08,19:00 (00:00),Cruzeiro,0–0,Corinthians,21370,Estádio Governador Magalhães Pinto,Marcelo de Lima Henrique,Match Report,
8,Sat,2019-06-08,19:30 (00:30),Ceará,0–0,Bahia,15566,Estádio Castelão,Thiago Duarte Peixoto,Match Report,
8,Sat,2019-06-08,21:00 (02:00),Avaí,0–0,São Paulo,8084,Estádio Aderbal Ramos da Silva,Caio Max Augusto Vieira,Match Report,
8,Sun,2019-06-09,19:00 (00:00),Fluminense,0–0,Flamengo,42726,Estadio Jornalista Mário Filho,Wagner do Nascimento Magalhaes,Match Report,
8,Sun,2019-06-09,19:00 (00:00),CSA,1–2,Botafogo (RJ),11602,Estádio Rei Pelé,Jean Pierre Goncalves Lima,Match Report,
8,Sun,2019-06-09,19:00 (00:00),Santos,3–1,Atlético Mineiro,5794,Estádio Urbano Caldeira,Dewson Fernando Freitas da Silva,Match Report,
8,Mon,2019-06-10,20:00 (01:00),Goiás,3–1,Chapecoense,7756,Estádio de Hailé Pinheiro,Igor Junior Benevenuto,Match Report,
,,,,,,,,,,,
9,Wed,2019-06-12,19:15 (00:15),Botafogo (RJ),0–1,Grêmio,17757,Estádio Nilton Santos,Marcelo Aparecido Ribeiro De Souza,Match Report,
9,Wed,2019-06-12,21:00 (02:00),Fortaleza,2–1,Cruzeiro,17099,Estádio Castelão,Heber Roberto Lopes,Match Report,
9,Wed,2019-06-12,21:30 (02:30),Internacional,3–1,Bahia,15724,Estádio José Pinheiro Borba,Paulo Roberto Alves Júnior,Match Report,
9,Wed,2019-06-12,21:30 (02:30),Santos,1–0,Corinthians,11831,Estádio Urbano Caldeira,Wagner do Nascimento Magalhaes,Match Report,
9,Wed,2019-06-12,21:30 (02:30),CSA,0–2,Flamengo,37673,Estádio Rei Pelé,Douglas Marques das Flores,Match Report,
9,Thu,2019-06-13,19:15 (00:15),Vasco da Gama,1–0,Ceará,19584,Estádio Club de Regatas Vasco da Gama,Flavio Rodrigues De Souza,Match Report,
9,Thu,2019-06-13,20:00 (01:00),Goiás,2–1,Athl Paranaense,10468,Estádio de Hailé Pinheiro,Rodrigo Carvalhaes de Miranda,Match Report,
9,Thu,2019-06-13,20:00 (01:00),Palmeiras,2–0,Avaí,31946,Allianz Parque,Marcelo de Lima Henrique,Match Report,
9,Thu,2019-06-13,20:00 (01:00),Atlético Mineiro,1–1,São Paulo,19761,Estádio Raimundo Sampaio,Leandro Pedro Vuaden,Match Report,
9,Thu,2019-06-13,20:00 (01:00),Chapecoense,1–1,Fluminense,6257,Arena Condá,Ricardo Marques Ribeiro,Match Report,
,,,,,,,,,,,
10,Sat,2019-07-13,17:00 (22:00),Grêmio,2–1,Vasco da Gama,9701,Arena do Grêmio,,Match Report,
10,Sat,2019-07-13,17:00 (22:00),Fortaleza,2–0,Avaí,24864,Estádio Castelão,,Match Report,
10,Sat,2019-07-13,19:00 (00:00),São Paulo,1–1,Palmeiras,38267,Estádio do Morumbi,,Match Report,
10,Sat,2019-07-13,19:00 (00:00),Bahia,0–1,Santos,18465,Itaipava Arena Fonte Nova,,Match Report,
10,Sun,2019-07-14,11:00 (16:00),Flamengo,6–1,Goiás,65154,Estadio Jornalista Mário Filho,,Match Report,
10,Sun,2019-07-14,16:00 (21:00),Cruzeiro,0–0,Botafogo (RJ),18012,Estádio Governador Magalhães Pinto,,Match Report,
10,Sun,2019-07-14,16:00 (21:00),Athl Paranaense,1–0,Internacional,12700,Estádio Joaquim Américo Guimarães,,Match Report,
10,Sun,2019-07-14,16:00 (21:00),Corinthians,1–0,CSA,33952,Arena Corinthians,,Match Report,
10,Sun,2019-07-14,19:00 (00:00),Chapecoense,1–2,Atlético Mineiro,2600,Arena Condá,Marcelo Aparecido Ribeiro De Souza,Match Report,
10,Mon,2019-07-15,20:00 (01:00),Fluminense,1–1,Ceará,23484,Estadio Jornalista Mário Filho,Douglas Marques das Flores,Match Report,
,,,,,,,,,,,
11,Sat,2019-07-20,11:00 (16:00),Vasco da Gama,2–1,Fluminense,20904,Estádio Club de Regatas Vasco da Gama,Bruno Arleu de Araujo,Match Report,
11,Sat,2019-07-20,17:00 (22:00),Bahia,0–0,Cruzeiro,24864,Itaipava Arena Fonte Nova,Luiz Flávio de Oliveira,Match Report,
11,Sat,2019-07-20,19:00 (00:00),Ceará,2–0,Palmeiras,32287,Estádio Castelão,Rodrigo D'Alonso Ferreira,Match Report,
11,Sat,2019-07-20,19:00 (00:00),CSA,0–4,Athl Paranaense,7845,Estádio Rei Pelé,Ricardo Marques Ribeiro,Match Report,
11,Sat,2019-07-20,19:00 (00:00),Internacional,1–1,Grêmio,35103,Estádio José Pinheiro Borba,Anderson Daronco,Match Report,
11,Sun,2019-07-21,11:00 (16:00),Botafogo (RJ),0–1,Santos,16248,Estádio Nilton Santos,Heber Roberto Lopes,Match Report,
11,Sun,2019-07-21,16:00 (21:00),Atlético Mineiro,2–2,Fortaleza,16043,Estádio Raimundo Sampaio,Edina Alves Batista,Match Report,
11,Sun,2019-07-21,16:00 (21:00),Corinthians,1–1,Flamengo,34737,Arena Corinthians,Leandro Pedro Vuaden,Match Report,
11,Sun,2019-07-21,19:00 (00:00),Avaí,0–0,Goiás,5497,Estádio Aderbal Ramos da Silva,Rodolpho Toski Marques,Match Report,
11,Mon,2019-07-22,20:00 (01:00),São Paulo,4–0,Chapecoense,35558,Estádio do Morumbi,Savio Pereira,Match Report,
,,,,,,,,,,,
12,Sat,2019-07-27,17:00 (22:00),Palmeiras,1–1,Vasco da Gama,37754,Allianz Parque,Ricardo Marques Ribeiro,Match Report,
12,Sat,2019-07-27,19:00 (00:00),Internacional,1–0,Ceará,11033,Estádio José Pinheiro Borba,Marcelo de Lima Henrique,Match Report,
12,Sat,2019-07-27,19:00 (00:00),Cruzeiro,0–2,Athl Paranaense,20689,Estádio Governador Magalhães Pinto,Rodrigo Carvalhaes de Miranda,Match Report,
12,Sat,2019-07-27,19:00 (00:00),Fluminense,1–2,São Paulo,21741,Estadio Jornalista Mário Filho,Anderson Daronco,Match Report,
12,Sun,2019-07-28,11:00 (16:00),Chapecoense,0–0,Bahia,12787,Arena Condá,Dewson Fernando Freitas da Silva,Match Report,
12,Sun,2019-07-28,16:00 (21:00),Santos,3–1,Avaí,12787,Estádio Urbano Caldeira,Wagner Reway,Match Report,
12,Sun,2019-07-28,16:00 (21:00),Flamengo,3–2,Botafogo (RJ),45622,Estadio Jornalista Mário Filho,Raphael Claus,Match Report,
12,Sun,2019-07-28,19:00 (00:00),Fortaleza,1–3,Corinthians,41546,Estádio Castelão,Wilton Sampaio,Match Report,
12,Sun,2019-07-28,19:00 (00:00),Goiás,0–0,Atlético Mineiro,10439,Estádio de Hailé Pinheiro,Luiz Flávio de Oliveira,Match Report,
12,Mon,2019-07-29,20:00 (01:00),CSA,0–0,Grêmio,11918,Estádio Rei Pelé,Caio Max Augusto Vieira,Match Report,
,,,,,,,,,,,
13,Sat,2019-08-03,19:00 (00:00),Ceará,2–1,Fortaleza,38421,Estádio Castelão,Heber Roberto Lopes,Match Report,
13,Sat,2019-08-03,19:00 (00:00),Fluminense,2–1,Internacional,16485,Estadio Jornalista Mário Filho,Rodolpho Toski Marques,Match Report,
13,Sun,2019-08-04,11:00 (16:00),Santos,6–1,Goiás,13462,Estádio Urbano Caldeira,Rafael Traci,Match Report,
13,Sun,2019-08-04,16:00 (21:00),Bahia,3–0,Flamengo,43099,Itaipava Arena Fonte Nova,Flavio Rodrigues De Souza,Match Report,
13,Sun,2019-08-04,16:00 (21:00),Avaí,0–2,Botafogo (RJ),7140,Estádio Aderbal Ramos da Silva,Vinicius Furlan,Match Report,
