Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
9,Wed,2019-10-30,,Rio Ave,,Moreirense,,Estádio do Rio Ave Futebol Clube,,,
9,Wed,2019-10-30,,Boavista,,Braga,,Estádio do Bessa Século XXI,,,
9,Wed,2019-10-30,,Paços,,Sporting CP,,Estádio da Capital do Móvel,,,
,,,,,,,,,,,
10,Sun,2019-11-03,,Portimonense,,CD Santa Clara,,Estádio do Portimonense SC,,,
10,Sun,2019-11-03,,Belenenses,,Paços,,Estádio Nacional,,,
10,Sun,2019-11-03,,Vitória Setúbal,,Boavista,,Estádio do Bonfim,,,
10,Sun,2019-11-03,,Gil Vicente FC,,Marítimo,,Estádio Cidade de Barcelos,,,
10,Sun,2019-11-03,,Benfica,,Rio Ave,,Estádio do Sport Lisboa e Benfica,,,
10,Sun,2019-11-03,,Braga,,Famalicão,,Estádio Municipal de Braga,,,
10,Sun,2019-11-03,,Tondela,,Sporting CP,,Estádio João Cardoso,,,
10,Sun,2019-11-03,,Porto,,Aves,,Estádio Do Dragão,,,
10,Sun,2019-11-03,,Moreirense,,Vitória,,P.D. Comendador Joaquim de Almeida Freit...,,,
,,,,,,,,,,,
11,Sun,2019-11-10,,Vitória,,Braga,,Estádio Dom Afonso Henriques,,,
11,Sun,2019-11-10,,CD Santa Clara,,Benfica,,Estádio de São Miguel,,,
11,Sun,2019-11-10,,Boavista,,Porto,,Estádio do Bessa Século XXI,,,
11,Sun,2019-11-10,,Rio Ave,,Vitória Setúbal,,Estádio do Rio Ave Futebol Clube,,,
11,Sun,2019-11-10,,Marítimo,,Portimonense,,Estádio dos Barreiros,,,
11,Sun,2019-11-10,,Famalicão,,Moreirense,,Estádio Municipal 22 de Junho,,,
11,Sun,2019-11-10,,Aves,,Gil Vicente FC,,Estádio Clube Desportivo das Aves,,,
11,Sun,2019-11-10,,Paços,,Tondela,,Estádio da Capital do Móvel,,,
11,Sun,2019-11-10,,Sporting CP,,Belenenses,,Estádio José Alvalade,,,
,,,,,,,,,,,
12,Sun,2019-12-01,,Gil Vicente FC,,Sporting CP,,Estádio Cidade de Barcelos,,,
12,Sun,2019-12-01,,CD Santa Clara,,Boavista,,Estádio de São Miguel,,,
12,Sun,2019-12-01,,Braga,,Rio Ave,,Estádio Municipal de Braga,,,
12,Sun,2019-12-01,,Benfica,,Marítimo,,Estádio do Sport Lisboa e Benfica,,,
12,Sun,2019-12-01,,Vitória Setúbal,,Vitória,,Estádio do Bonfim,,,
12,Sun,2019-12-01,,Portimonense,,Famalicão,,Estádio do Portimonense SC,,,
12,Sun,2019-12-01,,Tondela,,Belenenses,,Estádio João Cardoso,,,
12,Sun,2019-12-01,,Porto,,Paços,,Estádio Do Dragão,,,
12,Sun,2019-12-01,,Moreirense,,Aves,,P.D. Comendador Joaquim de Almeida Freit...,,,
,,,,,,,,,,,
13,Sun,2019-12-08,,Rio Ave,,Gil Vicente FC,,Estádio do Rio Ave Futebol Clube,,,
13,Sun,2019-12-08,,Famalicão,,Tondela,,Estádio Municipal 22 de Junho,,,
13,Sun,2019-12-08,,Aves,,Braga,,Estádio Clube Desportivo das Aves,,,
13,Sun,2019-12-08,,Vitória,,Portimonense,,Estádio Dom Afonso Henriques,,,
13,Sun,2019-12-08,,Boavista,,Benfica,,Estádio do Bessa Século XXI,,,
13,Sun,2019-12-08,,Paços,,Vitória Setúbal,,Estádio da Capital do Móvel,,,
13,Sun,2019-12-08,,Marítimo,,CD Santa Clara,,Estádio dos Barreiros,,,
13,Sun,2019-12-08,,Sporting CP,,Moreirense,,Estádio José Alvalade,,,
13,Sun,2019-12-08,,Belenenses,,Porto,,Estádio Nacional,,,
,,,,,,,,,,,
14,Sun,2019-12-15,,Marítimo,,Boavista,,Estádio dos Barreiros,,,
14,Sun,2019-12-15,,CD Santa Clara,,Sporting CP,,Estádio de São Miguel,,,
14,Sun,2019-12-15,,Gil Vicente FC,,Vitória,,Estádio Cidade de Barcelos,,,
14,Sun,2019-12-15,,Portimonense,,Rio Ave,,Estádio do Portimonense SC,,,
14,Sun,2019-12-15,,Moreirense,,Belenenses,,P.D. Comendador Joaquim de Almeida Freit...,,,
14,Sun,2019-12-15,,Benfica,,Famalicão,,Estádio do Sport Lisboa e Benfica,,,
14,Sun,2019-12-15,,Vitória Setúbal,,Aves,,Estádio do Bonfim,,,
14,Sun,2019-12-15,,Porto,,Tondela,,Estádio Do Dragão,,,
14,Sun,2019-12-15,,Braga,,Paços,,Estádio Municipal de Braga,,,
,,,,,,,,,,,
15,Sun,2020-01-05,,Tondela,,Gil Vicente FC,,Estádio João Cardoso,,,
15,Sun,2020-01-05,,Sporting CP,,Porto,,Estádio José Alvalade,,,
15,Sun,2020-01-05,,Rio Ave,,Marítimo,,Estádio do Rio Ave Futebol Clube,,,
15,Sun,2020-01-05,,Paços,,Moreirense,,Estádio da Capital do Móvel,,,
