Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
6,Fri,2019-08-23,19:00 (02:00),Veracruz,1–2,Atlético,9670,Estadio Luis de la Fuente,Jorge Rojas,Match Report,
6,Fri,2019-08-23,21:00 (04:00),Morelia,2–0,UNAM,20477,Estadio Generalísimo José María Morelos ...,Jorge Pérez,Match Report,
6,Fri,2019-08-23,21:00 (04:00),Santos,2–1,Monterrey,24012,Estadio Nuevo Corona,Fernando Hernández,Match Report,
6,Sat,2019-08-24,17:00 (00:00),Querétaro,0–4,León,26374,Estadio La Corregidora,Adonai Escobedo,Match Report,
6,Sat,2019-08-24,19:00 (02:00),Pachuca,3–1,Atlas,20718,Estadio Hidalgo,Oscar Mejia,Match Report,
6,Sat,2019-08-24,19:00 (02:00),Cruz Azul,1–1,Puebla,11867,Estadio Azteca,Erick Yair Miranda,Match Report,
6,Sat,2019-08-24,21:05 (04:05),UANL,1–1,América,41589,Estadio Universitario de Nuevo León,Fernando Guerrero,Match Report,
6,Sun,2019-08-25,12:00 (19:00),Toluca,2–0,Tijuana,1548,Estadio Nemesio Díez,Luis Santander,Match Report,
6,Sun,2019-08-25,17:00 (00:00),Guadalajara,1–2,Necaxa,30912,Estadio Akron,Roberto García,Match Report,
,,,,,,,,,,,
7,Tue,2019-08-27,19:00 (02:00),Atlético,1–1,Morelia,17447,Estadio Alfonso Lastras Ramírez,Marco Antonio Nava,Match Report,
7,Tue,2019-08-27,19:00 (02:00),Atlas,1–1,UANL,20732,Estadio Jalisco,Fernando Hernández,Match Report,
7,Tue,2019-08-27,19:00 (02:00),Veracruz,0–5,Querétaro,7322,Estadio Luis de la Fuente,Fernando Guerrero,Match Report,
7,Tue,2019-08-27,21:00 (04:00),América,1–1,Pachuca,19771,Estadio Azteca,Erick Yair Miranda,Match Report,
7,Wed,2019-08-28,19:00 (02:00),León,2–2,Santos,21434,Estadio León,Luis Santander,Match Report,
7,Wed,2019-08-28,19:06 (04:06),Tijuana,3–2,Cruz Azul,26933,Estadio Caliente,Alfredo Peñaloza,Match Report,
7,Wed,2019-08-28,21:00 (04:00),Necaxa,1–1,Toluca,12716,Estadio Victoria de Aguascalientes,César Arturo Ramos,Match Report,
7,Thu,2019-08-29,19:00 (02:00),Puebla,2–1,FC Juárez,12544,Estadio Cuauhtémoc,Oscar Mejia,Match Report,
7,Thu,2019-08-29,21:00 (04:00),Monterrey,2–0,UNAM,35662,Estadio BBVA Bancomer,Diego Montaño,Match Report,
,,,,,,,,,,,
8,Fri,2019-08-30,19:00 (02:00),Morelia,1–0,Veracruz,15185,Estadio Generalísimo José María Morelos ...,Erick Yair Miranda,Match Report,
8,Fri,2019-08-30,21:00 (04:00),Atlas,3–0,América,40700,Estadio Jalisco,Roberto García,Match Report,
8,Sat,2019-08-31,17:00 (00:00),Necaxa,3–2,Tijuana,11861,Estadio Victoria de Aguascalientes,Jorge Pérez,Match Report,
8,Sat,2019-08-31,19:00 (02:00),Pachuca,0–2,Atlético,18795,Estadio Hidalgo,Luis Santander,Match Report,
8,Sat,2019-08-31,19:00 (02:00),UANL,1–1,León,41498,Estadio Universitario de Nuevo León,César Arturo Ramos,Match Report,
8,Sat,2019-08-31,21:05 (04:05),Cruz Azul,1–1,Guadalajara,23692,Estadio Azteca,Fernando Guerrero,Match Report,
8,Sun,2019-09-01,12:00 (19:00),UNAM,2–1,Toluca,20032,Estadio Olímpico de Universitario,Fernando Hernández,Match Report,
8,Sun,2019-09-01,17:00 (00:00),Querétaro,1–1,Puebla,19364,Estadio La Corregidora,Marco Antonio Nava,Match Report,
