Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
4,Sun,2019-08-25,17:45 (22:45),River Plate,0–1,Talleres,,Estadio Monumental Antonio Vespucio Libe...,Néstor Pitana,Match Report,
4,Sun,2019-08-25,20:00 (01:00),Banfield,0–1,Boca Juniors,,Estadio Florencio Solá,Fernando Echenique,Match Report,
4,Mon,2019-08-26,19:00 (00:00),Aldosivi,3–0,Tucumán,,Estadio José María Minella,Silvio Trucco,Match Report,
4,Mon,2019-08-26,21:10 (02:10),CA Huracán,0–0,Argentinos Jun,,Estadio Tomás Adolfo Ducó,Patricio Loustau,Match Report,
,,,,,,,,,,,
5,Fri,2019-08-30,19:00 (00:00),Lanús,1–0,CC Córdoba,,Estadio Ciudad de Lanús,Hernán Mastrángelo,Match Report,
5,Fri,2019-08-30,21:10 (02:10),Defensa y Just,0–0,Banfield,,Estadio Norberto Tito Tomaghello,Darío Herrera,Match Report,
5,Fri,2019-08-30,21:10 (02:10),Estudiantes,0–1,Vélez Sarsf,,Estadio Ciudad de La Plata,Patricio Loustau,Match Report,
5,Sat,2019-08-31,13:15 (18:15),Argentinos Jun,1–0,Gimnasia ELP,,Estadio Diego Armando Maradona,Facundo Tello,Match Report,
5,Sat,2019-08-31,15:30 (20:30),San Lorenzo,2–1,CA Unión,,Estadio Pedro Bidegaín,Nicolás Lamolina,Match Report,
5,Sat,2019-08-31,17:45 (22:45),Patronato,1–0,Independiente,,Estadio Presbítero Bartolomé Grella,Silvio Trucco,Match Report,
5,Sat,2019-08-31,20:00 (01:00),Racing Club,3–1,Godoy Cruz,,Estadio Presidente Juan Domingo Perón,Germán Delfino,Match Report,
5,Sun,2019-09-01,11:00 (16:00),Tucumán,1–0,Arsenal,,Estadio Monumental Presidente José Fierr...,Ariel Penel,Match Report,
5,Sun,2019-09-01,11:00 (16:00),Colón,1–1,Rosario Cent,,Estadio Brigadier General Estanislao Lóp...,Fernando Espinoza,Match Report,
5,Sun,2019-09-01,13:15 (18:15),Talleres,2–1,Aldosivi,,Estadio Mario Alberto Kempes,Andrés Merlos,Match Report,
5,Sun,2019-09-01,13:15 (18:15),Newell's OB,4–1,CA Huracán,,Estadio Marcelo Alberto Bielsa,Néstor Pitana,Match Report,
5,Sun,2019-09-01,17:00 (22:00),River Plate,0–0,Boca Juniors,,Estadio Monumental Antonio Vespucio Libe...,Fernando Rapallini,Match Report,
,,,,,,,,,,,
6,Sat,2019-09-14,13:15 (18:15),Arsenal,,CA Unión,,Estadio Julio Humberto Grondona,,,
6,Sat,2019-09-14,15:30 (20:30),CC Córdoba,,Defensa y Just,,Estadio Victor Antonio Aguirre,,,
6,Sat,2019-09-14,15:30 (20:30),Godoy Cruz,,Argentinos Jun,,Estadio Malvinas Argentinas,,,
6,Sat,2019-09-14,17:45 (22:45),Colón,,San Lorenzo,,Estadio Brigadier General Estanislao Lóp...,,,
6,Sat,2019-09-14,20:00 (01:00),CA Huracán,,River Plate,,Estadio Tomás Adolfo Ducó,,,
6,Sun,2019-09-15,11:00 (16:00),Gimnasia ELP,,Racing Club,,Estadio Juan Carmelo Zerillo,,,
6,Sun,2019-09-15,13:15 (18:15),Banfield,,Talleres,,Estadio Florencio Solá,,,
6,Sun,2019-09-15,15:30 (20:30),Rosario Cent,,Newell's OB,,Estadio Dr. Lisandro de la Torre,,,
6,Sun,2019-09-15,17:45 (22:45),Independiente,,Lanús,,Estadio Libertadores de América,,,
6,Sun,2019-09-15,20:00 (01:00),Boca Juniors,,Estudiantes,,Estadio Alberto José Armando,,,
6,Mon,2019-09-16,19:00 (00:00),Aldosivi,,Patronato,,Estadio José María Minella,,,
6,Mon,2019-09-16,21:10 (02:10),Vélez Sarsf,,Tucumán,,Estadio José Amalfitani,,,
,,,,,,,,,,,
7,Fri,2019-09-20,19:00 (00:00),CA Unión,,Rosario Cent,,Estadio 15 de Abril,,,
7,Fri,2019-09-20,21:10 (02:10),Argentinos Jun,,CC Córdoba,,Estadio Diego Armando Maradona,,,
7,Sat,2019-09-21,13:15 (18:15),Estudiantes,,Patronato,,Estadio Ciudad de La Plata,,,
7,Sat,2019-09-21,15:30 (20:30),Defensa y Just,,CA Huracán,,Estadio Norberto Tito Tomaghello,,,
7,Sat,2019-09-21,17:45 (22:45),San Lorenzo,,Boca Juniors,,Estadio Pedro Bidegaín,,,
7,Sat,2019-09-21,20:00 (01:00),Tucumán,,Independiente,,Estadio Monumental Presidente José Fierr...,,,
7,Sun,2019-09-22,11:00 (16:00),Newell's OB,,Aldosivi,,Estadio Marcelo Alberto Bielsa,,,
7,Sun,2019-09-22,13:15 (18:15),Godoy Cruz,,Banfield,,Estadio Malvinas Argentinas,,,
7,Sun,2019-09-22,15:30 (20:30),Lanús,,Colón,,Estadio Ciudad de Lanús,,,
7,Sun,2019-09-22,17:45 (22:45),Racing Club,,Arsenal,,Estadio Presidente Juan Domingo Perón,,,
7,Sun,2019-09-22,20:00 (01:00),River Plate,,Vélez Sarsf,,Estadio Monumental Antonio Vespucio Libe...,,,
7,Mon,2019-09-23,21:00 (02:00),Talleres,,Gimnasia ELP,,Estadio Mario Alberto Kempes,,,
,,,,,,,,,,,
8,Fri,2019-09-27,21:10 (02:10),Patronato,,Lanús,,,,,
8,Sat,2019-09-28,15:30 (20:30),Arsenal,,Estudiantes,,,,,
8,Sat,2019-09-28,17:45 (22:45),Gimnasia ELP,,River Plate,,,,,
8,Sun,2019-09-29,,Aldosivi,,CA Unión,,,,,
8,Sun,2019-09-29,,Boca Juniors,,Newell's OB,,,,,
8,Sun,2019-09-29,,Vélez Sarsf,,Defensa y Just,,,,,
8,Sun,2019-09-29,,Banfield,,San Lorenzo,,,,,
8,Sun,2019-09-29,,CA Huracán,,Tucumán,,,,,
8,Sun,2019-09-29,,Rosario Cent,,Racing Club,,,,,
8,Sun,2019-09-29,,Colón,,Argentinos Jun,,,,,
8,Sun,2019-09-29,,Independiente,,Talleres,,,,,
8,Sun,2019-09-29,,CC Córdoba,,Godoy Cruz,,,,,
,,,,,,,,,,,
9,Sun,2019-10-06,,Lanús,,Rosario Cent,,,,,
9,Sun,2019-10-06,,Defensa y Just,,Boca Juniors,,,,,
9,Sun,2019-10-06,,Vélez Sarsf,,Independiente,,,,,
9,Sun,2019-10-06,,Newell's OB,,Banfield,,,,,
9,Sun,2019-10-06,,Racing Club,,Aldosivi,,,,,
9,Sun,2019-10-06,,Godoy Cruz,,Gimnasia ELP,,,,,
9,Sun,2019-10-06,,San Lorenzo,,CC Córdoba,,,,,
9,Sun,2019-10-06,,Estudiantes,,CA Huracán,,,,,
9,Sun,2019-10-06,,Argentinos Jun,,Arsenal,,,,,
9,Sun,2019-10-06,,CA Unión,,Colón,,,,,
9,Sun,2019-10-06,,Tucumán,,Talleres,,,,,
9,Sun,2019-10-06,,River Plate,,Patronato,,,,,
,,,,,,,,,,,
10,Sun,2019-10-20,,Arsenal,,River Plate,,,,,
10,Sun,2019-10-20,,Independiente,,Argentinos Jun,,,,,
10,Sun,2019-10-20,,Talleres,,Lanús,,,,,
10,Sun,2019-10-20,,Boca Juniors,,Racing Club,,,,,
10,Sun,2019-10-20,,CA Huracán,,San Lorenzo,,,,,
10,Sun,2019-10-20,,Rosario Cent,,Vélez Sarsf,,,,,
10,Sun,2019-10-20,,Colón,,Godoy Cruz,,,,,
10,Sun,2019-10-20,,Gimnasia ELP,,CA Unión,,,,,
10,Sun,2019-10-20,,Aldosivi,,Defensa y Just,,,,,
10,Sun,2019-10-20,,CC Córdoba,,Estudiantes,,,,,
10,Sun,2019-10-20,,Banfield,,Tucumán,,,,,
10,Sun,2019-10-20,,Patronato,,Newell's OB,,,,,
,,,,,,,,,,,
11,Wed,2019-10-30,,Godoy Cruz,,Aldosivi,,,,,
11,Wed,2019-10-30,,Arsenal,,CC Córdoba,,,,,
11,Wed,2019-10-30,,Argentinos Jun,,Talleres,,,,,
11,Wed,2019-10-30,,San Lorenzo,,Defensa y Just,,,,,
11,Wed,2019-10-30,,CA Unión,,Independiente,,,,,
11,Wed,2019-10-30,,Estudiantes,,Rosario Cent,,,,,
11,Wed,2019-10-30,,Tucumán,,Patronato,,,,,
11,Wed,2019-10-30,,River Plate,,Colón,,,,,
11,Wed,2019-10-30,,Lanús,,Boca Juniors,,,,,
11,Wed,2019-10-30,,Vélez Sarsf,,CA Huracán,,,,,
11,Wed,2019-10-30,,Racing Club,,Banfield,,,,,
11,Wed,2019-10-30,,Newell's OB,,Gimnasia ELP,,,,,
,,,,,,,,,,,
12,Sun,2019-11-03,,CC Córdoba,,Vélez Sarsf,,,,,
12,Sun,2019-11-03,,Talleres,,Newell's OB,,,,,
12,Sun,2019-11-03,,Aldosivi,,River Plate,,,,,
12,Sun,2019-11-03,,CA Huracán,,Lanús,,,,,
12,Sun,2019-11-03,,Independiente,,San Lorenzo,,,,,
12,Sun,2019-11-03,,Defensa y Just,,Argentinos Jun,,,,,
12,Sun,2019-11-03,,Banfield,,CA Unión,,,,,
12,Sun,2019-11-03,,Patronato,,Racing Club,,,,,
12,Sun,2019-11-03,,Colón,,Tucumán,,,,,
12,Sun,2019-11-03,,Boca Juniors,,Arsenal,,,,,
12,Sun,2019-11-03,,Gimnasia ELP,,Estudiantes,,,,,
12,Sun,2019-11-03,,Rosario Cent,,Godoy Cruz,,,,,
,,,,,,,,,,,
13,Sun,2019-11-10,,CC Córdoba,,Patronato,,,,,
13,Sun,2019-11-10,,Arsenal,,Colón,,,,,
13,Sun,2019-11-10,,Estudiantes,,Talleres,,,,,
13,Sun,2019-11-10,,Lanús,,Banfield,,,,,
13,Sun,2019-11-10,,River Plate,,Rosario Cent,,,,,
13,Sun,2019-11-10,,Newell's OB,,Defensa y Just,,,,,
13,Sun,2019-11-10,,San Lorenzo,,Argentinos Jun,,,,,
13,Sun,2019-11-10,,Aldosivi,,Gimnasia ELP,,,,,
13,Sun,2019-11-10,,Vélez Sarsf,,Boca Juniors,,,,,
13,Sun,2019-11-10,,Godoy Cruz,,Independiente,,,,,
13,Sun,2019-11-10,,CA Unión,,Tucumán,,,,,
13,Sun,2019-11-10,,Racing Club,,CA Huracán,,,,,
,,,,,,,,,,,
14,Wed,2019-11-27,,Patronato,,Godoy Cruz,,,,,
14,Wed,2019-11-27,,Tucumán,,San Lorenzo,,,,,
14,Wed,2019-11-27,,Argentinos Jun,,Newell's OB,,,,,
14,Wed,2019-11-27,,Banfield,,Vélez Sarsf,,,,,
14,Wed,2019-11-27,,Rosario Cent,,Aldosivi,,,,,
14,Wed,2019-11-27,,Boca Juniors,,CA Unión,,,,,
14,Wed,2019-11-27,,Defensa y Just,,Lanús,,,,,
14,Wed,2019-11-27,,Colón,,Estudiantes,,,,,
14,Wed,2019-11-27,,Talleres,,Racing Club,,,,,
14,Wed,2019-11-27,,CA Huracán,,CC Córdoba,,,,,
14,Wed,2019-11-27,,Independiente,,River Plate,,,,,
14,Wed,2019-11-27,,Gimnasia ELP,,Arsenal,,,,,
,,,,,,,,,,,
15,Sun,2019-12-01,,Arsenal,,Lanús,,,,,
15,Sun,2019-12-01,,Boca Juniors,,Argentinos Jun,,,,,
15,Sun,2019-12-01,,Vélez Sarsf,,Colón,,,,,
15,Sun,2019-12-01,,Newell's OB,,River Plate,,,,,
15,Sun,2019-12-01,,Aldosivi,,Independiente,,,,,
15,Sun,2019-12-01,,Godoy Cruz,,Talleres,,,,,
15,Sun,2019-12-01,,Racing Club,,Defensa y Just,,,,,
15,Sun,2019-12-01,,Banfield,,Gimnasia ELP,,,,,
15,Sun,2019-12-01,,CA Unión,,CA Huracán,,,,,
15,Sun,2019-12-01,,San Lorenzo,,Patronato,,,,,
15,Sun,2019-12-01,,Estudiantes,,Tucumán,,,,,
15,Sun,2019-12-01,,CC Córdoba,,Rosario Cent,,,,,
,,,,,,,,,,,
16,Sun,2019-12-08,,Gimnasia ELP,,CC Córdoba,,,,,
16,Sun,2019-12-08,,Patronato,,Vélez Sarsf,,,,,
16,Sun,2019-12-08,,Lanús,,Racing Club,,,,,
16,Sun,2019-12-08,,River Plate,,San Lorenzo,,,,,
16,Sun,2019-12-08,,Colón,,Aldosivi,,,,,
16,Sun,2019-12-08,,Tucumán,,Newell's OB,,,,,
16,Sun,2019-12-08,,Independiente,,Banfield,,,,,
16,Sun,2019-12-08,,CA Huracán,,Arsenal,,,,,
16,Sun,2019-12-08,,Defensa y Just,,Godoy Cruz,,,,,
16,Sun,2019-12-08,,Rosario Cent,,Boca Juniors,,,,,
16,Sun,2019-12-08,,Argentinos Jun,,Estudiantes,,,,,
16,Sun,2019-12-08,,Talleres,,CA Unión,,,,,
,,,,,,,,,,,
2,Sat,2019-12-14,19:10 (23:10),Independiente,0–0,Newell's OB,,Estadio Libertadores de América,,,
,,,,,,,,,,,
17,Sun,2020-01-26,,Rosario Cent,,CA Huracán,,,,,
17,Sun,2020-01-26,,CC Córdoba,,Colón,,,,,
17,Sun,2020-01-26,,Arsenal,,Newell's OB,,,,,
17,Sun,2020-01-26,,CA Unión,,Argentinos Jun,,,,,
17,Sun,2020-01-26,,Racing Club,,Tucumán,,,,,
17,Sun,2020-01-26,,Gimnasia ELP,,Vélez Sarsf,,,,,
17,Sun,2020-01-26,,Aldosivi,,Lanús,,,,,
17,Sun,2020-01-26,,San Lorenzo,,Estudiantes,,,,,
17,Sun,2020-01-26,,Boca Juniors,,Independiente,,,,,
17,Sun,2020-01-26,,Banfield,,Patronato,,,,,
17,Sun,2020-01-26,,Defensa y Just,,Talleres,,,,,
17,Sun,2020-01-26,,Godoy Cruz,,River Plate,,,,,
,,,,,,,,,,,
18,Wed,2020-01-29,,Lanús,,Godoy Cruz,,,,,
18,Wed,2020-01-29,,River Plate,,CC Córdoba,,,,,
18,Wed,2020-01-29,,Patronato,,Arsenal,,,,,
18,Wed,2020-01-29,,Colón,,Banfield,,,,,
18,Wed,2020-01-29,,Newell's OB,,San Lorenzo,,,,,
18,Wed,2020-01-29,,CA Huracán,,Gimnasia ELP,,,,,
18,Wed,2020-01-29,,Independiente,,Rosario Cent,,,,,
18,Wed,2020-01-29,,Argentinos Jun,,Racing Club,,,,,
18,Wed,2020-01-29,,Tucumán,,Defensa y Just,,,,,
18,Wed,2020-01-29,,Vélez Sarsf,,Aldosivi,,,,,
18,Wed,2020-01-29,,Estudiantes,,CA Unión,,,,,
18,Wed,2020-01-29,,Talleres,,Boca Juniors,,,,,
,,,,,,,,,,,
19,Sun,2020-02-02,,Godoy Cruz,,CA Huracán,,,,,
19,Sun,2020-02-02,,Boca Juniors,,Tucumán,,,,,
19,Sun,2020-02-02,,Arsenal,,Talleres,,,,,
19,Sun,2020-02-02,,CA Unión,,River Plate,,,,,
19,Sun,2020-02-02,,San Lorenzo,,Vélez Sarsf,,,,,
19,Sun,2020-02-02,,Defensa y Just,,Colón,,,,,
