Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
11,Sat,2019-11-02,,Zalaegerszeg,,Fehérvár,,,,,
11,Sat,2019-11-02,,Puskás,,Honvéd,,,,,
11,Sat,2019-11-02,,Ferencváros,,Mezőkövesd,,,,,
11,Sat,2019-11-02,,Debrecen,,Paks,,,,,
,,,,,,,,,,,
12,Sat,2019-11-09,,Zalaegerszeg,,Mezőkövesd,,,,,
12,Sat,2019-11-09,,Debrecen,,Ferencváros,,,,,
12,Sat,2019-11-09,,Puskás,,Újpest,,,,,
12,Sat,2019-11-09,,Kaposvári,,Fehérvár,,,,,
12,Sat,2019-11-09,,Diósgyőr,,Honvéd,,,,,
12,Sat,2019-11-09,,Paks,,Kisvárda,,,,,
,,,,,,,,,,,
13,Sat,2019-11-23,,Ferencváros,,Zalaegerszeg,,,,,
13,Sat,2019-11-23,,Újpest,,Diósgyőr,,,,,
13,Sat,2019-11-23,,Honvéd,,Paks,,,,,
13,Sat,2019-11-23,,Mezőkövesd,,Kaposvári,,,,,
13,Sat,2019-11-23,,Kisvárda,,Debrecen,,,,,
13,Sat,2019-11-23,,Fehérvár,,Puskás,,,,,
,,,,,,,,,,,
14,Sat,2019-11-30,,Paks,,Újpest,,,,,
14,Sat,2019-11-30,,Kisvárda,,Honvéd,,,,,
14,Sat,2019-11-30,,Diósgyőr,,Fehérvár,,,,,
14,Sat,2019-11-30,,Zalaegerszeg,,Debrecen,,,,,
14,Sat,2019-11-30,,Puskás,,Mezőkövesd,,,,,
14,Sat,2019-11-30,,Kaposvári,,Ferencváros,,,,,
,,,,,,,,,,,
15,Sat,2019-12-07,,Ferencváros,,Puskás,,,,,
15,Sat,2019-12-07,,Zalaegerszeg,,Kaposvári,,,,,
15,Sat,2019-12-07,,Fehérvár,,Paks,,,,,
15,Sat,2019-12-07,,Mezőkövesd,,Diósgyőr,,,,,
15,Sat,2019-12-07,,Újpest,,Kisvárda,,,,,
15,Sat,2019-12-07,,Debrecen,,Honvéd,,,,,
,,,,,,,,,,,
16,Sat,2019-12-14,,Paks,,Mezőkövesd,,,,,
16,Sat,2019-12-14,,Honvéd,,Újpest,,,,,
16,Sat,2019-12-14,,Kaposvári,,Debrecen,,,,,
16,Sat,2019-12-14,,Puskás,,Zalaegerszeg,,,,,
16,Sat,2019-12-14,,Diósgyőr,,Ferencváros,,,,,
16,Sat,2019-12-14,,Kisvárda,,Fehérvár,,,,,
,,,,,,,,,,,
17,Sat,2020-01-25,,Ferencváros,,Paks,,,,,
17,Sat,2020-01-25,,Debrecen,,Újpest,,,,,
17,Sat,2020-01-25,,Fehérvár,,Honvéd,,,,,
17,Sat,2020-01-25,,Mezőkövesd,,Kisvárda,,,,,
