Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
7,Sat,2019-09-14,18:00,Oostende,,Standard Liège,,Versluys Arena,,,
7,Sat,2019-09-14,20:00,Eupen,,Zulte Waregem,,Stadion am Kehrweg,,,
7,Sat,2019-09-14,20:00,Sint-Truiden,,Waasland-Bev,,Stayen,,,
7,Sat,2019-09-14,20:30,Cercle Brugge,,Club Brugge,,Jan Breydelstadion,,,
7,Sun,2019-09-15,14:30,Anderlecht,,Antwerp,,Stade Constant Vanden Stock,,,
7,Sun,2019-09-15,18:00,Gent,,Mechelen,,GHELAMCO-arena,,,
7,Sun,2019-09-15,20:30,Excel Mouscron,,Kortrijk,,Stade Le Canonnier,,,
,,,,,,,,,,,
8,Fri,2019-09-20,20:30,Kortrijk,,Mechelen,,Guldensporenstadion,,,
8,Sat,2019-09-21,18:00,Charleroi,,Sint-Truiden,,Stade du Pays de Charleroi,,,
8,Sat,2019-09-21,20:00,Antwerp,,Cercle Brugge,,Bosuilstadion,,,
8,Sat,2019-09-21,20:00,Waasland-Bev,,Excel Mouscron,,Freethiel-Stadion,,,
8,Sat,2019-09-21,20:30,Genk,,Oostende,,Luminus Arena,,,
8,Sun,2019-09-22,14:30,Standard Liège,,Eupen,,Stade Maurice Dufrasne,,,
8,Sun,2019-09-22,18:00,Club Brugge,,Anderlecht,,Jan Breydelstadion,,,
8,Sun,2019-09-22,20:00,Zulte Waregem,,Gent,,Regenboogstadion,,,
,,,,,,,,,,,
9,Sat,2019-09-28,18:00,Cercle Brugge,,Eupen,,Jan Breydelstadion,,,
9,Sat,2019-09-28,18:00,Mechelen,,Club Brugge,,AFAS-stadion Achter de Kazerne,,,
9,Sat,2019-09-28,20:00,Excel Mouscron,,Zulte Waregem,,Stade Le Canonnier,,,
9,Sat,2019-09-28,20:00,Gent,,Kortrijk,,GHELAMCO-arena,,,
9,Sat,2019-09-28,20:30,Sint-Truiden,,Genk,,Stayen,,,
9,Sun,2019-09-29,14:30,Anderlecht,,Waasland-Bev,,Stade Constant Vanden Stock,,,
9,Sun,2019-09-29,18:00,Standard Liège,,Charleroi,,Stade Maurice Dufrasne,,,
9,Sun,2019-09-29,20:00,Oostende,,Antwerp,,Versluys Arena,,,
,,,,,,,,,,,
10,Fri,2019-10-04,20:30,Charleroi,,Anderlecht,,Stade du Pays de Charleroi,,,
10,Sat,2019-10-05,18:00,Eupen,,Mechelen,,Stadion am Kehrweg,,,
10,Sat,2019-10-05,20:00,Waasland-Bev,,Oostende,,Freethiel-Stadion,,,
10,Sat,2019-10-05,20:00,Zulte Waregem,,Cercle Brugge,,Regenboogstadion,,,
10,Sat,2019-10-05,20:30,Kortrijk,,Sint-Truiden,,Guldensporenstadion,,,
10,Sun,2019-10-06,14:30,Club Brugge,,Gent,,Jan Breydelstadion,,,
10,Sun,2019-10-06,18:00,Antwerp,,Standard Liège,,Bosuilstadion,,,
10,Sun,2019-10-06,20:00,Genk,,Excel Mouscron,,Luminus Arena,,,
,,,,,,,,,,,
11,Fri,2019-10-18,,Oostende,,Eupen,,Versluys Arena,,,
11,Fri,2019-10-18,,Standard Liège,,Genk,,Stade Maurice Dufrasne,,,
11,Fri,2019-10-18,,Anderlecht,,Sint-Truiden,,Stade Constant Vanden Stock,,,
11,Fri,2019-10-18,,Cercle Brugge,,Charleroi,,Jan Breydelstadion,,,
11,Fri,2019-10-18,,Gent,,Waasland-Bev,,GHELAMCO-arena,,,
11,Fri,2019-10-18,,Kortrijk,,Zulte Waregem,,Guldensporenstadion,,,
11,Fri,2019-10-18,,Excel Mouscron,,Club Brugge,,Stade Le Canonnier,,,
11,Fri,2019-10-18,,Mechelen,,Antwerp,,AFAS-stadion Achter de Kazerne,,,
,,,,,,,,,,,
12,Fri,2019-10-25,,Antwerp,,Kortrijk,,Bosuilstadion,,,
12,Fri,2019-10-25,,Waasland-Bev,,Mechelen,,Freethiel-Stadion,,,
12,Fri,2019-10-25,,Zulte Waregem,,Oostende,,Regenboogstadion,,,
12,Fri,2019-10-25,,Sint-Truiden,,Gent,,Stayen,,,
12,Fri,2019-10-25,,Club Brugge,,Standard Liège,,Jan Breydelstadion,,,
12,Fri,2019-10-25,,Genk,,Cercle Brugge,,Luminus Arena,,,
12,Fri,2019-10-25,,Charleroi,,Excel Mouscron,,Stade du Pays de Charleroi,,,
12,Fri,2019-10-25,,Eupen,,Anderlecht,,Stadion am Kehrweg,,,
,,,,,,,,,,,
13,Tue,2019-10-29,,Oostende,,Charleroi,,Versluys Arena,,,
13,Tue,2019-10-29,,Kortrijk,,Eupen,,Guldensporenstadion,,,
13,Tue,2019-10-29,,Genk,,Antwerp,,Luminus Arena,,,
13,Tue,2019-10-29,,Mechelen,,Sint-Truiden,,AFAS-stadion Achter de Kazerne,,,
13,Tue,2019-10-29,,Zulte Waregem,,Club Brugge,,Regenboogstadion,,,
13,Tue,2019-10-29,,Anderlecht,,Gent,,Stade Constant Vanden Stock,,,
13,Tue,2019-10-29,,Cercle Brugge,,Excel Mouscron,,Jan Breydelstadion,,,
13,Tue,2019-10-29,,Standard Liège,,Waasland-Bev,,Stade Maurice Dufrasne,,,
,,,,,,,,,,,
14,Fri,2019-11-01,,Sint-Truiden,,Oostende,,Stayen,,,
14,Fri,2019-11-01,,Gent,,Standard Liège,,GHELAMCO-arena,,,
