Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Regular Season,1,Fri,2018-10-19,19:20 (10:50),Adelaide,1–1,Sydney FC,10018,Coopers Stadium,Jarred Gillett,Match Report,
Regular Season,1,Sat,2018-10-20,19:50 (10:50),Melb Victory,1–2,Melb City,40505,Marvel Stadium,Kurt Ams,Match Report,
Regular Season,1,Sun,2018-10-21,16:00 (08:00),Brisbane,1–1,Central Coast,14859,Suncorp Stadium,Chris Beath,Match Report,
Regular Season,1,Sun,2018-10-21,16:00 (10:00),Perth Glory,1–1,W Sydney,10206,HBF Park,Peter Green,Match Report,
Regular Season,1,Sun,2018-10-21,17:00 (06:00),Wellington,2–1,Newcastle,9174,Westpac Stadium,Daniel Elder,Match Report,
,,,,,,,,,,,,
Regular Season,2,Fri,2018-10-26,19:20 (10:50),Adelaide,1–1,Newcastle,7906,Coopers Stadium,Shaun Evans,Match Report,
Regular Season,2,Sat,2018-10-27,17:35 (08:35),Central Coast,1–1,Melb City,7144,Grahame Park,Stephen Lucas,Match Report,
Regular Season,2,Sat,2018-10-27,19:50 (10:50),Sydney FC,2–0,W Sydney,30588,Sydney Cricket Ground,Chris Beath,Match Report,
Regular Season,2,Sun,2018-10-28,16:00 (07:00),Brisbane,0–0,Wellington,15129,Suncorp Stadium,Alex King,Match Report,
Regular Season,2,Sun,2018-10-28,19:00 (09:00),Melb Victory,2–3,Perth Glory,17219,AAMI Park,Jonathon Barreiro,Match Report,
,,,,,,,,,,,,
Regular Season,3,Fri,2018-11-02,19:50 (09:50),Melb City,0–3,Sydney FC,12086,AAMI Park,Adam Kersey,Match Report,
Regular Season,3,Sat,2018-11-03,19:00 (12:00),Perth Glory,2–1,Brisbane,9446,HBF Park,Daniel Elder,Match Report,
Regular Season,3,Sat,2018-11-03,19:35 (07:35),Wellington,0–3,W Sydney,5339,Westpac Stadium,Jarred Gillett,Match Report,
Regular Season,3,Sat,2018-11-03,19:50 (09:50),Newcastle,0–1,Melb Victory,11814,McDonald Jones Stadium,Chris Beath,Match Report,
Regular Season,3,Sun,2018-11-04,17:00 (07:00),Central Coast,0–3,Adelaide,6043,Grahame Park,Alex King,Match Report,
,,,,,,,,,,,,
Regular Season,4,Fri,2018-11-09,19:50 (09:50),Melb City,2–0,Wellington,6410,AAMI Park,Adam Fielding,Match Report,
Regular Season,4,Sat,2018-11-10,17:35 (07:35),W Sydney,2–2,Brisbane,5067,Glen Willow Sporting Field,Jonathon Barreiro,Match Report,
Regular Season,4,Sat,2018-11-10,19:50 (09:50),Newcastle,1–1,Sydney FC,11415,McDonald Jones Stadium,Shaun Evans,Match Report,
Regular Season,4,Sun,2018-11-11,16:30 (07:00),Adelaide,0–2,Perth Glory,9705,Coopers Stadium,Chris Beath,Match Report,
Regular Season,4,Sun,2018-11-11,19:00 (09:00),Melb Victory,4–1,Central Coast,16508,AAMI Park,Stephen Lucas,Match Report,
,,,,,,,,,,,,
Regular Season,5,Fri,2018-11-23,19:50 (09:50),W Sydney,0–2,Newcastle,10458,Spotless Stadium,Jumpei Iida,Match Report,
Regular Season,5,Sat,2018-11-24,18:50 (09:50),Brisbane,2–0,Melb City,9925,Suncorp Stadium,Ryūji Satō,Match Report,
Regular Season,5,Sat,2018-11-24,19:35 (07:35),Wellington,1–3,Adelaide,4831,Westpac Stadium,Kurt Ams,Match Report,
Regular Season,5,Sun,2018-11-25,16:00 (09:00),Perth Glory,3–2,Central Coast,10417,HBF Park,Jarred Gillett,Match Report,
Regular Season,5,Sun,2018-11-25,17:00 (07:00),Sydney FC,1–2,Melb Victory,19081,WIN Jubilee Oval,Peter Green,Match Report,
,,,,,,,,,,,,
Regular Season,6,Fri,2018-11-30,19:20 (09:50),Adelaide,2–1,Brisbane,8005,Coopers Stadium,Jarred Gillett,Match Report,
Regular Season,6,Sat,2018-12-01,17:35 (07:35),Central Coast,1–2,Sydney FC,8386,Grahame Park,Daniel Elder,Match Report,
Regular Season,6,Sat,2018-12-01,19:50 (09:50),Melb Victory,4–0,W Sydney,19556,Marvel Stadium,Chris Beath,Match Report,
Regular Season,6,Sun,2018-12-02,19:00 (07:00),Wellington,1–1,Perth Glory,4829,Westpac Stadium,Adam Kersey,Match Report,
Regular Season,6,Sun,2018-12-02,19:00 (09:00),Melb City,3–0,Newcastle,6013,AAMI Park,Alex King,Match Report,
,,,,,,,,,,,,
Regular Season,7,Fri,2018-12-07,19:50 (09:50),W Sydney,2–0,Central Coast,8163,Spotless Stadium,Jarred Gillett,Match Report,
Regular Season,7,Sat,2018-12-08,17:35 (07:35),Sydney FC,1–3,Wellington,10101,WIN Jubilee Oval,Jonathon Barreiro,Match Report,
Regular Season,7,Sat,2018-12-08,19:00 (12:00),Perth Glory,1–0,Melb City,8489,HBF Park,Peter Green,Match Report,
Regular Season,7,Sat,2018-12-08,19:50 (09:50),Melb Victory,2–0,Adelaide,20629,Marvel Stadium,Shaun Evans,Match Report,
Regular Season,7,Sun,2018-12-09,17:00 (07:00),Newcastle,2–0,Brisbane,9719,McDonald Jones Stadium,Kurt Ams,Match Report,
,,,,,,,,,,,,
Regular Season,8,Fri,2018-12-14,18:50 (09:50),Brisbane,2–4,Melb Victory,10289,Suncorp Stadium,Adam Fielding,Match Report,
Regular Season,8,Sat,2018-12-15,19:35 (07:35),Wellington,2–0,Central Coast,6970,Westpac Stadium,Shaun Evans,Match Report,
