Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2019-08-16,20:30 (19:30),Denizlispor,2–0,Galatasaray,13666,Denizli Atatürk Stadyumu,Abdulkadir Bitigen,Match Report,
1,Sat,2019-08-17,19:15 (18:15),Gençlerbirliği,0–1,Rizespor,,Eryaman Stadyumu,Bahattin Şimşek,Match Report,
1,Sat,2019-08-17,21:45 (20:45),Kayserispor,0–1,Alanyaspor,,Kadir Has Şehir Stadı,Tugay Kaan Numanoğlu,Match Report,
1,Sat,2019-08-17,21:45 (20:45),Sivasspor,3–0,Beşiktaş,,Sivas Arena,Mustafa Ogretmenoglu,Match Report,
1,Sun,2019-08-18,19:15 (18:15),Konyaspor,0–0,MKE Ankaragücü,,Konya Büyükşehir Stadı,Bülent Birincioğlu,Match Report,
1,Sun,2019-08-18,21:45 (20:45),Y. Malatyaspor,3–0,Başakşehir,,Yeni Malatya Stadyumu,Hüseyin Göçek,Match Report,
1,Sun,2019-08-18,21:45 (20:45),Göztepe SK,0–1,Antalyaspor,,Bornova Doğanlar Stadı,Zorbay Küçük,Match Report,
1,Sun,2019-08-18,21:45 (20:45),Kasımpaşa,1–1,Trabzonspor,,Recep Tayyip Erdoğan Stadyumu,Cüneyt Çakιr,Match Report,
1,Mon,2019-08-19,20:00 (19:00),Fenerbahçe,5–0,Gaziantep FK,,Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Arda Kardeşler,Match Report,
,,,,,,,,,,,
2,Fri,2019-08-23,20:30 (19:30),Beşiktaş,3–0,Göztepe SK,,Vodafone Arena,Ali Palabıyık,Match Report,
2,Sat,2019-08-24,19:15 (18:15),MKE Ankaragücü,1–1,Kayserispor,,Eryaman Stadyumu,Ali Şansalan,Match Report,
2,Sat,2019-08-24,21:45 (20:45),Başakşehir,1–2,Fenerbahçe,,Başakşehir Fatih Terim Stadium,Halil Meler,Match Report,
2,Sat,2019-08-24,21:45 (20:45),Alanyaspor,4–1,Kasımpaşa,,Bahçeşehir Okulları Stadyumu,Serkan Tokat,Match Report,
2,Sun,2019-08-25,19:15 (18:15),Rizespor,2–1,Sivasspor,,Yeni Rize Şehir Stadı,Fırat Aydınus,Match Report,
2,Sun,2019-08-25,19:15 (18:15),Trabzonspor,2–1,Y. Malatyaspor,,Şenol Güneş Stadyumu,Koray Gençerler,Match Report,
2,Sun,2019-08-25,21:45 (20:45),Antalyaspor,0–2,Denizlispor,,Antalya Atatürk Stadyumu,Volkan Bayarslan,Match Report,
2,Sun,2019-08-25,21:45 (20:45),Galatasaray,1–1,Konyaspor,,Türk Telekom Arena,Mete Kalkavan,Match Report,
2,Mon,2019-08-26,20:00 (19:00),Gaziantep FK,4–1,Gençlerbirliği,,Kalyon Arena,Atilla Karaoğlan,Match Report,
,,,,,,,,,,,
3,Fri,2019-08-30,20:30 (19:30),Kasımpaşa,0–1,MKE Ankaragücü,,Recep Tayyip Erdoğan Stadyumu,Zorbay Küçük,Match Report,
3,Fri,2019-08-30,20:30 (19:30),Kayserispor,2–3,Galatasaray,,Kadir Has Şehir Stadı,Mustafa Ogretmenoglu,Match Report,
3,Sat,2019-08-31,19:15 (18:15),Konyaspor,2–2,Antalyaspor,,Konya Büyükşehir Stadı,Umit Öztürk,Match Report,
3,Sat,2019-08-31,21:45 (20:45),Göztepe SK,0–0,Denizlispor,,Bornova Doğanlar Stadı,Suat Arslanboga,Match Report,
3,Sat,2019-08-31,21:45 (20:45),Beşiktaş,1–1,Rizespor,,Vodafone Arena,Yaşar Kemal Uğurlu,Match Report,
3,Sun,2019-09-01,19:15 (18:15),Gençlerbirliği,1–2,Başakşehir,,Eryaman Stadyumu,Cüneyt Çakιr,Match Report,
3,Sun,2019-09-01,19:15 (18:15),Sivasspor,1–1,Gaziantep FK,,Sivas Arena,Hüseyin Göçek,Match Report,
3,Sun,2019-09-01,21:45 (20:45),Fenerbahçe,1–1,Trabzonspor,43478,Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,Fırat Aydınus,Match Report,
3,Sun,2019-09-01,21:45 (20:45),Y. Malatyaspor,2–3,Alanyaspor,,Yeni Malatya Stadyumu,Alper Ulusoy,Match Report,
,,,,,,,,,,,
4,Fri,2019-09-13,20:30 (19:30),Galatasaray,1–0,Kasımpaşa,,Türk Telekom Arena,Ali Palabıyık,Match Report,
4,Sat,2019-09-14,17:00 (16:00),Başakşehir,1–1,Sivasspor,,Başakşehir Fatih Terim Stadium,Arda Kardeşler,Match Report,
4,Sat,2019-09-14,20:00 (19:00),Gaziantep FK,3–2,Beşiktaş,,Kalyon Arena,Halil Meler,Match Report,
4,Sat,2019-09-14,20:00 (19:00),Antalyaspor,2–2,Kayserispor,,Antalya Atatürk Stadyumu,Fırat Aydınus,Match Report,
4,Sun,2019-09-15,17:00 (16:00),Rizespor,,Göztepe SK,,Yeni Rize Şehir Stadı,,,
4,Sun,2019-09-15,17:00 (16:00),MKE Ankaragücü,,Y. Malatyaspor,,Eryaman Stadyumu,,,
4,Sun,2019-09-15,20:00 (19:00),Trabzonspor,,Gençlerbirliği,,Şenol Güneş Stadyumu,,,
4,Sun,2019-09-15,20:00 (19:00),Denizlispor,,Konyaspor,,Denizli Atatürk Stadyumu,,,
4,Mon,2019-09-16,20:00 (19:00),Alanyaspor,,Fenerbahçe,,Bahçeşehir Okulları Stadyumu,,,
,,,,,,,,,,,
5,Fri,2019-09-20,20:30 (19:30),Göztepe SK,,Konyaspor,,Bornova Doğanlar Stadı,,,
5,Sat,2019-09-21,15:00 (14:00),Kasımpaşa,,Antalyaspor,,Recep Tayyip Erdoğan Stadyumu,,,
5,Sat,2019-09-21,17:30 (16:30),Kayserispor,,Denizlispor,,Kadir Has Şehir Stadı,,,
5,Sat,2019-09-21,20:00 (19:00),Fenerbahçe,,MKE Ankaragücü,,Ülker Stadyumu Fenerbahçe Şükrü Saracoğl...,,,
5,Sun,2019-09-22,14:00 (13:00),Rizespor,,Gaziantep FK,,Yeni Rize Şehir Stadı,,,
5,Sun,2019-09-22,16:30 (15:30),Gençlerbirliği,,Alanyaspor,,Eryaman Stadyumu,,,
5,Sun,2019-09-22,19:00 (18:00),Y. Malatyaspor,,Galatasaray,,Yeni Malatya Stadyumu,,,
5,Mon,2019-09-23,20:00 (19:00),Sivasspor,,Trabzonspor,,Sivas Arena,,,
5,Mon,2019-09-23,20:00 (19:00),Beşiktaş,,Başakşehir,,Vodafone Arena,,,
,,,,,,,,,,,
6,Fri,2019-09-27,20:30 (19:30),Başakşehir,,Rizespor,,,,,
6,Sat,2019-09-28,15:00 (14:00),Denizlispor,,Kasımpaşa,,,,,
6,Sat,2019-09-28,17:30 (16:30),Alanyaspor,,Sivasspor,,,,,
6,Sat,2019-09-28,20:00 (19:00),Galatasaray,,Fenerbahçe,,,,,
6,Sun,2019-09-29,14:00 (13:00),Konyaspor,,Kayserispor,,,,,
6,Sun,2019-09-29,16:30 (15:30),Antalyaspor,,Y. Malatyaspor,,,,,
6,Sun,2019-09-29,16:30 (15:30),MKE Ankaragücü,,Gençlerbirliği,,,,,
6,Sun,2019-09-29,19:00 (18:00),Trabzonspor,,Beşiktaş,,,,,
6,Mon,2019-09-30,20:00 (19:00),Gaziantep FK,,Göztepe SK,,,,,
,,,,,,,,,,,
7,Fri,2019-10-04,20:30 (19:30),Y. Malatyaspor,,Denizlispor,,,,,
7,Fri,2019-10-04,20:30 (19:30),Fenerbahçe,,Antalyaspor,,,,,
7,Sat,2019-10-05,15:00 (14:00),Kasımpaşa,,Konyaspor,,,,,
7,Sat,2019-10-05,17:30 (16:30),Göztepe SK,,Kayserispor,,,,,
7,Sat,2019-10-05,20:00 (19:00),Gençlerbirliği,,Galatasaray,,,,,
