Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
6,Sat,2019-04-20,15:30 (09:30),Beijing Renhe,2–2,Shenzhen,7285,Beijing Fengtai Stadium,Shen Yinhao,Match Report,
6,Sat,2019-04-20,19:35 (13:35),Hebei Fortune,0–1,Beijing Guoan,24283,Langfang City Sports Center,Gu Chunhan,Match Report,
6,Sat,2019-04-20,19:35 (13:35),Henan Jianye,2–3,Tianjin TEDA,20579,Zhengzhou Hanghai Stadium,Wang Zhe,Match Report,
6,Sun,2019-04-21,15:30 (09:30),Dalian Yifang,1–1,Chongqing SWM,26618,Dalian Sports Center,Mark Clattenburg,Match Report,
6,Sun,2019-04-21,17:30 (11:30),Jiangsu Suning,5–1,Guangzhou R&F,28693,Nanjing Olympic Sports Center,Ai Kun,Match Report,
6,Sun,2019-04-21,19:35 (13:35),Wuhan Zall,1–1,Shanghai Shen,20513,Wuhan Sports Center Stadium,Li Haixin,Match Report,
,,,,,,,,,,,
7,Fri,2019-04-26,19:35 (13:35),Guangzhou R&F,3–1,Shenzhen,9509,Yuexiushan Stadium,,Match Report,
7,Sat,2019-04-27,15:30 (09:30),Hebei Fortune,1–1,Beijing Renhe,13563,Langfang City Sports Center,Wang Jin,Match Report,
7,Sat,2019-04-27,19:35 (13:35),Henan Jianye,2–1,Jiangsu Suning,17635,Zhengzhou Hanghai Stadium,Li Haixin,Match Report,
7,Sat,2019-04-27,19:35 (13:35),Shanghai Shen,2–3,Tianjin Tianhai,20714,Hongkou Stadium,Mark Clattenburg,Match Report,
7,Sun,2019-04-28,15:30 (09:30),Tianjin TEDA,0–2,Shanghai SIPG,21281,Tianjin Olympic Center Stadium,Shi Zhenlu,Match Report,
7,Sun,2019-04-28,19:00 (13:00),Chongqing SWM,0–1,Guangzhou Evg,41892,Chongqing Olympic Sports Center,Zhang Lei,Match Report,
7,Sun,2019-04-28,19:35 (13:35),Beijing Guoan,4–1,Dalian Yifang,43430,Workers' Stadium,Milorad Mažić,Match Report,
7,Sun,2019-04-28,19:35 (13:35),Shandong Lunen,3–0,Wuhan Zall,15316,Jinan Olympic Sports Center Stadium,Wang Zhe,Match Report,
,,,,,,,,,,,
8,Sat,2019-05-04,15:30 (09:30),Wuhan Zall,1–1,Tianjin TEDA,15940,Wuhan Sports Center Stadium,Ma Ning,Match Report,
