Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2019-08-16,20:30,Bayern Munich,2–2,Hertha BSC,75000,Allianz Arena,Harm Osmers,Match Report,
1,Sat,2019-08-17,15:30,Werder Bremen,1–3,Düsseldorf,42100,Weserstadion,Felix Zwayer,Match Report,
1,Sat,2019-08-17,15:30,Freiburg,3–0,Mainz 05,24000,Schwarzwald-Stadion,Robert Hartmann,Match Report,
1,Sat,2019-08-17,15:30,Bayer,3–2,Paderborn 07,26208,BayArena,Tobias Stieler,Match Report,
1,Sat,2019-08-17,15:30,Wolfsburg,2–1,Köln,25099,Volkswagen Arena,Sven Jablonski,Match Report,
1,Sat,2019-08-17,15:30,Dortmund,5–1,Augsburg,81365,Signal Iduna Park,Frank Willenborg,Match Report,
1,Sat,2019-08-17,18:30,M'gladbach,0–0,Schalke 04,54022,Stadion im Borussia-Park,Felix Brych,Match Report,
1,Sun,2019-08-18,15:30,Eint Frankfurt,1–0,Hoffenheim,50200,Commerzbank-Arena,Daniel Siebert,Match Report,
1,Sun,2019-08-18,18:00,Union Berlin,0–4,RB Leipzig,22467,Stadion An der Alten Försterei,Markus Schmidt,Match Report,
,,,,,,,,,,,
2,Fri,2019-08-23,20:30,Köln,1–3,Dortmund,50000,RheinEnergieSTADION,Christian Dingert,Match Report,
2,Sat,2019-08-24,15:30,Paderborn 07,1–3,Freiburg,14322,Benteler-Arena,Tobias Welz,Match Report,
2,Sat,2019-08-24,15:30,Augsburg,1–1,Union Berlin,27703,WWK Arena,Robert Schröder,Match Report,
2,Sat,2019-08-24,15:30,Düsseldorf,1–3,Bayer,44538,Merkur Spielarena,Patrick Ittrich,Match Report,
2,Sat,2019-08-24,15:30,Hoffenheim,3–2,Werder Bremen,27333,PreZero Arena,Sascha Stegemann,Match Report,
2,Sat,2019-08-24,15:30,Mainz 05,1–3,M'gladbach,28005,Opel Arena,Martin Petersen,Match Report,
2,Sat,2019-08-24,18:30,Schalke 04,0–3,Bayern Munich,62271,Veltins-Arena,Marco Fritz,Match Report,
2,Sun,2019-08-25,15:30,RB Leipzig,2–1,Eint Frankfurt,40108,Red Bull Arena,Benjamin Cortus,Match Report,
2,Sun,2019-08-25,18:00,Hertha BSC,0–3,Wolfsburg,42738,Olympiastadion Berlin,Guido Winkmann,Match Report,
,,,,,,,,,,,
3,Fri,2019-08-30,20:30,M'gladbach,1–3,RB Leipzig,47327,Stadion im Borussia-Park,Sven Jablonski,Match Report,
3,Sat,2019-08-31,15:30,Bayer,0–0,Hoffenheim,26506,BayArena,Felix Zwayer,Match Report,
3,Sat,2019-08-31,15:30,Bayern Munich,6–1,Mainz 05,75000,Allianz Arena,Markus Schmidt,Match Report,
3,Sat,2019-08-31,15:30,Freiburg,1–2,Köln,24000,Schwarzwald-Stadion,Robert Kampka,Match Report,
3,Sat,2019-08-31,15:30,Wolfsburg,1–1,Paderborn 07,23750,Volkswagen Arena,Daniel Schlager,Match Report,
3,Sat,2019-08-31,15:30,Schalke 04,3–0,Hertha BSC,58875,Veltins-Arena,Tobias Stieler,Match Report,
3,Sat,2019-08-31,18:30,Union Berlin,3–1,Dortmund,22012,Stadion An der Alten Försterei,Felix Brych,Match Report,
3,Sun,2019-09-01,15:30,Werder Bremen,3–2,Augsburg,40041,Weserstadion,Sören Storks,Match Report,
3,Sun,2019-09-01,18:00,Eint Frankfurt,2–1,Düsseldorf,49800,Commerzbank-Arena,Frank Willenborg,Match Report,
,,,,,,,,,,,
4,Fri,2019-09-13,20:30,Düsseldorf,1–1,Wolfsburg,36758,Merkur Spielarena,Manuel Gräfe,Match Report,
