Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
6,Sun,2019-08-25,15:00,Górnik Zabrze,3–0,Korona Kielce,18573,Arena Zabrze,Wojciech Myć,Match Report,
6,Sun,2019-08-25,17:30,Zagłębie Lubin,0–3,Piast Gliwice,3462,Stadion Zagłębia Lubin,Krzysztof Jakubik,Match Report,
6,Sun,2019-08-25,17:30,Łódzki KS,2–3,Legia Warsaw,5452,Stadion ŁKS-u,Jarosław Przybył,Match Report,
6,Mon,2019-08-26,18:00,Pogoń Szczecin,1–2,Wisła Płock,3894,Stadion Miejski im. Floriana Krygiera,Bartosz Frankowski,Match Report,
,,,,,,,,,,,
7,Fri,2019-08-30,18:00,Arka Gdynia,1–0,Górnik Zabrze,6321,Stadion GOSiR,Jarosław Przybył,Match Report,
7,Fri,2019-08-30,20:30,Korona Kielce,0–2,Jagiellonia,5261,Kolporter Arena,Szymon Marciniak,Match Report,
7,Sat,2019-08-31,15:00,Wisła Płock,2–1,Łódzki KS,6019,Stadion Miejski im. Henryka Reymana,Krzysztof Jakubik,Match Report,
7,Sat,2019-08-31,17:30,Piast Gliwice,1–2,Lechia Gdańsk,4875,Stadion Miejski,Paweł Raczkowski,Match Report,
7,Sat,2019-08-31,20:00,Wisła Kraków,4–2,Zagłębie Lubin,14616,Stadion Miejski im. Henryka Reymana,Daniel Stefański,Match Report,
7,Sun,2019-09-01,15:00,Śląsk Wrocław,1–1,Pogoń Szczecin,24968,Stadion Miejski,Piotr Lasyk,Match Report,
7,Sun,2019-09-01,17:30,Lech Poznań,1–2,Cracovia,25768,INEA stadion,Bartosz Frankowski,Match Report,
7,Sun,2019-09-01,20:00,Legia Warsaw,3–1,RKS Raków,13000,Stadion Miejski Legii Warszawa im. Marsz...,Tomasz Musiał,Match Report,
,,,,,,,,,,,
8,Fri,2019-09-13,18:00,Zagłębie Lubin,5–0,Wisła Płock,2876,Stadion Zagłębia Lubin,Zbigniew Dobrynin,Match Report,
