Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
8,Fri,2019-08-30,19:00,Odense,0–0,SønderjyskE,7337,Nature Energy Park,Sandi Putros,Match Report,
8,Sat,2019-08-31,16:00,Nordsjælland,2–1,Hobro,2529,Right to Dream Park,Michael Tykgaard,Match Report,
8,Sun,2019-09-01,12:00,Aarhus,1–0,Esbjerg,10420,Ceres Park,Jens Maae,Match Report,
8,Sun,2019-09-01,14:00,Horsens,2–1,Lyngby,1234,CASA Arena Horsens,Aydin Uslu,Match Report,
8,Sun,2019-09-01,14:00,Randers,2–0,Silkeborg,4021,BioNutria Park Randers,Mikkel Redder,Match Report,
8,Sun,2019-09-01,16:00,Aalborg,1–0,FC Copenhagen,11645,Aalborg Portland Park,Jakob Kehlet,Match Report,
8,Sun,2019-09-01,18:00,Midtjylland,1–0,Brøndby,10944,MCH Arena,Jørgen Burchardt,Match Report,
,,,,,,,,,,,
9,Fri,2019-09-13,19:00,SønderjyskE,0–0,Horsens,4743,Sydbank Park,Jens Maae,Match Report,
9,Sun,2019-09-15,12:00,Aarhus,3–0,Aalborg,10235,Ceres Park,Anders Poulsen,Match Report,
9,Sun,2019-09-15,14:00,Esbjerg,0–3,Randers,3422,Blue Water Arena,Morten Krogh,Match Report,
9,Sun,2019-09-15,14:00,Lyngby,0–3,Midtjylland,4139,Lyngby Stadion,Mads-Kristoffer Kristoffersen,Match Report,
9,Sun,2019-09-15,16:00,Hobro,2–1,FC Copenhagen,,DS Arena,Peter Kjærsgaard-Andersen,Match Report,
9,Sun,2019-09-15,18:00,Brøndby,4–2,Nordsjælland,,Brøndby Stadion,Jakob Kehlet,Match Report,
9,Mon,2019-09-16,19:00,Silkeborg,,Odense,,JYSK Park,,,
,,,,,,,,,,,
10,Fri,2019-09-20,19:00,Odense,,Aarhus,,Nature Energy Park,,,
10,Sun,2019-09-22,12:00,Hobro,,SønderjyskE,,DS Arena,,,
10,Sun,2019-09-22,14:00,Silkeborg,,Lyngby,,JYSK Park,,,
10,Sun,2019-09-22,14:00,Nordsjælland,,Aalborg,,Right to Dream Park,,,
10,Sun,2019-09-22,16:00,Esbjerg,,Brøndby,,Blue Water Arena,,,
10,Sun,2019-09-22,18:00,FC Copenhagen,,Midtjylland,,Telia Parken,,,
10,Mon,2019-09-23,19:00,Randers,,Horsens,,BioNutria Park Randers,,,
,,,,,,,,,,,
11,Fri,2019-09-27,19:00,Lyngby,,Hobro,,Lyngby Stadion,,,
11,Sat,2019-09-28,17:00,FC Copenhagen,,Silkeborg,,Telia Parken,,,
11,Sun,2019-09-29,12:00,Aarhus,,Nordsjælland,,Ceres Park,,,
11,Sun,2019-09-29,14:00,Aalborg,,Randers,,Aalborg Portland Park,,,
11,Sun,2019-09-29,16:00,Midtjylland,,Odense,,MCH Arena,,,
11,Sun,2019-09-29,18:00,SønderjyskE,,Brøndby,,Sydbank Park,,,
11,Mon,2019-09-30,19:00,Horsens,,Esbjerg,,CASA Arena Horsens,,,
,,,,,,,,,,,
12,Fri,2019-10-04,19:00,Nordsjælland,,Lyngby,,Right to Dream Park,,,
12,Sat,2019-10-05,16:00,Hobro,,Aalborg,,DS Arena,,,
12,Sun,2019-10-06,12:00,Esbjerg,,SønderjyskE,,Blue Water Arena,,,
12,Sun,2019-10-06,14:00,Odense,,Horsens,,Nature Energy Park,,,
12,Sun,2019-10-06,14:00,Brøndby,,FC Copenhagen,,Brøndby Stadion,,,
12,Sun,2019-10-06,16:00,Randers,,Aarhus,,BioNutria Park Randers,,,
12,Sun,2019-10-06,18:00,Silkeborg,,Midtjylland,,JYSK Park,,,
,,,,,,,,,,,
13,Sun,2019-10-20,,Aarhus,,Silkeborg,,Ceres Park,,,
13,Sun,2019-10-20,,SønderjyskE,,Nordsjælland,,Sydbank Park,,,
13,Sun,2019-10-20,,Lyngby,,Brøndby,,Lyngby Stadion,,,
13,Sun,2019-10-20,,FC Copenhagen,,Esbjerg,,Telia Parken,,,
13,Sun,2019-10-20,,Horsens,,Hobro,,CASA Arena Horsens,,,
13,Sun,2019-10-20,,Aalborg,,Odense,,Aalborg Portland Park,,,
13,Sun,2019-10-20,,Midtjylland,,Randers,,MCH Arena,,,
,,,,,,,,,,,
14,Sun,2019-10-27,,Aarhus,,FC Copenhagen,,Ceres Park,,,
14,Sun,2019-10-27,,Odense,,Nordsjælland,,Nature Energy Park,,,
14,Sun,2019-10-27,,Esbjerg,,Midtjylland,,Blue Water Arena,,,
14,Sun,2019-10-27,,SønderjyskE,,Aalborg,,Sydbank Park,,,
14,Sun,2019-10-27,,Hobro,,Silkeborg,,DS Arena,,,
14,Sun,2019-10-27,,Brøndby,,Randers,,Brøndby Stadion,,,
14,Sun,2019-10-27,,Lyngby,,Horsens,,Lyngby Stadion,,,
,,,,,,,,,,,
15,Sun,2019-11-03,,FC Copenhagen,,SønderjyskE,,Telia Parken,,,
15,Sun,2019-11-03,,Odense,,Hobro,,Nature Energy Park,,,
15,Sun,2019-11-03,,Esbjerg,,Horsens,,Blue Water Arena,,,
15,Sun,2019-11-03,,Silkeborg,,Brøndby,,JYSK Park,,,
15,Sun,2019-11-03,,Aalborg,,Midtjylland,,Aalborg Portland Park,,,
15,Sun,2019-11-03,,Randers,,Lyngby,,BioNutria Park Randers,,,
15,Sun,2019-11-03,,Nordsjælland,,Aarhus,,Right to Dream Park,,,
,,,,,,,,,,,
16,Sun,2019-11-10,,Randers,,Aalborg,,BioNutria Park Randers,,,
16,Sun,2019-11-10,,Midtjylland,,FC Copenhagen,,MCH Arena,,,
16,Sun,2019-11-10,,Aarhus,,SønderjyskE,,Ceres Park,,,
16,Sun,2019-11-10,,Brøndby,,Esbjerg,,Brøndby Stadion,,,
16,Sun,2019-11-10,,Lyngby,,Odense,,Lyngby Stadion,,,
16,Sun,2019-11-10,,Horsens,,Silkeborg,,CASA Arena Horsens,,,
16,Sun,2019-11-10,,Hobro,,Nordsjælland,,DS Arena,,,
,,,,,,,,,,,
17,Sun,2019-11-24,,SønderjyskE,,Lyngby,,Sydbank Park,,,
17,Sun,2019-11-24,,FC Copenhagen,,Hobro,,Telia Parken,,,
17,Sun,2019-11-24,,Aarhus,,Brøndby,,Ceres Park,,,
17,Sun,2019-11-24,,Nordsjælland,,Randers,,Right to Dream Park,,,
17,Sun,2019-11-24,,Silkeborg,,Esbjerg,,JYSK Park,,,
17,Sun,2019-11-24,,Odense,,Midtjylland,,Nature Energy Park,,,
17,Sun,2019-11-24,,Aalborg,,Horsens,,Aalborg Portland Park,,,
,,,,,,,,,,,
18,Sun,2019-12-01,,Horsens,,Odense,,CASA Arena Horsens,,,
18,Sun,2019-12-01,,Randers,,SønderjyskE,,BioNutria Park Randers,,,
18,Sun,2019-12-01,,FC Copenhagen,,Brøndby,,Telia Parken,,,
18,Sun,2019-12-01,,Aalborg,,Hobro,,Aalborg Portland Park,,,
18,Sun,2019-12-01,,Lyngby,,Nordsjælland,,Lyngby Stadion,,,
18,Sun,2019-12-01,,Midtjylland,,Silkeborg,,MCH Arena,,,
18,Sun,2019-12-01,,Esbjerg,,Aarhus,,Blue Water Arena,,,
,,,,,,,,,,,
19,Sun,2019-12-08,,Nordsjælland,,FC Copenhagen,,Right to Dream Park,,,
19,Sun,2019-12-08,,Aarhus,,Lyngby,,Ceres Park,,,
19,Sun,2019-12-08,,SønderjyskE,,Esbjerg,,Sydbank Park,,,
19,Sun,2019-12-08,,Odense,,Aalborg,,Nature Energy Park,,,
19,Sun,2019-12-08,,Silkeborg,,Randers,,JYSK Park,,,
19,Sun,2019-12-08,,Hobro,,Horsens,,DS Arena,,,
19,Sun,2019-12-08,,Brøndby,,Midtjylland,,Brøndby Stadion,,,
,,,,,,,,,,,
20,Sun,2019-12-15,,FC Copenhagen,,Odense,,Telia Parken,,,
20,Sun,2019-12-15,,Horsens,,SønderjyskE,,CASA Arena Horsens,,,
20,Sun,2019-12-15,,Randers,,Esbjerg,,BioNutria Park Randers,,,
20,Sun,2019-12-15,,Midtjylland,,Aarhus,,MCH Arena,,,
20,Sun,2019-12-15,,Aalborg,,Nordsjælland,,Aalborg Portland Park,,,
20,Sun,2019-12-15,,Lyngby,,Silkeborg,,Lyngby Stadion,,,
20,Sun,2019-12-15,,Brøndby,,Hobro,,Brøndby Stadion,,,
,,,,,,,,,,,
21,Sun,2020-02-16,,Esbjerg,,FC Copenhagen,,Blue Water Arena,,,
21,Sun,2020-02-16,,SønderjyskE,,Hobro,,Sydbank Park,,,
21,Sun,2020-02-16,,Nordsjælland,,Horsens,,Right to Dream Park,,,
21,Sun,2020-02-16,,Odense,,Brøndby,,Nature Energy Park,,,
21,Sun,2020-02-16,,Midtjylland,,Lyngby,,MCH Arena,,,
21,Sun,2020-02-16,,Silkeborg,,Aalborg,,JYSK Park,,,
21,Sun,2020-02-16,,Aarhus,,Randers,,Ceres Park,,,
,,,,,,,,,,,
22,Sun,2020-02-23,,Hobro,,Midtjylland,,DS Arena,,,
22,Sun,2020-02-23,,Randers,,Odense,,BioNutria Park Randers,,,
22,Sun,2020-02-23,,Nordsjælland,,SønderjyskE,,Right to Dream Park,,,
22,Sun,2020-02-23,,Lyngby,,Esbjerg,,Lyngby Stadion,,,
22,Sun,2020-02-23,,Aalborg,,Brøndby,,Aalborg Portland Park,,,
22,Sun,2020-02-23,,Silkeborg,,FC Copenhagen,,JYSK Park,,,
22,Sun,2020-02-23,,Horsens,,Aarhus,,CASA Arena Horsens,,,
,,,,,,,,,,,
23,Sun,2020-03-01,,Aarhus,,Hobro,,Ceres Park,,,
23,Sun,2020-03-01,,Horsens,,Randers,,CASA Arena Horsens,,,
23,Sun,2020-03-01,,Brøndby,,Lyngby,,Brøndby Stadion,,,
23,Sun,2020-03-01,,Midtjylland,,SønderjyskE,,MCH Arena,,,
23,Sun,2020-03-01,,FC Copenhagen,,Aalborg,,Telia Parken,,,
23,Sun,2020-03-01,,Odense,,Silkeborg,,Nature Energy Park,,,
23,Sun,2020-03-01,,Esbjerg,,Nordsjælland,,Blue Water Arena,,,
,,,,,,,,,,,
24,Sun,2020-03-08,,Randers,,Midtjylland,,BioNutria Park Randers,,,
24,Sun,2020-03-08,,SønderjyskE,,Odense,,Sydbank Park,,,
24,Sun,2020-03-08,,Aalborg,,Lyngby,,Aalborg Portland Park,,,
24,Sun,2020-03-08,,Hobro,,Esbjerg,,DS Arena,,,
24,Sun,2020-03-08,,Silkeborg,,Aarhus,,JYSK Park,,,
24,Sun,2020-03-08,,Nordsjælland,,Brøndby,,Right to Dream Park,,,
24,Sun,2020-03-08,,FC Copenhagen,,Horsens,,Telia Parken,,,
,,,,,,,,,,,
25,Sun,2020-03-15,,Lyngby,,FC Copenhagen,,Lyngby Stadion,,,
25,Sun,2020-03-15,,Brøndby,,SønderjyskE,,Brøndby Stadion,,,
25,Sun,2020-03-15,,Randers,,Hobro,,BioNutria Park Randers,,,
25,Sun,2020-03-15,,Midtjylland,,Horsens,,MCH Arena,,,
25,Sun,2020-03-15,,Silkeborg,,Nordsjælland,,JYSK Park,,,
25,Sun,2020-03-15,,Esbjerg,,Aalborg,,Blue Water Arena,,,
25,Sun,2020-03-15,,Aarhus,,Odense,,Ceres Park,,,
,,,,,,,,,,,
26,Sun,2020-03-22,,Hobro,,Lyngby,,DS Arena,,,
26,Sun,2020-03-22,,Nordsjælland,,Midtjylland,,Right to Dream Park,,,
26,Sun,2020-03-22,,Odense,,Esbjerg,,Nature Energy Park,,,
26,Sun,2020-03-22,,FC Copenhagen,,Randers,,Telia Parken,,,
26,Sun,2020-03-22,,Horsens,,Brøndby,,CASA Arena Horsens,,,
26,Sun,2020-03-22,,Aalborg,,Aarhus,,Aalborg Portland Park,,,
26,Sun,2020-03-22,,SønderjyskE,,Silkeborg,,Sydbank Park,,,
