Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2019-08-16,21:00,Athletic Bilbao,1–0,Barcelona,47693,San Mamés,Carlos del Cerro,Match Report,
1,Sat,2019-08-17,17:00,Celta Vigo,1–3,Real Madrid,23566,Estadio de Balaídos,Javier Estrada,Match Report,
1,Sat,2019-08-17,19:00,Valencia,1–1,Real Sociedad,41846,Estadio de Mestalla,Jesús Gil,Match Report,
1,Sat,2019-08-17,20:00,Mallorca,2–1,Eibar,15127,Iberostar Estadi,Mario Melero,Match Report,
1,Sat,2019-08-17,21:00,Leganés,0–1,Osasuna,10020,Estadio Municipal de Butarque,Alberola Rojas,Match Report,
1,Sat,2019-08-17,21:00,Villarreal,4–4,Granada,14753,Estadio de la Cerámica,Adrián Cordero,Match Report,
1,Sun,2019-08-18,17:00,Alavés,1–0,Levante,12029,Estadio de Mendizorroza,César Soto,Match Report,
1,Sun,2019-08-18,19:00,Espanyol,0–2,Sevilla,19832,RCDE Stadium,Juan Martínez,Match Report,
1,Sun,2019-08-18,21:00,Betis,1–2,Valladolid,51497,Estadio Benito Villamarín,Santiago Jaime,Match Report,
1,Sun,2019-08-18,22:00,Atlético Madrid,1–0,Getafe,55099,Estadio Wanda Metropolitano,Guillermo Cuadra,Match Report,
,,,,,,,,,,,
2,Fri,2019-08-23,20:00,Granada,0–1,Sevilla,15849,Estadio Nuevo Los Cármenes,José Sánchez,Match Report,
2,Fri,2019-08-23,22:00,Levante,2–1,Villarreal,20240,Estadio Ciudad de Valencia,José Luis Munuera,Match Report,
2,Sat,2019-08-24,17:00,Osasuna,0–0,Eibar,13978,Estadio El Sadar,David Medié,Match Report,
2,Sat,2019-08-24,19:00,Real Madrid,1–1,Valladolid,63037,Estadio Santiago Bernabéu,Pablo González,Match Report,
2,Sat,2019-08-24,21:00,Celta Vigo,1–0,Valencia,20034,Estadio de Balaídos,Alejandro Hernández,Match Report,
2,Sat,2019-08-24,21:00,Getafe,1–1,Athletic Bilbao,10103,Coliseum Alfonso Pérez,Antonio Matéu Lahoz,Match Report,
2,Sun,2019-08-25,17:00,Mallorca,0–1,Real Sociedad,18028,Iberostar Estadi,Valentín Pizarro,Match Report,
2,Sun,2019-08-25,17:00,Alavés,0–0,Espanyol,14567,Estadio de Mendizorroza,Eduardo Prieto,Match Report,
2,Sun,2019-08-25,19:00,Leganés,0–1,Atlético Madrid,11742,Estadio Municipal de Butarque,Ricardo de Burgos,Match Report,
2,Sun,2019-08-25,21:00,Barcelona,5–2,Betis,79159,Camp Nou,José González,Match Report,
,,,,,,,,,,,
3,Fri,2019-08-30,20:00,Sevilla,1–1,Celta Vigo,37787,Estadio Ramón Sánchez Pizjuán,Carlos del Cerro,Match Report,
3,Fri,2019-08-30,22:00,Athletic Bilbao,2–0,Real Sociedad,46697,San Mamés,Javier Estrada,Match Report,
3,Sat,2019-08-31,17:00,Osasuna,2–2,Barcelona,16742,Estadio El Sadar,Juan Martínez,Match Report,
3,Sat,2019-08-31,19:00,Getafe,1–1,Alavés,10806,Coliseum Alfonso Pérez,Mario Melero,Match Report,
3,Sat,2019-08-31,19:00,Levante,2–0,Valladolid,19347,Estadio Ciudad de Valencia,Adrián Cordero,Match Report,
3,Sat,2019-08-31,21:00,Betis,2–1,Leganés,47819,Estadio Benito Villamarín,Guillermo Cuadra,Match Report,
3,Sun,2019-09-01,17:00,Valencia,2–0,Mallorca,40441,Estadio de Mestalla,Alberola Rojas,Match Report,
3,Sun,2019-09-01,19:00,Atlético Madrid,3–2,Eibar,56664,Estadio Wanda Metropolitano,Santiago Jaime,Match Report,
3,Sun,2019-09-01,19:00,Espanyol,0–3,Granada,20870,RCDE Stadium,César Soto,Match Report,
3,Sun,2019-09-01,21:00,Villarreal,2–2,Real Madrid,20128,Estadio de la Cerámica,Jesús Gil,Match Report,
,,,,,,,,,,,
4,Fri,2019-09-13,21:00,Mallorca,0–0,Athletic Bilbao,16390,Iberostar Estadi,Pablo González,Match Report,
4,Sat,2019-09-14,13:00,Real Madrid,3–2,Levante,60401,Estadio Santiago Bernabéu,Ricardo de Burgos,Match Report,
4,Sat,2019-09-14,16:00,Leganés,0–3,Villarreal,7670,Estadio Municipal de Butarque,David Medié,Match Report,
4,Sat,2019-09-14,18:30,Real Sociedad,2–0,Atlético Madrid,34719,Estadio Municipal de Anoeta,Antonio Matéu Lahoz,Match Report,
4,Sat,2019-09-14,21:00,Barcelona,5–2,Valencia,81617,Camp Nou,José Sánchez,Match Report,
4,Sun,2019-09-15,12:00,Eibar,,Espanyol,,Estadio Municipal de Ipurúa,,,
4,Sun,2019-09-15,14:00,Alavés,,Sevilla,,Estadio de Mendizorroza,,,
4,Sun,2019-09-15,16:00,Celta Vigo,,Granada,,Estadio de Balaídos,,,
4,Sun,2019-09-15,18:30,Valladolid,,Osasuna,,Estadio Municipal José Zorrilla,,,
4,Sun,2019-09-15,21:00,Betis,,Getafe,,Estadio Benito Villamarín,,,
,,,,,,,,,,,
5,Fri,2019-09-20,21:00,Osasuna,,Betis,,Estadio El Sadar,,,
5,Sat,2019-09-21,13:00,Villarreal,,Valladolid,,Estadio de la Cerámica,,,
5,Sat,2019-09-21,16:00,Levante,,Eibar,,Estadio Ciudad de Valencia,,,
5,Sat,2019-09-21,18:30,Atlético Madrid,,Celta Vigo,,Estadio Wanda Metropolitano,,,
5,Sat,2019-09-21,21:00,Granada,,Barcelona,,Estadio Nuevo Los Cármenes,,,
5,Sun,2019-09-22,12:00,Getafe,,Mallorca,,Coliseum Alfonso Pérez,,,
5,Sun,2019-09-22,14:00,Espanyol,,Real Sociedad,,RCDE Stadium,,,
5,Sun,2019-09-22,16:00,Valencia,,Leganés,,Estadio de Mestalla,,,
5,Sun,2019-09-22,18:30,Athletic Bilbao,,Alavés,,San Mamés,,,
5,Sun,2019-09-22,21:00,Sevilla,,Real Madrid,,Estadio Ramón Sánchez Pizjuán,,,
,,,,,,,,,,,
6,Tue,2019-09-24,19:00,Valladolid,,Granada,,Estadio Municipal José Zorrilla,,,
6,Tue,2019-09-24,20:00,Betis,,Levante,,Estadio Benito Villamarín,,,
6,Tue,2019-09-24,21:00,Barcelona,,Villarreal,,Camp Nou,,,
6,Wed,2019-09-25,19:00,Leganés,,Athletic Bilbao,,Estadio Municipal de Butarque,,,
6,Wed,2019-09-25,19:00,Mallorca,,Atlético Madrid,,Iberostar Estadi,,,
6,Wed,2019-09-25,20:00,Valencia,,Getafe,,Estadio de Mestalla,,,
6,Wed,2019-09-25,21:00,Real Madrid,,Osasuna,,Estadio Santiago Bernabéu,,,
6,Thu,2019-09-26,19:00,Eibar,,Sevilla,,Estadio Municipal de Ipurúa,,,
6,Thu,2019-09-26,20:00,Celta Vigo,,Espanyol,,Estadio de Balaídos,,,
6,Thu,2019-09-26,21:00,Real Sociedad,,Alavés,,Estadio Municipal de Anoeta,,,
,,,,,,,,,,,
7,Fri,2019-09-27,21:00,Villarreal,,Betis,,Estadio de la Cerámica,,,
7,Sat,2019-09-28,13:00,Athletic Bilbao,,Valencia,,San Mamés,,,
7,Sat,2019-09-28,16:00,Getafe,,Barcelona,,Coliseum Alfonso Pérez,,,
7,Sat,2019-09-28,18:30,Granada,,Leganés,,Estadio Nuevo Los Cármenes,,,
7,Sat,2019-09-28,21:00,Atlético Madrid,,Real Madrid,,Estadio Wanda Metropolitano,,,
7,Sun,2019-09-29,12:00,Espanyol,,Valladolid,,RCDE Stadium,,,
7,Sun,2019-09-29,14:00,Eibar,,Celta Vigo,,Estadio Municipal de Ipurúa,,,
7,Sun,2019-09-29,16:00,Alavés,,Mallorca,,Estadio de Mendizorroza,,,
7,Sun,2019-09-29,18:30,Levante,,Osasuna,,Estadio Ciudad de Valencia,,,
7,Sun,2019-09-29,21:00,Sevilla,,Real Sociedad,,Estadio Ramón Sánchez Pizjuán,,,
,,,,,,,,,,,
8,Fri,2019-10-04,21:00,Celta Vigo,,Athletic Bilbao,,Estadio de Balaídos,,,
8,Sat,2019-10-05,13:00,Leganés,,Levante,,Estadio Municipal de Butarque,,,
8,Sat,2019-10-05,16:00,Real Madrid,,Granada,,Estadio Santiago Bernabéu,,,
