Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sun,2019-07-28,14:00 (13:00),Vorskla Poltava,0–1,Zorya Luhansk,2647,Stadion Vorskla im. Oleksiya Butov'skogo,Dmytro Kutakov,Match Report,
1,Tue,2019-07-30,19:00 (18:00),FK Kolos,2–1,FC Mariupol,2993,Obolon' Arena,Oleksandr Derdo,Match Report,
1,Tue,2019-07-30,19:00 (18:00),Desna Chernihiv,1–2,FK L'viv,4037,Stadion im. Yuriya Haharina,Denys Shurman,Match Report,
1,Wed,2019-07-31,19:00 (18:00),FC Oleksandriya,1–3,Shakhtar,4004,KSK Nika,Anatolii Abdula,Match Report,
1,Wed,2019-07-31,19:00 (18:00),SK Dnipro-1,2–0,Olimpik Donetsk,7074,Dnipro Arena,Ivan Bondar,Match Report,
1,Wed,2019-07-31,19:30 (18:30),Karpaty Lviv,0–2,Dynamo Kyiv,12135,Stadion Ukrajina,Viktor Kopievskii,Match Report,
,,,,,,,,,,,
2,Sat,2019-08-03,17:00 (16:00),FC Mariupol,2–1,FC Oleksandriya,3173,Stadion im. Volodymyra Boyka,Yurii Mozharovskyi,Match Report,
2,Sat,2019-08-03,19:30 (18:30),FK L'viv,0–3,Dynamo Kyiv,7103,L'viv Arena,Ihor Paskhal,Match Report,
2,Sat,2019-08-03,19:30 (18:30),Desna Chernihiv,2–0,Vorskla Poltava,3288,Stadion im. Yuriya Haharina,Yury Ivanov,Match Report,
2,Sun,2019-08-04,17:00 (16:00),Olimpik Donetsk,0–1,FK Kolos,2360,Stadion Dynamo im. Valery Lobanovsky,Dmytro Kryvushkin,Match Report,
2,Sun,2019-08-04,19:30 (18:30),Shakhtar,3–0,Karpaty Lviv,6656,Oblasny SportKomplex Metalist,Mykola Balakin,Match Report,
2,Sun,2019-08-04,19:30 (18:30),Zorya Luhansk,1–1,SK Dnipro-1,1515,Slavutych-Arena,Volodymyr Novohatnіj,Match Report,
,,,,,,,,,,,
3,Sat,2019-08-10,17:00 (16:00),Dynamo Kyiv,1–2,Shakhtar,41203,NSK Olimpijs'kyj,Yaroslav Kozyk,Match Report,
3,Sat,2019-08-10,19:30 (18:30),Vorskla Poltava,3–2,FK L'viv,2149,Stadion Vorskla im. Oleksiya Butov'skogo,Boiko Serhii,Match Report,
3,Sat,2019-08-10,19:30 (18:30),FC Oleksandriya,2–1,Olimpik Donetsk,1602,KSK Nika,Andrii Kovalenko,Match Report,
3,Sun,2019-08-11,17:00 (16:00),SK Dnipro-1,0–1,Desna Chernihiv,6097,Dnipro Arena,Dmytro Bondarenko,Match Report,
3,Sun,2019-08-11,17:00 (16:00),FK Kolos,1–3,Zorya Luhansk,4420,Obolon' Arena,Oleksandr Omelchenko,Match Report,
3,Sun,2019-08-11,19:30 (18:30),Karpaty Lviv,1–1,FC Mariupol,3197,Stadion Ukrajina,Kostyantin Trukhanov,Match Report,
,,,,,,,,,,,
4,Sat,2019-08-17,14:00 (13:00),Vorskla Poltava,1–1,SK Dnipro-1,2307,Stadion Vorskla im. Oleksiya Butov'skogo,Yevhen Aranovskyi,Match Report,
4,Sat,2019-08-17,17:00 (16:00),Desna Chernihiv,0–0,FK Kolos,4087,Stadion im. Yuriya Haharina,Andrii Kovalenko,Match Report,
4,Sun,2019-08-18,17:00 (16:00),Olimpik Donetsk,1–3,Karpaty Lviv,800,Stadion Dynamo im. Valery Lobanovsky,Denys Shurman,Match Report,
4,Sun,2019-08-18,19:30 (18:30),Zorya Luhansk,1–2,FC Oleksandriya,1974,Slavutych-Arena,Mykola Balakin,Match Report,
4,Sun,2019-08-18,19:30 (18:30),FK L'viv,0–2,Shakhtar,6380,L'viv Arena,Viktor Kopievskii,Match Report,
,,,,,,,,,,,
5,Sat,2019-08-24,14:00 (13:00),FK Kolos,0–3,Vorskla Poltava,2002,Obolon' Arena,Kateryna Monzul,Match Report,
5,Sat,2019-08-24,17:00 (16:00),FC Oleksandriya,0–3,Desna Chernihiv,1612,KSK Nika,Ivan Bondar,Match Report,
5,Sat,2019-08-24,19:30 (18:30),Dynamo Kyiv,1–1,Olimpik Donetsk,14713,NSK Olimpijs'kyj,Vitalii Romanov,Match Report,
5,Sun,2019-08-25,17:00 (16:00),Karpaty Lviv,0–1,Zorya Luhansk,3561,Stadion Ukrajina,Oleksandr Derdo,Match Report,
5,Sun,2019-08-25,19:30 (18:30),Shakhtar,5–1,FC Mariupol,7134,Oblasny SportKomplex Metalist,Dmytro Kutakov,Match Report,
5,Mon,2019-08-26,19:00 (18:00),SK Dnipro-1,2–3,FK L'viv,4648,Dnipro Arena,Dmytro Kryvushkin,Match Report,
,,,,,,,,,,,
6,Fri,2019-08-30,19:00 (18:00),Desna Chernihiv,0–0,Karpaty Lviv,4463,Stadion im. Yuriya Haharina,Volodymyr Novohatnіj,Match Report,
6,Sat,2019-08-31,17:00 (16:00),Vorskla Poltava,0–1,FC Oleksandriya,6075,Stadion Vorskla im. Oleksiya Butov'skogo,Yaroslav Kozyk,Match Report,
6,Sat,2019-08-31,17:00 (16:00),SK Dnipro-1,2–1,FK Kolos,3290,Dnipro Arena,Yury Ivanov,Match Report,
6,Sat,2019-08-31,19:30 (18:30),FK L'viv,0–1,FC Mariupol,943,L'viv Arena,Anatolii Abdula,Match Report,
6,Sun,2019-09-01,17:00 (16:00),Olimpik Donetsk,0–4,Shakhtar,4500,Stadion Dynamo im. Valery Lobanovsky,Sergiy Boyko,Match Report,
6,Sun,2019-09-01,19:30 (18:30),Zorya Luhansk,2–2,Dynamo Kyiv,6352,Slavutych-Arena,Kostyantin Trukhanov,Match Report,
,,,,,,,,,,,
7,Sat,2019-09-14,14:00 (13:00),FC Oleksandriya,2–0,SK Dnipro-1,1373,KSK Nika,Andrii Kovalenko,Match Report,
7,Sat,2019-09-14,17:00 (16:00),Shakhtar,4–3,Zorya Luhansk,,Oblasny SportKomplex Metalist,Vitalii Romanov,Match Report,
7,Sat,2019-09-14,17:00 (16:00),Karpaty Lviv,2–1,Vorskla Poltava,,Stadion Ukrajina,Pashal Іgor,Match Report,
7,Sun,2019-09-15,14:00 (13:00),FC Mariupol,1–1,Olimpik Donetsk,3482,Stadion im. Volodymyra Boyka,Oleksandr Derdo,Match Report,
7,Sun,2019-09-15,17:00 (16:00),Dynamo Kyiv,1–2,Desna Chernihiv,,NSK Olimpijs'kyj,Viktor Kopievskii,Match Report,
7,Sun,2019-09-15,19:30 (18:30),FK Kolos,1–0,FK L'viv,,Obolon' Arena,Oleksandr Omelchenko,Match Report,
,,,,,,,,,,,
8,Sat,2019-09-21,,FK L'viv,,Olimpik Donetsk,,L'viv Arena,,,
8,Sat,2019-09-21,,FK Kolos,,FC Oleksandriya,,Obolon' Arena,,,
8,Sat,2019-09-21,,Zorya Luhansk,,FC Mariupol,,Slavutych-Arena,,,
8,Sat,2019-09-21,,SK Dnipro-1,,Karpaty Lviv,,Dnipro Arena,,,
8,Sat,2019-09-21,,Vorskla Poltava,,Dynamo Kyiv,,Stadion Vorskla im. Oleksiya Butov'skogo,,,
8,Sat,2019-09-21,,Desna Chernihiv,,Shakhtar,,Stadion im. Yuriya Haharina,,,
,,,,,,,,,,,
4,Wed,2019-09-25,,FC Mariupol,,Dynamo Kyiv,,Stadion im. Volodymyra Boyka,,,
,,,,,,,,,,,
9,Sat,2019-09-28,,Karpaty Lviv,,FK Kolos,,Stadion Ukrajina,,,
9,Sat,2019-09-28,,Olimpik Donetsk,,Zorya Luhansk,,Stadion Dynamo im. Valery Lobanovsky,,,
9,Sat,2019-09-28,,FC Oleksandriya,,FK L'viv,,KSK Nika,,,
9,Sat,2019-09-28,,Shakhtar,,Vorskla Poltava,,Oblasny SportKomplex Metalist,,,
9,Sat,2019-09-28,,Dynamo Kyiv,,SK Dnipro-1,,NSK Olimpijs'kyj,,,
9,Sat,2019-09-28,,FC Mariupol,,Desna Chernihiv,,Stadion im. Volodymyra Boyka,,,
,,,,,,,,,,,
10,Sat,2019-10-05,,Desna Chernihiv,,Olimpik Donetsk,,Stadion im. Yuriya Haharina,,,
10,Sat,2019-10-05,,FK L'viv,,Zorya Luhansk,,L'viv Arena,,,
10,Sat,2019-10-05,,Vorskla Poltava,,FC Mariupol,,Stadion Vorskla im. Oleksiya Butov'skogo,,,
10,Sat,2019-10-05,,SK Dnipro-1,,Shakhtar,,Dnipro Arena,,,
10,Sat,2019-10-05,,FC Oleksandriya,,Karpaty Lviv,,KSK Nika,,,
10,Sat,2019-10-05,,FK Kolos,,Dynamo Kyiv,,Obolon' Arena,,,
,,,,,,,,,,,
11,Sat,2019-10-19,,Zorya Luhansk,,Desna Chernihiv,,Slavutych-Arena,,,
11,Sat,2019-10-19,,Dynamo Kyiv,,FC Oleksandriya,,NSK Olimpijs'kyj,,,
11,Sat,2019-10-19,,FC Mariupol,,SK Dnipro-1,,Stadion im. Volodymyra Boyka,,,
11,Sat,2019-10-19,,Karpaty Lviv,,FK L'viv,,Stadion Ukrajina,,,
11,Sat,2019-10-19,,Olimpik Donetsk,,Vorskla Poltava,,Stadion Dynamo im. Valery Lobanovsky,,,
11,Sat,2019-10-19,,Shakhtar,,FK Kolos,,Oblasny SportKomplex Metalist,,,
,,,,,,,,,,,
12,Sat,2019-10-26,,Zorya Luhansk,,Vorskla Poltava,,Slavutych-Arena,,,
12,Sat,2019-10-26,,Shakhtar,,FC Oleksandriya,,Oblasny SportKomplex Metalist,,,
12,Sat,2019-10-26,,FK L'viv,,Desna Chernihiv,,L'viv Arena,,,
12,Sat,2019-10-26,,Olimpik Donetsk,,SK Dnipro-1,,Stadion Dynamo im. Valery Lobanovsky,,,
12,Sat,2019-10-26,,Dynamo Kyiv,,Karpaty Lviv,,NSK Olimpijs'kyj,,,
12,Sat,2019-10-26,,FC Mariupol,,FK Kolos,,Stadion im. Volodymyra Boyka,,,
,,,,,,,,,,,
13,Sat,2019-11-02,,Karpaty Lviv,,Shakhtar,,Stadion Ukrajina,,,
13,Sat,2019-11-02,,Vorskla Poltava,,Desna Chernihiv,,Stadion Vorskla im. Oleksiya Butov'skogo,,,
13,Sat,2019-11-02,,SK Dnipro-1,,Zorya Luhansk,,Dnipro Arena,,,
13,Sat,2019-11-02,,Dynamo Kyiv,,FK L'viv,,NSK Olimpijs'kyj,,,
13,Sat,2019-11-02,,FK Kolos,,Olimpik Donetsk,,Obolon' Arena,,,
13,Sat,2019-11-02,,FC Oleksandriya,,FC Mariupol,,KSK Nika,,,
,,,,,,,,,,,
14,Sat,2019-11-09,,Zorya Luhansk,,FK Kolos,,Slavutych-Arena,,,
14,Sat,2019-11-09,,FK L'viv,,Vorskla Poltava,,L'viv Arena,,,
14,Sat,2019-11-09,,FC Mariupol,,Karpaty Lviv,,Stadion im. Volodymyra Boyka,,,
14,Sat,2019-11-09,,Olimpik Donetsk,,FC Oleksandriya,,Stadion Dynamo im. Valery Lobanovsky,,,
14,Sat,2019-11-09,,Desna Chernihiv,,SK Dnipro-1,,Stadion im. Yuriya Haharina,,,
14,Sat,2019-11-09,,Shakhtar,,Dynamo Kyiv,,Oblasny SportKomplex Metalist,,,
,,,,,,,,,,,
15,Sat,2019-11-23,,Karpaty Lviv,,Olimpik Donetsk,,Stadion Ukrajina,,,
15,Sat,2019-11-23,,SK Dnipro-1,,Vorskla Poltava,,Dnipro Arena,,,
15,Sat,2019-11-23,,Dynamo Kyiv,,FC Mariupol,,NSK Olimpijs'kyj,,,
15,Sat,2019-11-23,,FK Kolos,,Desna Chernihiv,,Obolon' Arena,,,
15,Sat,2019-11-23,,Shakhtar,,FK L'viv,,Oblasny SportKomplex Metalist,,,
15,Sat,2019-11-23,,FC Oleksandriya,,Zorya Luhansk,,KSK Nika,,,
,,,,,,,,,,,
16,Sat,2019-11-30,,Zorya Luhansk,,Karpaty Lviv,,Slavutych-Arena,,,
16,Sat,2019-11-30,,FK L'viv,,SK Dnipro-1,,L'viv Arena,,,
16,Sat,2019-11-30,,Vorskla Poltava,,FK Kolos,,Stadion Vorskla im. Oleksiya Butov'skogo,,,
16,Sat,2019-11-30,,FC Mariupol,,Shakhtar,,Stadion im. Volodymyra Boyka,,,
16,Sat,2019-11-30,,Olimpik Donetsk,,Dynamo Kyiv,,Stadion Dynamo im. Valery Lobanovsky,,,
16,Sat,2019-11-30,,Desna Chernihiv,,FC Oleksandriya,,Stadion im. Yuriya Haharina,,,
,,,,,,,,,,,
17,Sat,2019-12-07,,FC Mariupol,,FK L'viv,,Stadion im. Volodymyra Boyka,,,
17,Sat,2019-12-07,,FK Kolos,,SK Dnipro-1,,Obolon' Arena,,,
17,Sat,2019-12-07,,Shakhtar,,Olimpik Donetsk,,Oblasny SportKomplex Metalist,,,
17,Sat,2019-12-07,,Karpaty Lviv,,Desna Chernihiv,,Stadion Ukrajina,,,
