Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
6,Sat,2019-08-17,19:00 (18:00),Zenit,0–0,Akhmat Grozny,48468,Gazprom Arena,Aleksey Matyunin,Match Report,
6,Sun,2019-08-18,14:00 (13:00),Rubin Kazan,1–0,Arsenal Tula,10022,Central'nyj stadion Kazan',Vladislav Bezborodov,Match Report,
6,Sun,2019-08-18,16:30 (15:30),Ufa,2–0,Rostov,8532,Stadion Neftyanik,Evgeny Turbin,Match Report,
6,Sun,2019-08-18,19:00 (18:00),Dynamo Mosc,1–2,Loko Moscow,17837,VTB Arena,Vasiliy Kazartsev,Match Report,
6,Mon,2019-08-19,20:00 (19:00),Spartak Moscow,2–1,CSKA Moscow,44434,Otkrytie Arena,Sergey Karasev,Match Report,
,,,,,,,,,,,
7,Sat,2019-08-24,14:00 (13:00),Tambov,0–2,Dynamo Mosc,4816,Mordovia Arena,Igor Panin,Match Report,
7,Sat,2019-08-24,18:30 (15:30),Ufa,1–0,Zenit,13368,Stadion Neftyanik,Sergey Ivanov,Match Report,
7,Sat,2019-08-24,19:00 (18:00),Krasnodar,1–1,Loko Moscow,31231,Stadion Akademii FK Krasnodar,Vladislav Bezborodov,Match Report,
7,Sun,2019-08-25,16:30 (15:30),CSKA Moscow,3–0,Akhmat Grozny,18508,VEB Arena,Vasiliy Kazartsev,Match Report,
7,Sun,2019-08-25,19:00 (18:00),Rostov,2–1,Rubin Kazan,35031,Rostov Arena,Vitaly Meshkov,Match Report,
7,Sun,2019-08-25,20:00 (18:00),Samara,1–2,Spartak Moscow,32286,Cosmos Arena,Sergey Lapochkin,Match Report,
7,Sun,2019-08-25,21:30 (20:30),Arsenal Tula,2–1,FK Orenburg,8347,Stadion Arsenal,Aleksey Sukhoy,Match Report,
7,Mon,2019-08-26,20:00 (17:00),Ural,3–1,Sochi,10171,Stadion Central'nyj,Sergey Karasev,Match Report,
,,,,,,,,,,,
8,Fri,2019-08-30,20:00 (19:00),Samara,0–0,Dynamo Mosc,14728,Cosmos Arena,Vladislav Bezborodov,Match Report,
8,Sat,2019-08-31,13:30 (10:30),Ufa,1–2,FK Orenburg,6892,Stadion Neftyanik,Igor Panin,Match Report,
8,Sat,2019-08-31,14:00 (13:00),Rubin Kazan,0–3,Sochi,8845,Central'nyj stadion Kazan',Nikolay Voloshin,Match Report,
8,Sat,2019-08-31,16:30 (15:30),Loko Moscow,1–2,Rostov,19356,RZD Arena,Sergey Lapochkin,Match Report,
8,Sat,2019-08-31,19:00 (18:00),Akhmat Grozny,1–1,Tambov,8743,Stadion im. Akhmat-Khaji Kadyrova,Sergey Karasev,Match Report,
8,Sun,2019-09-01,16:00 (13:00),Ural,2–4,Krasnodar,18388,Stadion Central'nyj,Aleksey Sukhoy,Match Report,
8,Sun,2019-09-01,19:00 (18:00),Spartak Moscow,0–1,Zenit,43382,Otkrytie Arena,Vitaly Meshkov,Match Report,
8,Sun,2019-09-01,20:30 (15:30),Arsenal Tula,1–2,CSKA Moscow,18758,Stadion Arsenal,Evgeny Turbin,Match Report,
,,,,,,,,,,,
9,Fri,2019-09-13,20:00 (19:00),Zenit,3–1,Arsenal Tula,42431,Gazprom Arena,Pavel Kukuyan,Match Report,
9,Sat,2019-09-14,16:30 (15:30),Spartak Moscow,1–2,Ural,24198,Otkrytie Arena,Sergey Ivanov,Match Report,
9,Sat,2019-09-14,19:00 (18:00),Sochi,0–1,Loko Moscow,13900,Olimpiyskiy Stadion Fisht,Igor Panin,Match Report,
9,Sun,2019-09-15,16:00 (13:00),FK Orenburg,,Rubin Kazan,,Stadion Gazovik,,,
9,Sun,2019-09-15,16:30 (15:30),Tambov,,CSKA Moscow,,Mordovia Arena,,,
9,Sun,2019-09-15,19:00 (18:00),Krasnodar,,Samara,,Stadion Akademii FK Krasnodar,,,
9,Mon,2019-09-16,20:00 (19:00),Dynamo Mosc,,Ufa,,VTB Arena,,,
9,Mon,2019-09-16,20:30 (19:30),Rostov,,Akhmat Grozny,,Rostov Arena,,,
,,,,,,,,,,,
10,Fri,2019-09-20,19:30 (16:30),Ufa,,Spartak Moscow,,,,,
10,Sat,2019-09-21,14:00 (13:00),Akhmat Grozny,,Samara,,,,,
10,Sat,2019-09-21,19:00 (18:00),Tambov,,Rostov,,,,,
10,Sat,2019-09-21,19:30 (18:30),Zenit,,Rubin Kazan,,,,,
10,Sun,2019-09-22,11:30 (10:30),FK Orenburg,,Loko Moscow,,,,,
10,Sun,2019-09-22,14:00 (13:00),Dynamo Mosc,,Sochi,,,,,
10,Sun,2019-09-22,16:30 (15:30),Arsenal Tula,,Ural,,,,,
10,Sun,2019-09-22,19:00 (18:00),CSKA Moscow,,Krasnodar,,,,,
,,,,,,,,,,,
11,Sat,2019-09-28,14:00 (13:00),Samara,,Tambov,,,,,
11,Sat,2019-09-28,16:30 (15:30),Rostov,,Dynamo Mosc,,,,,
11,Sat,2019-09-28,19:00 (18:00),Loko Moscow,,Zenit,,,,,
11,Sun,2019-09-29,13:30 (10:30),Ural,,CSKA Moscow,,,,,
11,Sun,2019-09-29,14:00 (13:00),Rubin Kazan,,Ufa,,,,,
11,Sun,2019-09-29,16:30 (15:30),Spartak Moscow,,FK Orenburg,,,,,
11,Sun,2019-09-29,19:00 (18:00),Krasnodar,,Arsenal Tula,,,,,
11,Mon,2019-09-30,19:30 (18:30),Sochi,,Akhmat Grozny,,,,,
,,,,,,,,,,,
12,Sat,2019-10-05,13:30 (10:30),Ufa,,Akhmat Grozny,,,,,
12,Sat,2019-10-05,14:00 (13:00),FK Orenburg,,Dynamo Mosc,,,,,
12,Sat,2019-10-05,16:30 (15:30),Rubin Kazan,,Tambov,,,,,
12,Sat,2019-10-05,19:00 (18:00),Sochi,,Samara,,,,,
12,Sun,2019-10-06,13:30 (10:30),Ural,,Zenit,,,,,
12,Sun,2019-10-06,14:00 (13:00),Loko Moscow,,Arsenal Tula,,,,,
12,Sun,2019-10-06,16:30 (15:30),CSKA Moscow,,Rostov,,,,,
12,Sun,2019-10-06,19:00 (18:00),Krasnodar,,Spartak Moscow,,,,,
,,,,,,,,,,,
13,Fri,2019-10-18,19:30 (18:30),Akhmat Grozny,,Loko Moscow,,,,,
13,Sat,2019-10-19,14:00 (13:00),Tambov,,Ural,,,,,
13,Sat,2019-10-19,16:30 (15:30),Spartak Moscow,,Rubin Kazan,,,,,
13,Sat,2019-10-19,19:00 (18:00),Zenit,,Rostov,,,,,
13,Sun,2019-10-20,11:30 (10:30),FK Orenburg,,Samara,,,,,
13,Sun,2019-10-20,16:00 (13:00),Ufa,,CSKA Moscow,,,,,
13,Sun,2019-10-20,16:30 (15:30),Arsenal Tula,,Sochi,,,,,
13,Sun,2019-10-20,19:00 (18:00),Dynamo Mosc,,Krasnodar,,,,,
,,,,,,,,,,,
14,Fri,2019-10-25,19:30 (18:30),Rubin Kazan,,Ural,,,,,
14,Sat,2019-10-26,14:00 (13:00),Tambov,,Ufa,,,,,
14,Sat,2019-10-26,16:30 (15:30),Akhmat Grozny,,Arsenal Tula,,,,,
14,Sat,2019-10-26,19:00 (18:00),Rostov,,Sochi,,,,,
14,Sun,2019-10-27,13:00 (11:00),Samara,,Zenit,,,,,
14,Sun,2019-10-27,15:00 (13:00),CSKA Moscow,,Dynamo Mosc,,,,,
14,Sun,2019-10-27,17:30 (15:30),Krasnodar,,FK Orenburg,,,,,
14,Sun,2019-10-27,20:00 (18:00),Loko Moscow,,Spartak Moscow,,,,,
,,,,,,,,,,,
15,Sat,2019-11-02,14:30 (10:30),Ufa,,Loko Moscow,,,,,
15,Sat,2019-11-02,15:00 (13:00),Dynamo Mosc,,Akhmat Grozny,,,,,
15,Sat,2019-11-02,17:30 (15:30),Sochi,,Tambov,,,,,
15,Sat,2019-11-02,20:00 (18:00),Zenit,,CSKA Moscow,,,,,
15,Sun,2019-11-03,17:30 (15:30),Krasnodar,,Rostov,,,,,
15,Mon,2019-11-04,17:00 (13:00),Ural,,FK Orenburg,,,,,
15,Mon,2019-11-04,17:30 (15:30),Samara,,Rubin Kazan,,,,,
15,Mon,2019-11-04,20:00 (18:00),Spartak Moscow,,Arsenal Tula,,,,,
,,,,,,,,,,,
16,Fri,2019-11-08,20:30 (18:30),Akhmat Grozny,,Ural,,,,,
16,Sat,2019-11-09,15:00 (13:00),Rubin Kazan,,Dynamo Mosc,,,,,
16,Sat,2019-11-09,17:30 (15:30),Rostov,,Tambov,,,,,
16,Sat,2019-11-09,20:00 (18:00),Spartak Moscow,,Samara,,,,,
16,Sun,2019-11-10,12:30 (10:30),FK Orenburg,,Ufa,,,,,
16,Sun,2019-11-10,15:00 (13:00),Arsenal Tula,,Zenit,,,,,
16,Sun,2019-11-10,17:30 (15:30),Sochi,,CSKA Moscow,,,,,
16,Sun,2019-11-10,20:00 (18:00),Loko Moscow,,Krasnodar,,,,,
,,,,,,,,,,,
17,Sun,2019-11-24,,Ufa,,Sochi,,,,,
17,Sun,2019-11-24,,Ural,,Spartak Moscow,,,,,
17,Sun,2019-11-24,,CSKA Moscow,,Samara,,,,,
17,Sun,2019-11-24,,Rubin Kazan,,Zenit,,,,,
17,Sun,2019-11-24,,Dynamo Mosc,,Rostov,,,,,
17,Sun,2019-11-24,,Arsenal Tula,,Krasnodar,,,,,
17,Sun,2019-11-24,,Tambov,,Loko Moscow,,,,,
17,Sun,2019-11-24,,FK Orenburg,,Akhmat Grozny,,,,,
,,,,,,,,,,,
18,Sun,2019-12-01,,Loko Moscow,,Dynamo Mosc,,,,,
18,Sun,2019-12-01,,Samara,,Ufa,,,,,
18,Sun,2019-12-01,,Sochi,,FK Orenburg,,,,,
18,Sun,2019-12-01,,Krasnodar,,Tambov,,,,,
18,Sun,2019-12-01,,CSKA Moscow,,Arsenal Tula,,,,,
18,Sun,2019-12-01,,Akhmat Grozny,,Rubin Kazan,,,,,
18,Sun,2019-12-01,,Zenit,,Spartak Moscow,,,,,
18,Sun,2019-12-01,,Rostov,,Ural,,,,,
,,,,,,,,,,,
19,Sun,2019-12-08,,Krasnodar,,CSKA Moscow,,,,,
19,Sun,2019-12-08,,Arsenal Tula,,Loko Moscow,,,,,
19,Sun,2019-12-08,,Tambov,,FK Orenburg,,,,,
19,Sun,2019-12-08,,Zenit,,Dynamo Mosc,,,,,
19,Sun,2019-12-08,,Spartak Moscow,,Rostov,,,,,
19,Sun,2019-12-08,,Sochi,,Rubin Kazan,,,,,
19,Sun,2019-12-08,,Samara,,Ural,,,,,
19,Sun,2019-12-08,,Akhmat Grozny,,Ufa,,,,,
,,,,,,,,,,,
20,Sun,2020-03-01,,Zenit,,Loko Moscow,,,,,
20,Sun,2020-03-01,,Samara,,FK Orenburg,,,,,
20,Sun,2020-03-01,,Sochi,,Arsenal Tula,,,,,
20,Sun,2020-03-01,,Krasnodar,,Ufa,,,,,
20,Sun,2020-03-01,,CSKA Moscow,,Ural,,,,,
20,Sun,2020-03-01,,Tambov,,Rubin Kazan,,,,,
20,Sun,2020-03-01,,Dynamo Mosc,,Spartak Moscow,,,,,
20,Sun,2020-03-01,,Akhmat Grozny,,Rostov,,,,,
,,,,,,,,,,,
21,Sun,2020-03-08,,Sochi,,Ural,,,,,
21,Sun,2020-03-08,,FK Orenburg,,Arsenal Tula,,,,,
21,Sun,2020-03-08,,Rostov,,CSKA Moscow,,,,,
21,Sun,2020-03-08,,Rubin Kazan,,Samara,,,,,
21,Sun,2020-03-08,,Dynamo Mosc,,Tambov,,,,,
21,Sun,2020-03-08,,Spartak Moscow,,Krasnodar,,,,,
