Round,Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
Group Stage,3,Thu,2019-10-24,18:55,AZ Alkmaar nl,,kz Astana FK,,Cars Jeans Stadion,,,
Group Stage,3,Thu,2019-10-24,18:55,Sl. Bratislava sk,,eng Wolves,,Národný Futbalový Štadión,,,
Group Stage,3,Thu,2019-10-24,18:55,Saint-Étienne fr,,ua FC Oleksandriya,,Stade Geoffroy-Guichard,,,
Group Stage,3,Thu,2019-10-24,18:55,Gent be,,de Wolfsburg,,GHELAMCO-arena,,,
Group Stage,3,Thu,2019-10-24,18:55,Roma it,,de M'gladbach,,Stadio Olimpico,,,
Group Stage,3,Thu,2019-10-24,19:55 (18:55),Ludogorets bg,,es Espanyol,,Ludogorets Arena,,,
Group Stage,3,Thu,2019-10-24,19:55 (18:55),CSKA Moscow ru,,hu Ferencváros,,VEB Arena,,,
Group Stage,3,Thu,2019-10-24,19:55 (18:55),Başakşehir tr,,at Wolfsberger AC,,Başakşehir Fatih Terim Stadium,,,
Group Stage,3,Thu,2019-10-24,19:55 (18:55),Beşiktaş tr,,pt Braga,,Vodafone Arena,,,
Group Stage,3,Thu,2019-10-24,20:00 (21:00),Arsenal eng,,pt Vitória,,Emirates Stadium,,,
Group Stage,3,Thu,2019-10-24,20:00 (21:00),Sporting CP pt,,no Rosenborg,,Estádio José Alvalade,,,
Group Stage,3,Thu,2019-10-24,20:00 (21:00),Celtic sco,,it Lazio,,Celtic Park,,,
Group Stage,3,Thu,2019-10-24,20:55 (18:55),Qarabağ Ağdam az,,cy APOEL,,Tofiq Bəhramov adına Respublika stadionu,,,
Group Stage,3,Thu,2019-10-24,21:00,PSV Eindhoven nl,,at LASK Linz,,Philips Stadion,,,
Group Stage,3,Thu,2019-10-24,21:00,Eint Frankfurt de,,be Standard Liège,,Commerzbank-Arena,,,
Group Stage,3,Thu,2019-10-24,21:00,Malmö se,,ch Lugano,,Swedbank Stadion,,,
Group Stage,3,Thu,2019-10-24,21:00,Sevilla es,,lu F91 Dudelange,,Estadio Ramón Sánchez Pizjuán,,,
Group Stage,3,Thu,2019-10-24,21:00,Rennes fr,,ro CFR Cluj,,Roazhon Park,,,
Group Stage,3,Thu,2019-10-24,21:00,Getafe es,,ch Basel,,Coliseum Alfonso Pérez,,,
Group Stage,3,Thu,2019-10-24,22:00 (21:00),Dynamo Kyiv ua,,dk FC Copenhagen,,NSK Olimpijs'kyj,,,
Group Stage,3,Thu,2019-10-24,22:00 (21:00),Trabzonspor tr,,ru Krasnodar,,Hüseyin Avni Aker Stadyumu,,,
,,,,,,,,,,,,
Group Stage,4,Wed,2019-11-06,15:50 (16:50),Vitória pt,,eng Arsenal,,,,,
Group Stage,4,Thu,2019-11-07,18:55,Rosenborg no,,pt Sporting CP,,,,,
Group Stage,4,Thu,2019-11-07,18:55,F91 Dudelange lu,,es Sevilla,,,,,
Group Stage,4,Thu,2019-11-07,18:55,FC Copenhagen dk,,ua Dynamo Kyiv,,,,,
Group Stage,4,Thu,2019-11-07,18:55,LASK Linz at,,nl PSV Eindhoven,,,,,
Group Stage,4,Thu,2019-11-07,18:55,Basel ch,,es Getafe,,,,,
Group Stage,4,Thu,2019-11-07,18:55,Lugano ch,,se Malmö,,,,,
Group Stage,4,Thu,2019-11-07,18:55,Lazio it,,sco Celtic,,,,,
Group Stage,4,Thu,2019-11-07,18:55,Standard Liège be,,de Eint Frankfurt,,,,,
Group Stage,4,Thu,2019-11-07,19:55 (18:55),CFR Cluj ro,,fr Rennes,,,,,
Group Stage,4,Thu,2019-11-07,19:55 (18:55),APOEL cy,,az Qarabağ Ağdam,,,,,
Group Stage,4,Thu,2019-11-07,20:00 (21:00),Braga pt,,tr Beşiktaş,,,,,
