Num,Date,Liga,Team 1,Score,Team 2,Result,Liga Title
074,08.09. 15:00,EM Q,Armenien,4:2,Bosnien-Herzegow.,1,Fussball - Europameisterschaft Qualifikation
075,08.09. 15:10,F1,"Leclerc, Charles",Leclerc,"Hamilton, Lewis",1,Formel 1 - Formel 1
076,08.09. 15:10,F1,"Vettel, Sebastian",Bottas,"Bottas, Valtteri",2,Formel 1 - Formel 1
077,08.09. 15:10,F1,"Sainz Jr, Carlos",Ricciar,"Ricciardo, Daniel",2,Formel 1 - Formel 1
078,08.09. 16:00,FS U20,Niederlande U20,1:2,Deutschland U20,2,Fussball - U20 Freundschaftsspiele
079,08.09. 16:00,AUT RLO,Admira Amateure,2:2,ASK Ebreichsdorf,X,Fussball - Österreich Regionalliga Ost
080,08.09. 16:00,ESP 2,FC Girona,3:1,Rayo Vallecano,1,Fussball - Spanien Segunda Division
081,08.09. 16:00,POR 1,Rio Ave FC,1:1,Vitoria Guimaraes,X,Fussball - Portugal Primeira Liga
082,08.09. 16:00,BRA 1,Cruzeiro EC MG,1:4,Gremio RS,2,Fussball - Brasilien Brasilero Serie A
083,08.09. 16:00,EH CL,Adler Mannheim GER,4:0,Vienna Caps AUT,1,Eishockey - Champions Hockey League
084,08.09. 18:00,EM Q,Schweiz,4:4,Gibraltar+4,X,Fussball - Europameisterschaft Qualifikation
085,08.09. 18:00,EM Q,Georgien,0:0,Dänemark,X,Fussball - Europameisterschaft Qualifikation
086,08.09. 18:00,EM Q,Rumänien,1:2,Malta+2,2,Fussball - Europameisterschaft Qualifikation
087,08.09. 18:00,ESP 2,CD Mirandes,2:1,Real Oviedo,1,Fussball - Spanien Segunda Division
088,08.09. 18:00,ESP 2,Elche CF,1:1,CD Lugo,X,Fussball - Spanien Segunda Division
089,08.09. 18:30,ESP 2,Alcorcon AD,0:3,Real Saragossa,2,Fussball - Spanien Segunda Division
090,08.09. 18:30,EH CL,Frisk/Asker NOR,0:4,KAC Klagenfurt AUT,2,Eishockey - Champions Hockey League
091,08.09. 19:00,NFL,Carolina Panthers,27:30,Los Angeles Rams,2,Football - USA NFL
092,08.09. 20:45,EM Q,Spanien,4:5,Färöer Inseln+5,2,Fussball - Europameisterschaft Qualifikation
093,08.09. 20:45,EM Q,Schweden,1:1,Norwegen,X,Fussball - Europameisterschaft Qualifikation
094,08.09. 20:45,EM Q,Griechenland,1:4,Liechtenstein+3,2,Fussball - Europameisterschaft Qualifikation
095,08.09. 20:45,EM Q,Finnland,1:2,Italien,2,Fussball - Europameisterschaft Qualifikation
096,08.09. 20:45,EM Q,Finnland+1,2:2,Italien,X,Fussball - Europameisterschaft Qualifikation
097,08.09. 21:00,BRA 1,Santos SP,1:1,Atletico PR,X,Fussball - Brasilien Brasilero Serie A
098,08.09. 21:00,BRA 1,Botafogo RJ,2:1,Atletico MG,1,Fussball - Brasilien Brasilero Serie A
099,08.09. 22:25,NFL,Dallas Cowboys,35:17,New York Giants,1,Football - USA NFL
100,08.09. 22:00,TEN ATP,"Medvedev, Daniil",2:3,"Nadal, Rafael",2,Tennis - Tennis ATP
101,09.09. 02:20,NFL,N.England Patriots,33:3,Pittsbgh. Steelers,1,Football - USA NFL
102,09.09. 16:00,U21 EMQ,Albanien U21,0:4,Österreich U21,2,Fussball - U21 EM Qualifikation
103,09.09. 17:30,FIN 2,FC KTP,3:1,FF Jaro,1,Fussball - Finnland Ykkonen
104,09.09. 18:00,EM Q,Aserbaidschan,1:1,Kroatien,X,Fussball - Europameisterschaft Qualifikation
105,09.09. 19:00,U21 EMQ,Island U21,6:1,Armenien U21,1,Fussball - U21 EM Qualifikation
106,09.09. 20:45,EM Q,Nordirland,0:2,Deutschland,2,Fussball - Europameisterschaft Qualifikation
107,09.09. 20:45,EM Q,Estland+2,2:4,Niederlande,2,Fussball - Europameisterschaft Qualifikation
108,09.09. 20:45,EM Q,Ungarn,1:2,Slowakei,2,Fussball - Europameisterschaft Qualifikation
109,09.09. 20:45,EM Q,Slowenien,3:2,Israel,1,Fussball - Europameisterschaft Qualifikation
110,09.09. 20:45,EM Q,Polen,0:0,Österreich,X,Fussball - Europameisterschaft Qualifikation
111,09.09. 20:45,EM Q,Polen,0:1,Österreich+1,2,Fussball - Europameisterschaft Qualifikation
112,09.09. 20:45,EM Q,Lettland,0:2,Nordmazedonien,2,Fussball - Europameisterschaft Qualifikation
113,09.09. 20:45,EM Q,Schottland,0:4,Belgien,2,Fussball - Europameisterschaft Qualifikation
114,09.09. 20:45,EM Q,San Marino+2,2:4,Zypern,2,Fussball - Europameisterschaft Qualifikation
115,09.09. 20:45,EM Q,Russland,1:0,Kasachstan,1,Fussball - Europameisterschaft Qualifikation
116,09.09. 20:45,INT FS,Wales,1:0,Weißrussland,1,Fussball - Internationale Freundschaftsspiele
117,09.09. 20:45,U21 EMQ,England U21,2:0,Kosovo U21,1,Fussball - U21 EM Qualifikation
118,09.09. 20:45,ITA C1B,FC Modena,0:1,Padua Calcio,2,"Fussball - Italien Lega Pro Prima Divisione, Girone B"
119,10.09. 01:10,NFL,N. Orleans Saints,30:28,Houston Texans,1,Football - USA NFL
120,10.09. 04:20,NFL,Oakland Raiders,24:16,Denver Broncos,1,Football - USA NFL
