Num,Date,Liga,Team 1,Score,Team 2,Result,Liga Title
110,08.09. 20:45,EM Q,Schweden,1:1,Norwegen,X,Fussball - Europameisterschaft Qualifikation
111,08.09. 20:45,EM Q,Finnland,1:2,Italien,2,Fussball - Europameisterschaft Qualifikation
112,09.09. 18:00,EM Q,Aserbaidschan,1:1,Kroatien,X,Fussball - Europameisterschaft Qualifikation
113,09.09. 20:45,EM Q,Nordirland,0:2,Deutschland,2,Fussball - Europameisterschaft Qualifikation
114,09.09. 20:45,EM Q,Estland,0:4,Niederlande,2,Fussball - Europameisterschaft Qualifikation
115,09.09. 20:45,EM Q,Ungarn,1:2,Slowakei,2,Fussball - Europameisterschaft Qualifikation
116,09.09. 20:45,EM Q,Slowenien,3:2,Israel,1,Fussball - Europameisterschaft Qualifikation
117,09.09. 20:45,EM Q,Polen,0:0,Österreich,X,Fussball - Europameisterschaft Qualifikation
118,09.09. 20:45,EM Q,Lettland,0:2,Nordmazedonien,2,Fussball - Europameisterschaft Qualifikation
119,09.09. 20:45,EM Q,Schottland,0:4,Belgien,2,Fussball - Europameisterschaft Qualifikation
120,09.09. 20:45,EM Q,Russland,1:0,Kasachstan,1,Fussball - Europameisterschaft Qualifikation
