= Argentina =

# table rows: 24, headers: 2  ! Club !! City

Aldosivi                                             # Mar del Plata
Audax Italiano                                       # Santiago (La Florida)
C.D. Cobresal | Cobresal                             # El Salvador
Colo-Colo                                            # Santiago (Macul)
Coquimbo Unido                                       # Coquimbo
Curicó Unido                                         # Curicó
C.D. Antofagasta | Deportes Antofagasta              # Antofagasta
Deportes Iquique                                     # Iquique
Everton de Viña del Mar | Everton                    # Viña del Mar
Huachipato                                           # Talcahuano
O'Higgins F.C. | O'Higgins                           # Rancagua
Club Deportivo Palestino | Palestino                 # Santiago (La Cisterna)
Unión Española                                       # Santiago (Independencia)
Unión La Calera                                      # La Calera
Club Deportivo Universidad Católica | Universidad Católica   # Santiago (Las Condes)
Club Universidad de Chile | Universidad de Chile     # Santiago (Ñuñoa)
C.D. Universidad de Concepción | Universidad de Concepción   # Concepción


= Colombia =

# table rows: 20, headers: 2  ! Club !! City

Alianza Petrolera F.C. | Alianza Petrolera           # Barrancabermeja
América de Cali                                      # Cali
Atlético Bucaramanga                                 # Bucaramanga
Atlético Huila                                       # Neiva
Atlético Nacional                                    # Medellín
Cúcuta Deportivo                                     # Cúcuta
Deportes Tolima                                      # Ibagué
Deportivo Cali                                       # Cali
Deportivo Pasto                                      # Pasto
Envigado F.C. | Envigado                             # Envigado
Independiente Medellín                               # Medellín
Jaguares de Córdoba | Jaguares                       # Montería
Atlético Junior | Junior                             # Barranquilla
La Equidad                                           # Bogotá
Millonarios F.C. | Millonarios                       # Bogotá
Once Caldas                                          # Manizales
Patriotas Boyacá | Patriotas                         # Tunja
Rionegro Águilas                                     # Rionegro
Independiente Santa Fe | Santa Fe                    # Bogotá
Unión Magdalena                                      # Santa Marta


= Ecuador =

# table rows: 16, headers: 2  ! Club !! City

América de Quito                                     # Quito
S.D. Aucas | Aucas                                   # Quito
Barcelona S.C. | Barcelona                           # Guayaquil
Delfín S.C. | Delfín                                 # Manta
C.D. Cuenca | Deportivo Cuenca                       # Cuenca
C.D. El Nacional | El Nacional                       # Quito
C.S. Emelec | Emelec                                 # Guayaquil
Fuerza Amarilla S.C. | Fuerza Amarilla               # Machala
Guayaquil City F.C. | Guayaquil City                 # Guayaquil
C.S.D. Independiente del Valle | Independiente del Valle   # Sangolquí
L.D.U. Quito | LDU Quito                             # Quito
C.S.D. Macará | Macará                               # Ambato
Mushuc Runa S.C. | Mushuc Runa                       # Ambato
C.D. Olmedo | Olmedo                                 # Riobamba
C.D. Técnico Universitario | Técnico Universitario   # Ambato
C.D. Universidad Católica del Ecuador | Universidad Católica   # Quito


= Paraguay =

# table rows: 12, headers: 2  ! Club !! City

Cerro Porteño                                        # Asunción
Deportivo Capiatá                                    # Capiatá
Deportivo Santaní                                    # San Estanislao
Club General Díaz (Luque) | General Díaz             # Luque
Club Guaraní | Guaraní                               # Asunción
Club Libertad | Libertad                             # Asunción
Club Nacional | Nacional                             # Asunción
Club Olimpia | Olimpia                               # Asunción
Club River Plate (Asunción) | River Plate            # Asunción
Club Sportivo San Lorenzo | San Lorenzo              # San Lorenzo
Club Sol de América | Sol de América                 # Villa Elisa
Sportivo Luqueño                                     # Luque


= Peru =

# table rows: 18, headers: 2  ! Club !! City

Alianza Lima                                         # Lima
Alianza Universidad                                  # Huánuco
Ayacucho FC | Ayacucho                               # Ayacucho
Escuela Municipal Binacional | Binacional            # Juliaca
Academia Cantolao | Cantolao                         # Callao
Carlos A. Mannucci                                   # Trujillo
Deportivo Municipal                                  # Lima
FBC Melgar | Melgar                                  # Arequipa
Molinos El Pirata                                    # Chiclayo
Real Garcilaso                                       # Cusco
Sport Boys                                           # Callao
Sport Huancayo                                       # Huancayo
Sporting Cristal                                     # Lima
Unión Comercio                                       # Nueva Cajamarca
Club Deportivo Universidad César Vallejo | Universidad César Vallejo   # Trujillo
Club Deportivo Universidad de San Martín de Porres | Universidad San Martín   # Lima
Club Universitario de Deportes | Universitario       # Lima
Universidad Técnica de Cajamarca | UTC               # Cajamarca


= Uruguay =

# table rows: 16, headers: 2  ! Club !! City

Boston River                                         # Montevideo
C.A. Cerro | Cerro                                   # Montevideo
Cerro Largo F.C. | Cerro Largo                       # Melo
Danubio F.C. | Danubio                               # Montevideo
Defensor Sporting                                    # Montevideo
Centro Atlético Fénix | Fénix                        # Montevideo
Juventud de Las Piedras | Juventud                   # Las Piedras
Liverpool F.C. (Montevideo) | Liverpool              # Montevideo
Montevideo Wanderers F.C. | Montevideo Wanderers     # Montevideo
Club Nacional de Football | Nacional                 # Montevideo
Peñarol                                              # Montevideo
Club Plaza Colonia de Deportes | Plaza Colonia       # Colonia
C.A. Progreso | Progreso                             # Montevideo
Racing Club de Montevideo | Racing                   # Montevideo
Rampla Juniors                                       # Montevideo
Club Atlético River Plate (Uruguay) | River Plate    # Montevideo


= Venezuela =

# table rows: 20, headers: 2  ! Club !! City

Academia Puerto Cabello                              # Puerto Cabello
Aragua F.C. | Aragua                                 # Maracay
Atlético Venezuela                                   # Caracas
Carabobo FC | Carabobo                               # Valencia
Caracas FC | Caracas                                 # Caracas
Deportivo Anzoátegui                                 # Puerto La Cruz
Deportivo La Guaira                                  # Caracas
Asociación Civil Deportivo Lara | Deportivo Lara     # Cabudare
Deportivo Táchira                                    # San Cristóbal
Estudiantes de Caracas                               # Caracas
Estudiantes de Mérida                                # Mérida
LALA FC | LALA                                       # Ciudad Guayana
Llaneros Escuela de Fútbol | Llaneros                # Guanare
Metropolitanos FC | Metropolitanos                   # Caracas
Mineros de Guayana                                   # Ciudad Guayana
Monagas Sport Club | Monagas                         # Maturín
Portuguesa F.C. | Portuguesa                         # Acarigua
Trujillanos FC | Trujillanos                         # Valera
Zamora FC | Zamora                                   # Barinas
Zulia FC | Zulia                                     # Maracaibo


