#######################################################
#
#  uefa clubs ranking / coefficients
#    see https://www.uefa.com/memberassociations/uefarankings/club/#/yr/2019
#
#  check all 450 names
#   country code is fifa code ??
#    - check all countries / check country lookup by fifa code - why? why not?
#   config.countries[ 'ESP' ]
#    -- add countries lookup
#      check if key is all lowercase? - use key
#      check if key is all uppercase and three letters - use fifa code
#      change countries to back to fifa code!!!

Rank,  Name,     Country
196, RNK Split, CRO
197, FC Nordsjælland, DEN
198, Lyngby BK, DEN
199, SønderjyskE, DEN
200, Randers FC, DEN
201, Esbjerg fB, DEN
202, FC Luzern, SUI
203, FC St. Gallen, SUI
204, Grasshopper Club Zürich, SUI
205, FC Thun, SUI
206, Rangers FC, SCO
207, HŠK Zrinjski, BIH
208, FC Kairat Almaty, KAZ
209, FK Vardar, MKD
210, Anorthosis Famagusta FC, CYP
211, AEL Limassol FC, CYP
212, AC Omonia, CYP
213, Ermis Aradippou FC, CYP
214, FK Kukësi, ALB
215, Alashkert FC, ARM
216, FK Spartak Subotica, SRB
217, FK Radnicki Niš, SRB
218, FK Vojvodina, SRB
219, FK Mladost Lučani, SRB
220, FK Čukarički, SRB
221, FK Jagodina, SRB
222, Hibernian FC, SCO
223, St Johnstone FC, SCO
224, Heart of Midlothian FC, SCO
225, Inverness Caledonian Thistle FC, SCO
226, Motherwell FC, SCO
227, FC Dinamo Brest, BLR
228, FC Shakhtyor Soligorsk, BLR
229, FC Torpedo Zhodino, BLR
230, FC Neman Grodno, BLR
231, FK Sūduva, LTU
232, NK Domžale, SVN
233, Valletta FC, MLT
234, Crusaders FC, NIR
234, Lincoln Red Imps FC, GIB
236, FK Ventspils, LVA
237, Stjarnan, ISL
237, FC Spartak Subotica, SRB
237, FK Sarajevo, BIH
239, FK Rabotnicki, MKD
240, BK Häcken, SWE
241, Djurgårdens IF, SWE
242, IFK Norrköping FK, SWE
243, IFK Göteborg, SWE
244, IF Elfsborg, SWE
245, IF Brommapojkarna, SWE
246, Sarpsborg 08 FF, NOR
247, Lillestrøm SK, NOR
248, Odds BK, NOR
249, FK Haugesund, NOR
250, SK Brann, NOR
251, Strømsgodset IF, NOR
252, Stabæk Fotball, NOR
253, Tromsø IL, NOR
254, FC Viitorul, ROU
255, CS Fola Esch, LUX
256, Víkingur, FRO
257, FC Vaduz, LIE
258, FC Santa Coloma, AND
259, Jagiellonia Białystok, POL
260, Górnik Zabrze, POL
260, FC Tobol Kostanay, KAZ
262, FC Irtysh Pavlodar, KAZ
263, Arka Gdynia, POL
264, FC Ordabasy Shymkent, KAZ
265, Zagłębie Lubin, POL
266, GKS Piast Gliwice, POL
267, FC Aktobe, KAZ
268, MKS Cracovia Kraków, POL
269, WKS Śląsk Wrocław, POL
270, Ruch Chorzów, POL
271, FC Shakhter Karagandy, KAZ
272, Zawisza Bydgoszcz, POL
273, Keşla FK, AZE
274, Neftçi PFK, AZE
275, Zirä FK, AZE
276, Käpäz PFK, AZE
277, NK Olimpija Ljubljana, SVN
278, FK Spartaks Jūrmala, LVA
279, Cork City FC, IRL
280, FC Pyunik, ARM
281, FC Dinamo Tbilisi, GEO
282, Hapoel Haifa FC, ISR
283, Beitar Jerusalem FC, ISR
284, Bnei Yehuda Tel-Aviv FC, ISR
285, Maccabi Haifa FC, ISR
286, Hapoel Kiryat Shmona FC, ISR
287, Hapoel Tel-Aviv FC, ISR
288, CFR 1907 Cluj, ROU
289, PFC CSKA-Sofia, BUL
290, FK Željezničar, BIH
291, PFC Slavia Sofia, BUL
292, Ferencvárosi TC, HUN
292, Nõmme Kalju FC, EST
294, PFC Levski Sofia, BUL
295, PFC Botev Plovdiv, BUL
296, FC Dunav Ruse, BUL
297, PFC Beroe Stara Zagora, BUL
298, PFC Cherno More Varna, BUL
299, PFC Litex Lovech, BUL
300, PFC CSKA Sofia, BUL
301, FK Riteriai, LTU
302, FK Budućnost Podgorica, MNE
303, FC Levadia Tallinn, EST
304, Universitatea Craiova, ROU
305, FC Dinamo Bucureşti, ROU
306, CS Pandurii Târgu Jiu, ROU
307, CSMS laşi, ROU
308, ASA Târgu Mureş, ROU
309, FC Botoşani, ROU
310, FC Petrolul Ploieşti, ROU
311, FC DAC 1904 Dunajská Streda, SVK
312, MŠK Žilina, SVK
313, MFK Ružomberok, SVK
314, TJ Spartak Myjava, SVK
315, MFK Košice, SVK
316, SP La Fiorita, SMR
317, B36 Tórshavn, FRO
318, FC Chikhura Sachkhere, GEO
319, FK Sutjeska, MNE
320, NK Rudar Velenje, SVN
321, OFK Titograd, MNE
322, FK Partizani, ALB
323, ND Gorica, SVN
324, Debreceni VSC, HUN
325, FC Koper, SVN
326, NK Celje, SVN
327, FC Torpedo Kutaisi, GEO
328, Valur, ISL
329, FC Progrès Niederkorn, LUX
330, FC Milsami Orhei, MDA
331, Budapest Honvéd FC, HUN
332, FC Flora Tallinn, EST
333, FK Liepāja, LVA
334, Cliftonville FC, NIR
335, Hibernians FC, MLT
336, KR Reykjavík, ISL
337, Balzan FC, MLT
338, KF Laçi, ALB
339, FC Samtredia, GEO
340, Shamrock Rovers FC, IRL
341, NK Široki Brijeg, BIH
342, FK Rudar Pljevlja, MNE
343, Birkirkara FC, MLT
344, Linfield FC, NIR
345, Újpest FC, HUN
346, Vasas FC, HUN
347, MTK Budapest, HUN
348, Diósgyőri VTK, HUN
349, Győri ETO FC, HUN
350, Europa FC, GIB
351, FK Jelgava, LVA
352, FC Zimbru Chisinau, MDA
353, FC Zaria Balti, MDA
354, Connah's Quay Nomads FC, WAL
355, NSÍ Runavík, FRO
356, Derry City FC, IRL
357, Glenavon FC, NIR
358, FC Banants, ARM
359, SS Folgore, SMR
360, Saint Patrick's Athletic FC, IRL
361, FC Shkupi 1927, MKD
362, FK Pelister, MKD
363, FK Sileks, MKD
364, KF Renova, MKD
365, FK Metalurg Skopje, MKD
366, FK Turnovo, MKD
367, CS Petrocub, MDA
368, FC Dacia Chisinau, MDA
369, FC Saxan, MDA
370, FC Tiraspol, MDA
370, FC Veris, MDA
372, KF Drita, KOS
373, KS Luftëtari, ALB
374, SJK Seinäjoki, FIN
